ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,MLC Elections 2023,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
p8QvmIRoNVg,2019-06-29,0.9978081583976746,7035.0,Sakshi,125.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6DlpRlHYdeo,2019-06-30,0.9973721504211426,2299.0,Sakshi,468.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhGjEH3fC9I,2019-12-20,0.997547209262848,8759.0,Sakshi,112.0,8.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Y0ofvoWJop8,2019-12-20,0.9952705502510072,2104.0,Sakshi,393.0,3.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIkqKTKJIt0,2019-12-20,-0.9992765784263612,434.0,Sakshi,282.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZcCiKdJwYBQ,2019-12-20,0.9894885420799256,186.0,Sakshi,39.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wALQKWJwx7c,2019-12-20,0.9982364177703856,692.0,Sakshi,116.0,2.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nsQfGWnma2w,2019-12-20,0.9906960725784302,537.0,Sakshi,45.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
L2OPViT4oKc,2019-12-20,0.99865984916687,201446.0,Sakshi,419.0,210.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2javyyicQG8,2019-12-20,-0.995131492614746,793.0,Sakshi,56.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nnj55STlXPg,2019-12-20,0.9982995390892028,56789.0,Sakshi,500.0,121.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORM1wPRdNTw,2019-12-21,0.9981443881988524,1918.0,Sakshi,247.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eET_y8QCocI,2019-12-21,-0.9957644939422609,4707.0,Sakshi,267.0,0.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SMR3w22NcNY,2019-12-21,0.9986382126808168,14835.0,Sakshi,109.0,40.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_xATIArs4L4,2019-12-21,0.9930614829063416,3065.0,Sakshi,379.0,5.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvoo6ju2Zv8,2019-12-21,0.983485460281372,734.0,Sakshi,244.0,3.0,rajmundry_city.png,Adireddy Bhavani,TDP,Rajahmundry_city,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
