ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,visakha
ZP2tbT4scfk,2019-12-21,0.9965728521347046,967.0,Sakshi,104.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,1,0,0,0,0,0,0,0,0
ORM1wPRdNTw,2019-12-21,0.9981443881988524,1918.0,Sakshi,247.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,1,0,1,1,0,0,0,0,0,0,0
6CJ9UAm152g,2019-12-21,0.998281478881836,1190.0,Sakshi,547.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,0,0
uL2hISXmlPo,2020-03-07,0.9983547329902648,5854.0,Sakshi,167.0,11.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,0,0,0,0,0,0,0,0
GgbIfSizB-U,2020-03-12,0.9966253042221068,169443.0,Sakshi,379.0,226.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,1,0,0,0,0,0,0,0,0,0
6v8gYdN3Drs,2021-02-15,0.997244358062744,6586.0,Sakshi,151.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,1,1,0,1,1,0,1,1,1
esNk1Sdo9-k,2021-02-17,0.9946420192718506,3491.0,Sakshi,284.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,0,0
a1fXRSu8sUs,2021-06-22,-0.9816895723342896,5210.0,Sakshi,594.0,30.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
uuxU1O09Jec,2021-12-18,0.998468816280365,22606.0,Sakshi,93.0,51.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,1,0,0,0,0,0,0,1
5QBOMxWSSDc,2022-01-04,0.99683678150177,4310.0,Sakshi,519.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,1,0,0,0,0,0,0
-lNsZ9_1ff8,2022-01-23,0.9952449202537536,29956.0,Sakshi,359.0,62.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
4t-rfIHrT08,2022-02-08,0.9982182383537292,8041.0,Sakshi,375.0,20.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,0,0,1
os-FeouruiE,2022-02-08,-0.998377561569214,8156.0,Sakshi,291.0,36.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,0,0,0,0
0BO89Pn5FnI,2022-02-17,0.9883672595024108,7603.0,Sakshi,479.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,1,0,0,0,0,0,0
rcsiTrg9d4g,2022-02-20,-0.9994491934776306,86783.0,Sakshi,370.0,184.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,0,1,0,0,0,1,0,1,0
s1N4Gr5k46o,2022-02-20,0.9843377470970154,18592.0,Sakshi,229.0,30.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,0,0,0,0,0,1,0,0
0by9TgVTJJo,2022-03-16,0.998646318912506,5439.0,Sakshi,119.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,0,0,0,0,0,0,1,0,0
C-E5dMB1H9A,2022-03-19,0.9925776124000548,3378.0,Sakshi,190.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,0,1,1,1,1,0,0,1,0,0
D8r0nfv9oU8,2022-03-23,-0.9890214800834656,1361.0,Sakshi,167.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,1,0,0,1,0,0,0,1,0,0
btj9SRwBbzQ,2022-03-24,0.998768985271454,2331.0,Sakshi,322.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,1,1,1,0,0,0,0,1,0,0
Wo_CNY6gs5Q,2022-03-26,0.9987071752548218,632.0,Sakshi,373.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,0,0,0
xRMjVhMIB9w,2022-04-05,0.9984637498855592,6038.0,Sakshi,301.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,1,0,0
Wp8qWEjR6nc,2022-04-18,-0.997553050518036,9104.0,Sakshi,141.0,16.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
Damsg_GFgyY,2022-05-17,0.995335042476654,189190.0,Sakshi,445.0,422.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,0,0,0
7hiJK-j00sE,2022-07-10,0.9976097345352172,7920.0,Sakshi,559.0,12.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,1,0,0,0,0,0,0,0,0
A6d50fbuX0s,2022-07-14,0.9935247898101808,1792.0,Sakshi,241.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,1,0,0,0,0,0,1,0,0
4su0PPSAlow,2022-08-05,0.9982831478118896,26021.0,Sakshi,337.0,79.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,1,0,0,0,0,0,0,0,0
w4rR-Iuaems,2022-08-05,0.9987032413482666,16349.0,Sakshi,227.0,15.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,0,0,0,0,0,0,0,0
U_S-s3y0DWo,2022-08-22,0.9747999906539916,43331.0,TV5,460.0,122.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
ocyq6K_AjX8,2022-08-22,-0.9977147579193116,257606.0,TV5,320.0,262.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,1,0,1,1,0,1,0,1,1,0
pCZbQ8rJPTs,2022-09-01,-0.997178077697754,109411.0,Sakshi,585.0,173.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,0,0,0,0,0,0,0
wwvoA8tg50g,2022-09-12,0.995260775089264,2904.0,Sakshi,271.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,1,0,1,1,0,0,0,1,0,0
eenDdl9zI5M,2022-09-15,-0.9988086223602296,3333.0,Sakshi,192.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,1,0,1,1,1,0,0,1,1,1
nSHwFTy327Q,2022-09-26,0.997426450252533,62582.0,Sakshi,537.0,74.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,1,0,1,1,0,0,0,0,0,0,0
MhoNNtuvTAw,2022-10-04,0.9987099170684814,5327.0,TV5,311.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
hZfyVFOEdis,2022-10-08,-0.997192919254303,1088.0,Sakshi,560.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
hmVRph07uFo,2022-10-11,0.9228014945983888,1976.0,TV5,157.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,1,0,0,1,0,0,0,1
grU7byqEN5A,2022-10-13,-0.9945451021194458,2071.0,ABN,401.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
NIrY5QmfKYQ,2022-10-13,-0.996535062789917,2695.0,TV5,79.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,1,0,0,0,1,0,0,0,1,0
bPgXybq6c0A,2022-10-13,-0.9992000460624696,2258.0,ABN,226.0,4.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,0,0,0,0,0,0,0,0,0,0
TjaYam4KNfY,2022-10-13,-0.9975441098213196,917.0,TV5,260.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,1,1,0,0,0,1
wuuJCFHOmTI,2022-10-13,-0.9984833598136902,2999.0,TV5,360.0,7.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,1,0,0,0,1,0,0,0
UD5DGUu4_-o,2022-10-13,-0.9955722093582152,2875.0,TV5,85.0,5.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
3W9WV-Kg6rs,2022-10-14,-0.9807063341140748,3973.0,TV5,195.0,16.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,1,1,1,0,1,0,1,0,0,0,0,1
Pvk5sjIyRSc,2022-10-14,-0.9910914301872252,4116.0,ABN,291.0,6.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
0-SVs9AwbuQ,2022-10-15,0.9967948794364928,1694.0,TV5,435.0,3.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,0,0,0,1,0,0,0,0,0,0,0
SYWOZ9oyUvw,2022-10-18,-0.9982380867004396,2239.0,ABN,235.0,8.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,1,0,0,0,0,1,0
U8DvhVAsaJE,2022-10-26,-0.9987205862998962,5877.0,Sakshi,268.0,9.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,0,0,0,0,0,0,0,0
0o01ygB8FqY,2022-10-29,-0.9965807795524596,3399.0,ABN,484.0,0.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,0,0,0,0,0,0,0,0,0
y0urCWpR6sw,2022-10-30,-0.9986594915390016,513.0,TV5,338.0,1.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,1,1,1,0,0,0,0,0,0,1,0,0
MVg1Gz1glpM,2022-11-03,-0.996077835559845,15577.0,Sakshi,142.0,82.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,1,0,0,0,0,1,0,0,0,0,0,0,0
TMmVakVVPno,2022-11-07,0.9985559582710266,2029.0,Sakshi,445.0,2.0,pravathipuram.png,Alajangi jogarao,YSRCP,Parvathipuram,0,0,0,0,1,1,0,0,0,0,0,0,0
