ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,suprem court
x83dfAMdKHs,2019-12-22,0.997265100479126,115288.0,Sakshi,396.0,53.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,1,0
nfCkEXDpLBM,2019-12-23,0.9977679252624512,3809.0,Sakshi,261.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,1,1,0,1,0,1,1
wawS0QFtbwU,2019-12-24,0.99862539768219,12100.0,Sakshi,488.0,4.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
S6sKqtN-pfM,2021-11-11,0.9965534210205078,4743.0,Sakshi,208.0,4.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,1,0
0L9zew0SBx8,2021-11-27,-0.9977948665618896,230050.0,Sakshi,263.0,395.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,0,0,0,0,1,0,0
ugp2YVsZiRE,2022-04-17,0.9971852898597716,101845.0,Sakshi,108.0,269.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,1,0,0,0
E7yZCu_hIJ8,2022-04-19,0.9896586537361144,110186.0,Sakshi,196.0,19.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,1,0,1,0
ELZqwXgzFE0,2022-04-25,-0.994568943977356,6210.0,Sakshi,280.0,11.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,0,0,0,1,1,1,0
TxHILocuzPs,2022-05-09,0.9837579131126404,20743.0,Sakshi,396.0,97.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,1,0,0,0
WcykEzH7kcQ,2022-05-30,0.9909369349479676,2899.0,Sakshi,545.0,12.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,1,0,0,1,0,0
a1dSWfSypBI,2022-06-29,0.9939963817596436,3188.0,Sakshi,496.0,2.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,0,0,0,0
UEV89f9_E6w,2022-07-10,0.9975544810295104,1753.0,Sakshi,507.0,2.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,1,0,0,0,0,0
m4sMPUArMBM,2022-07-29,0.9971790313720704,50018.0,Sakshi,277.0,48.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,1,1,1,0,1
PgXtmJGP8lU,2022-08-21,0.9913119673728944,30106.0,Sakshi,401.0,242.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,1,1,0
5692XrydRMI,2022-08-21,-0.9992589354515076,16378.0,Sakshi,203.0,75.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,1,0,0,0
CnLq2QfWnsY,2022-08-21,0.9942418932914734,4911.0,Sakshi,505.0,53.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,1,0
U4eXIpNg5ws,2022-08-24,-0.9355143308639526,2716.0,Sakshi,250.0,10.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,1,0,1,0,0,0
x9aavRQVI54,2022-09-02,-0.9994288086891174,638.0,TV5,377.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
g2wcghEHR7c,2022-09-08,0.9978220462799072,1698.0,TV5,187.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,0,0,0,0,0,0,0
eV8jKEwj2vc,2022-09-15,-0.9963030815124512,4865.0,TV5,180.0,6.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,1,1,1,1,1,1,0
Z5A0-SYyWos,2022-09-19,-0.999244213104248,8850.0,TV5,429.0,17.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,1,1,0,1,0,1,0
rC58JyMRbow,2022-09-20,-0.9971115589141846,977.0,TV5,200.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,1,1,0,0,0,0,0
xBuvcnADrhY,2022-09-27,0.9942201375961304,5748.0,Sakshi,155.0,26.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,1,1,0,0
c048AytAls8,2022-09-30,0.988658845424652,19678.0,Sakshi,529.0,88.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,0,0,0,0,0,0,0
knaRS243yxU,2022-10-02,0.9980958104133606,31108.0,Sakshi,379.0,23.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,0,1,1,0,1,0,0,0
ThROgtbuy94,2022-10-06,0.9966031312942504,1957.0,TV5,154.0,0.0,kadapa.png,Amzath Basha Shaik Bepari,YSRCP,Kadapa,1,0,1,0,0,0,1,0
