ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency
QOysjpOdyiY,2019-12-21,0.9984753727912904,864.0,Sakshi,252.0,0.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
wcHpuzYutik,2022-05-28,-0.9994530081748962,8376.0,Sakshi,275.0,18.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
c8eppLCYfiE,2022-09-21,0.5995887517929077,2336.0,Sakshi,502.0,19.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
p5Cg2cZBhq8,2022-10-15,-0.9982879757881165,1268.0,ABN,332.0,1.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
Xo7F8qR7Fjk,2022-11-16,0.996969997882843,2641.0,Sakshi,291.0,16.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
N5GUjS-0D30,2022-12-12,-0.9857674837112428,1971.0,ABN,464.0,2.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
7fDW6yUpc4g,2022-12-26,-0.9849005937576294,4751.0,TV9,182.0,1.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
eoOxUUc38wI,2022-12-31,-0.9970071911811828,9414.0,ABN,360.0,22.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
PeTPZuuE--I,2022-12-31,-0.9984595775604248,963.0,ABN,270.0,0.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
kQfyfNPK24w,2023-01-02,-0.9946777820587158,152782.0,TV5,392.0,66.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
H7re0JeRUEw,2023-01-03,-0.9747442603111268,2897.0,TV5,285.0,2.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
1zXMegCLqOo,2023-01-07,-0.990515947341919,914.0,Sakshi,290.0,0.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
trkXMxSG1VU,2023-01-19,-0.9828786849975586,1647.0,TV5,216.0,0.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
WOVf0N2wkY4,2023-04-08,-0.9991140961647034,545.0,ABN,337.0,3.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
-zTb8WeCxKM,2023-04-08,-0.990139901638031,1025.0,ABN,132.0,13.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
CSF9xpzYm5E,2023-04-08,-0.9986080527305604,2502.0,ABN,134.0,19.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
5sUkFyCMp54,2023-04-08,-0.9994888305664062,669.0,ABN,335.0,1.0,anantapur_urban.png,Anantha Venkatarami Reddy,YSRCP,Anantapur
