ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ysrcp
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
dxCNCe6W29E,2022-03-16,0.9947178959846495,5573.0,Sakshi,71.0,18.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
ufhLcIBpda8,2022-03-24,0.9983487129211426,14455.0,Sakshi,142.0,22.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
F7IXUzeZA04,2022-09-08,-0.998736560344696,76673.0,Sakshi,288.0,72.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
vHApOLG7WjQ,2022-09-17,0.9871161580085754,6977.0,Sakshi,155.0,8.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
BmOJsNObkac,2022-09-18,0.970881462097168,345458.0,TV5,290.0,625.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
2pVboMEi8-4,2022-09-24,0.9949513673782348,1002.0,Sakshi,362.0,1.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
NkKyo_jmhj4,2022-10-04,-0.9957512617111206,1374.0,Sakshi,265.0,7.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
qwev0EgOHE8,2022-10-06,-0.9962674975395204,4451.0,Sakshi,184.0,5.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
fFtdvhpgFu0,2022-10-12,0.9954984188079834,2279.0,ABN,333.0,0.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
dPUkksrUNDg,2022-10-14,-0.9963974356651306,2582.0,Sakshi,144.0,54.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
UiKm4wBxHPs,2022-10-20,-0.9971068501472472,1286.0,ABN,210.0,15.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
a4k7vnExQq0,2022-10-22,-0.9785380959510804,423.0,ABN,128.0,0.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
b-2tOUUrNJc,2022-10-22,-0.9861175417900084,800.0,ABN,90.0,1.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
WWvqIrGztyY,2022-10-30,0.9651053547859192,9329.0,Sakshi,232.0,26.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
wn44Av7kqGI,2022-10-31,0.9881640672683716,33575.0,Sakshi,496.0,207.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
m-Q_c2g3Koc,2022-11-01,0.9954065084457396,636.0,ABN,324.0,3.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
iV5EO9cDyTo,2022-11-07,0.9925522804260254,30854.0,TV5,240.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
7zdC_jslGNo,2022-11-09,-0.9700338244438172,4698.0,TV5,380.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
pStC9_4456k,2022-11-18,-0.999496579170227,5325.0,TV5,309.0,6.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
HS9iw4QTMyU,2022-12-06,-0.9828197956085204,655.0,Sakshi,339.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
LSfsP-vUH9o,2022-12-16,0.9859727621078492,1776.0,Sakshi,120.0,0.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
1cVmDaa78i4,2022-12-20,-0.9988043308258056,830.0,TV9,217.0,1.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
Fkw1t2MTWYw,2022-12-26,0.9986969828605652,191674.0,Sakshi,504.0,163.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
XMN4konzDAc,2023-01-11,0.9942323565483092,772.0,TV5,154.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
lMjG3woXvtU,2023-01-13,-0.9370341300964355,159471.0,ABN,305.0,371.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
C7wKZPwQyZg,2023-01-17,-0.9892116785049438,2891.0,TV5,380.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
is2ctmbhyYU,2023-01-19,0.9919648170471193,544.0,TV5,281.0,0.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
jyenEZwI2YI,2023-01-23,-0.994236171245575,799.0,TV9,153.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
d1EvgpiHhTs,2023-02-03,-0.9871103763580322,34037.0,TV9,253.0,34.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,1
0jW52b0fc7c,2023-02-13,-0.9883825182914734,30353.0,Sakshi,150.0,47.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
YfFgSrQRnBg,2023-02-17,0.9974931478500366,691.0,TV9,316.0,1.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
u9M1BBPeYkk,2023-03-06,0.9986567497253418,1915.0,ABN,65.0,1.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
PW5PxdBnYGo,2023-03-13,0.9988310933113098,4229.0,TV9,315.0,2.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
tGoN6xs82T0,2023-04-04,-0.9950363039970398,2863.0,TV9,202.0,16.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
UPQ99Yi8uq8,2023-04-04,-0.9985753297805786,2967.0,TV9,315.0,10.0,giddalaur.png,Anna Rambabu,YSRCP,Giddalur,0
