ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,ayyanna patrudu ,suprem court,ap development,tadipatri
Lov_UbtBCrc,2019-06-30,0.9980706572532654,2030.0,Sakshi,238.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35FuLoKO6WM,2019-12-22,0.9976291060447692,1333.0,Sakshi,184.0,4.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
lKW2w3O4MHQ,2020-03-03,0.998012900352478,997.0,Sakshi,187.0,2.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F97ZrRJkGJc,2020-03-08,-0.9951387643814088,21901.0,Sakshi,169.0,16.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
sdVYj3hfBXI,2020-03-14,0.9977772831916808,1051.0,Sakshi,371.0,7.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2U7XfBG4kQc,2020-03-16,-0.999486207962036,2622.0,Sakshi,132.0,9.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
02dIO4XMa-k,2021-02-21,0.9941589832305908,1510.0,Sakshi,184.0,0.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
k-SJ8aJBX5Y,2021-12-11,-0.99797123670578,38282.0,Sakshi,386.0,121.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4tkNoYn-kS0,2021-12-17,0.998431384563446,9977.0,Sakshi,265.0,26.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
ZQhO5t5Nm-M,2022-01-03,0.9914013743400574,11734.0,Sakshi,379.0,41.0,Pendurthi.png,Annamreddy Adeep Raj,YSRCP,Pendurthi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
