ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,cm jagan,chandrababu,AP ,suprem court,ap development
0iDBqdaFroM,2021-08-09,-0.996269464492798,1837.0,Sakshi,213.0,15.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,0,0,0,1,1,1,0
pFaP-pZ2Exs,2021-09-29,-0.9985209107398988,9735.0,Sakshi,68.0,105.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,1,1,0,0,0,0,0
B1xqXmLmli0,2022-05-25,0.9981732368469238,14349.0,Sakshi,398.0,19.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,1,1,0,0,0,0
EWrQTSkqtrU,2022-07-06,0.998035490512848,10876.0,Sakshi,216.0,24.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,1,0,0,1,1
_39_nTS-XAc,2022-09-02,0.9841743111610411,2085.0,TV5,309.0,0.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,0,0,0,0,0,1,0
Abvdowohj80,2022-09-06,-0.9995056390762328,1905.0,TV5,522.0,5.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,1,0,0
xupBxr0BdOs,2022-09-09,-0.986922025680542,1516.0,TV5,399.0,0.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,0,0,0,0,0,0,0
t2S6_heLy7Q,2022-09-11,0.9964005947113036,10132.0,TV5,313.0,18.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,0,0,0,0,0,0,0
ZDwQseE85fI,2022-09-12,-0.9951594471931458,2862.0,TV5,100.0,8.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,0,0,0,0,0
uJWdKx0CP38,2022-09-13,-0.9795459508895874,2763.0,Sakshi,264.0,4.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,1,0,1,0,1,0
Z5A0-SYyWos,2022-09-19,-0.999244213104248,8850.0,TV5,429.0,17.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,1,1,1,0,1,0,0
lJoGdO8xm8s,2022-09-21,0.9908748865127563,16854.0,Sakshi,383.0,31.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,1,0,1,0,1
gUlL6eh2-SY,2022-09-26,-0.9982479810714722,4899.0,TV5,196.0,25.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,0,1,0,0,0,0,1
hBpyBG6F8gY,2022-10-10,-0.976431369781494,7635.0,Sakshi,515.0,13.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
gpUYAOJx-UA,2022-10-10,-0.9945827126502992,1335.0,TV5,109.0,2.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,1,1,0,0,0,0,0
corEhHS5erU,2022-10-11,0.989096999168396,2762.0,Sakshi,522.0,42.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
98moNbhns8Q,2022-10-26,-0.9981880784034728,849.0,ABN,325.0,3.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,0,1,0,1,0,0
0NLQiNGyrhY,2022-10-31,0.9987286925315856,2281.0,Sakshi,276.0,15.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,1,0,0,1,1
dvsbzIe1IJs,2022-10-31,-0.998304843902588,5276.0,Sakshi,113.0,18.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,0,0,0,1,0
8aBQp5YtDYk,2022-11-03,-0.998818337917328,1866.0,ABN,193.0,4.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
mFkAXEZuur0,2022-11-10,0.9946585297584534,1267.0,ABN,400.0,3.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
XxCG6qF1O8k,2022-11-14,-0.997161865234375,20662.0,TV5,525.0,59.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,0,0,0,1,0,0
Q5fks_ml2ik,2022-11-25,0.9886859655380248,6960.0,Sakshi,93.0,7.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
MGuUvl_xiBw,2022-11-26,-0.9940354824066162,1181.0,ABN,238.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,1,0,0,0,0
HqmYuNBs-mg,2022-12-05,-0.992741584777832,1359.0,Sakshi,61.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,1,0,0,1
kd4RwTusg-k,2022-12-05,-0.997214376926422,1700.0,TV9,268.0,7.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,1,0,1,1
9JHicOtCGW0,2022-12-05,-0.9748154878616332,1504.0,Sakshi,262.0,4.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,1,0,0,1
slAsBTiqfWo,2022-12-29,-0.9982727766036988,1817.0,TV9,281.0,4.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,1,0,0
IFMlUUDQ3VQ,2023-01-07,-0.9924031496047974,990.0,Sakshi,379.0,8.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,1,0,0,0
4kVoGce-kF4,2023-01-10,-0.9932344555854796,6440.0,TV9,374.0,4.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
4-CqkiVl0J8,2023-01-21,0.9977317452430724,2710.0,TV5,224.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
cAlsL_i-NgY,2023-01-23,0.9850621223449708,25375.0,ABN,190.0,22.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
c2DUkt44zes,2023-01-26,-0.9984385371208192,13834.0,TV5,251.0,18.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,1,1,1,0,0,1,1,1
EsLsS8cJI2k,2023-02-02,-0.9965284466743468,11972.0,TV9,299.0,16.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
Q9NQpsexLbQ,2023-02-06,-0.999226689338684,2534.0,ABN,317.0,6.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,1,0
CP3REprsAvk,2023-02-06,-0.9978241920471193,1390.0,ABN,150.0,0.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,0,0,0,0,0,0
StC_0ILDC4g,2023-02-06,0.9984349608421326,3950.0,ABN,183.0,10.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
3toeCyPEK30,2023-02-06,0.9942747950553894,1428.0,ABN,200.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
Ca9owOBjiNI,2023-02-18,0.997647225856781,2778.0,TV9,380.0,5.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,1,1,0,1,0,0,0
ZNUzICqde1Y,2023-02-23,-0.994802951812744,684.0,ABN,225.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,1,1,1,0
wMoWpXWkoU0,2023-02-25,-0.9950342178344728,13975.0,ABN,350.0,36.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
p4OkxPjabW8,2023-02-25,-0.9986168146133424,25715.0,ABN,197.0,44.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
lNA_e4Ub4ck,2023-02-27,0.995341181755066,4092.0,ABN,220.0,1.0,chitoor.png,Aranii Srenevasulu,YSRCP,Chittoor,0,0,0,0,0,0,0,0
