ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,amaravati,ap assembly session today,alliance,kotamreddy ,nellore ,yuvashakti,tadepalli,suprem court,ap development,balineni srinivasa reddy,tadipatri
I5DqhMB8zss,2020-03-09,0.9974724650382996,1383.0,Sakshi,126.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GgbIfSizB-U,2020-03-12,0.9966253042221068,169443.0,Sakshi,379.0,226.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
wWeKXTFL-Iw,2021-02-14,0.9968209266662598,2401.0,Sakshi,185.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
KPNVYttyzzQ,2021-06-14,0.9913113117218018,10887.0,Sakshi,573.0,63.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
blaQaR2QUGY,2021-11-26,0.9826114773750304,11608.0,Sakshi,169.0,27.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
eRK73vHgS_0,2022-02-03,-0.9984337687492372,4395.0,Sakshi,201.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
E_VP-P64kVk,2022-02-03,-0.9933859705924988,3598.0,Sakshi,70.0,9.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3AsyQQxea48,2022-03-13,0.9984537363052368,6198.0,Sakshi,235.0,9.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
I6Lm0rXe2oE,2022-03-18,0.9351696372032166,11640.0,Sakshi,86.0,27.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
3m6NXPlf5xY,2022-03-23,-0.9967382550239564,12631.0,Sakshi,335.0,21.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1
l8olgufauo0,2022-04-06,0.996315896511078,7526.0,Sakshi,87.0,26.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-P4UwsJyphU,2022-04-22,-0.9806071519851683,261869.0,Sakshi,144.0,460.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SdU7zHYjnfA,2022-05-04,-0.9978188276290894,18288.0,Sakshi,89.0,32.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
tIF8wLsPLt4,2022-06-14,-0.9909505844116212,10676.0,Sakshi,363.0,10.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
sDmZJJhpNb4,2022-06-29,-0.9923473596572876,4780.0,Sakshi,410.0,2.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GsAGBJ1lOKA,2022-08-10,-0.9882174134254456,24375.0,Sakshi,359.0,77.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Xk-wuhekxdE,2022-09-01,0.981111705303192,768.0,TV5,258.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ZehFcSKjV4,2022-09-01,-0.9871936440467834,937.0,TV5,447.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOXI0maok44,2022-09-01,-0.9795901775360109,998.0,TV5,206.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_eh0H5M0lE,2022-09-06,-0.9952659606933594,15993.0,TV5,285.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1H0ZydUFcSk,2022-09-08,0.9985081553459167,3480.0,Sakshi,133.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
RvxNeYyZDrE,2022-09-10,-0.9988791346549988,518077.0,TV5,200.0,649.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
yAYJC5WSN34,2022-09-15,-0.9799511432647704,36580.0,Sakshi,249.0,121.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
cRnDEoFmtT4,2022-09-15,-0.9984096884727478,228311.0,Sakshi,138.0,646.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Z0BocJMKGCY,2022-09-21,0.9957113265991212,1091.0,Sakshi,315.0,3.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
rVh7bmIokcs,2022-10-10,-0.9950496554374696,3183.0,Sakshi,149.0,5.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
to_w722mZOM,2022-10-10,-0.9968756437301636,6198.0,TV5,162.0,19.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a7fLv0_Pgc,2022-10-20,-0.9928359389305116,14975.0,TV5,125.0,18.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zk8SoFnR3kI,2022-10-20,-0.9992979764938354,1628.0,TV5,205.0,1.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
iTMNi3Fwd10,2022-11-04,-0.997183084487915,104222.0,TV5,340.0,87.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
f9m9XSzn7Xs,2022-11-05,0.948492705821991,672.0,ABN,507.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lOjkTrEAZPU,2022-11-08,0.9978694915771484,1513.0,Sakshi,240.0,4.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
KWPEYYJ9ExE,2022-11-17,-0.9396201372146606,384.0,ABN,82.0,0.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jizM7krWf9U,2022-11-19,-0.9675230979919434,8730.0,TV9,250.0,6.0,ongole.png,Balineni Srinivasa Reddy,YSRCP,Ongole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
