ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,ap assembly session today,jr ntr,Atchannaidu,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,polavaram,visakha,byreddy siddharth reddy, vidadala ,vijayasai reddy,roja,vidya deevena,nellore ,Machilipatnam,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,ap development,balineni srinivasa reddy,tadipatri,Corona,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
GG8X4qtHdto,2019-07-01,0.997834861278534,19158.0,Sakshi,250.0,0.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ViozOePxTIs,2019-12-21,-0.9899460673332214,6841.0,Sakshi,167.0,4.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QkVYO50IcbU,2019-12-23,-0.99892657995224,453.0,Sakshi,105.0,1.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6xkTehex1VQ,2019-12-27,0.997666358947754,7953.0,Sakshi,158.0,7.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
2bEC5yAUVzY,2020-03-10,0.9987807869911194,641.0,Sakshi,313.0,1.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5Rc9NxOG4eU,2020-03-12,0.9885209798812866,4634.0,Sakshi,309.0,2.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
wda42vu7p9E,2020-03-16,-0.9994864463806152,2711.0,Sakshi,287.0,8.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4i2iPsXDrLc,2020-03-16,-0.9994370341300964,1755.0,Sakshi,287.0,8.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
o-4Xmjv-9Dg,2021-02-19,0.9968698620796204,9752.0,Sakshi,561.0,9.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnCd_kGUz0w,2021-02-20,0.9932714104652404,34767.0,Sakshi,330.0,60.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MX3k7XIrGpk,2021-02-25,0.9941983222961426,5225.0,Sakshi,81.0,3.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-jOdnciP_pk,2021-10-26,-0.9947772026062012,1589.0,Sakshi,547.0,0.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922qOQpsIc,2021-10-26,-0.9938854575157166,31617.0,Sakshi,577.0,30.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4AYY2VCJ7fE,2021-10-26,-0.9972700476646424,4540.0,Sakshi,196.0,13.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4XiVG4uvavE,2021-10-27,-0.9975263476371764,99430.0,Sakshi,390.0,156.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rC9Tl-2jbdk,2021-10-30,0.9909573793411256,105414.0,Sakshi,66.0,57.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmdGxH5TbBs,2021-11-02,0.9975157976150512,9363.0,Sakshi,83.0,11.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7TsVyZ95u8,2021-11-18,0.9985180497169496,41789.0,Sakshi,488.0,103.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TFGdOae-7pU,2021-11-18,-0.9967098236083984,30434.0,Sakshi,256.0,46.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
CQO-n4KpBMo,2021-11-20,-0.990426242351532,367808.0,Sakshi,368.0,0.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpagMEQ2QrI,2021-11-24,0.9975171089172364,2952.0,Sakshi,351.0,23.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iPMZ8Dg9Vjc,2021-12-07,0.996597945690155,2183.0,Sakshi,116.0,3.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o_xoQEynBVw,2021-12-10,-0.9968923926353456,1824.0,Sakshi,254.0,12.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0vFi0ctpoXE,2021-12-10,0.9973892569541932,3861.0,Sakshi,574.0,7.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VZEFPGUdq0,2021-12-10,0.8783113956451416,1692.0,Sakshi,261.0,2.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
iWuaf9VAwkU,2021-12-10,-0.9825326204299928,540.0,Sakshi,278.0,0.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7vb_i7sie_k,2021-12-13,0.994698405265808,13544.0,Sakshi,421.0,34.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSQAZ02UJRQ,2021-12-13,-0.9970865845680236,11362.0,Sakshi,149.0,104.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VaxKlRgMbWQ,2021-12-15,0.9781439900398254,70762.0,Sakshi,108.0,65.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cGWQLdZtf3Q,2021-12-20,0.9912328124046326,1897.0,Sakshi,47.0,1.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
f1aUVqsJtgY,2022-01-11,-0.998342514038086,43262.0,Sakshi,99.0,160.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
iq-ylPE6K34,2022-01-31,-0.9992958307266236,2721.0,Sakshi,287.0,4.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
y-Yn281F3R4,2022-01-31,-0.9983592629432678,1504.0,Sakshi,403.0,3.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yaO0tA0XRTQ,2022-02-03,0.9985975623130798,4598.0,Sakshi,143.0,7.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gvqlfTWdaQ,2022-02-07,0.9951071739196776,2167.0,Sakshi,381.0,2.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pive3c84OQU,2022-02-14,-0.9896029829978944,2749.0,Sakshi,407.0,18.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vpxe0Rflx8I,2022-02-16,-0.9976623058319092,6476.0,Sakshi,231.0,30.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tIo80-Pebww,2022-02-16,-0.9937543272972108,10152.0,Sakshi,267.0,40.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4csr9PsXo4,2022-02-19,0.9985685348510742,27738.0,Sakshi,240.0,44.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hQQOxpQOExo,2022-03-04,0.9985930323600768,6609.0,Sakshi,404.0,6.0,paderu.png,Bhagya Lakshmi Kottagulli,YSRCP,Paderu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
