ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,yuvashakti,suprem court,ap development
bvDlahc0Muc,2019-12-21,0.9977107048034668,1884.0,Sakshi,142.0,0.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,1,0,1,0,0,0,0,0
As7hCHSFBV0,2019-12-23,0.998088538646698,1109.0,Sakshi,511.0,1.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,0,0,0,0,0
B7ASMpQyHqs,2020-03-11,0.9986003041267396,1665.0,Sakshi,266.0,5.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,1,1,1,0,1,0,0,1,1,1
XEYzhS8Xc2s,2020-03-11,0.9918084740638732,10817.0,Sakshi,440.0,4.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,1,0,0,0,0,0,0,0
KSS7L_k6EZA,2021-11-06,0.9977522492408752,3782.0,Sakshi,252.0,25.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,1,1,0,0,0,0,0
XcK1zgXjMoU,2021-11-06,0.998512327671051,13514.0,Sakshi,78.0,20.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,1,0,0,0,1,0
5sNALgAMfKc,2021-11-20,0.9905733466148376,26612.0,Sakshi,504.0,136.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,1,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,0,0,0,0,1,0,0,0,0
I-eXgJXX04M,2021-11-26,0.9978625178337096,14886.0,Sakshi,77.0,12.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,0,0,0,0,0,0
K55BdsBVm98,2021-11-26,0.99844092130661,16050.0,Sakshi,68.0,24.0,tirupathi.png,Bhumana Karunakar Reddy,YSRCP,Tirupati,0,1,1,0,0,0,0,0,0,1
