ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,amaravati,alliance,yuvashakti,suprem court,ap development,tadipatri
1Hd7CcQ_5Co,2020-03-11,0.990200698375702,9162.0,Sakshi,424.0,22.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,1,0,0,0,0
zJ54Jr3RZ1U,2021-11-13,0.9973680377006532,96457.0,Sakshi,518.0,94.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,0,1,0,0,1,0
5WVjxRMbI9U,2021-12-31,0.991348922252655,10963.0,Sakshi,366.0,36.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
uGLw5xAgieY,2022-01-18,0.9967555403709412,40132.0,Sakshi,180.0,69.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,1,0,1,0,0,0,0,0,0
hdHI9oHMuWM,2022-02-09,-0.9944818019866944,7752.0,Sakshi,407.0,29.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,1,0,0,0,0,0,0
nNPOuKWO3WA,2022-03-17,-0.9966741800308228,8876.0,Sakshi,535.0,15.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
zp8r0PU-BTQ,2022-03-30,0.9885791540145874,999.0,Sakshi,515.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,0,0,0,0,0,0,0,0,0,0
rqfeoOT3RbE,2022-04-30,0.9988534450531006,118905.0,Sakshi,185.0,139.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,1,1,0,0,0,1,0,0,1,0
0H0x267NEro,2022-07-21,-0.9943901896476746,37135.0,Sakshi,489.0,69.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
GZxlv4zP0jk,2022-07-21,-0.9944828748703004,18530.0,Sakshi,555.0,58.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
ycGtKlVlaAc,2022-07-21,-0.9977601766586304,5632.0,Sakshi,258.0,21.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,1,1,0,0,1,0,0
m-CP6oaKYu0,2022-08-30,-0.995439887046814,9579.0,Sakshi,157.0,32.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,1,0,0,1,0,0
IGLXhz4YcSc,2022-09-05,-0.9958066940307616,2645.0,TV5,550.0,6.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
bfANwhN563I,2022-09-12,0.992780864238739,42955.0,Sakshi,516.0,160.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,1,0,0,0,0,0
0gNRHgGZf8E,2022-09-15,-0.9790487289428712,38447.0,TV5,403.0,38.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,0,0,0,0,0,0,0,0,0,0,0
L43tr2NoXhY,2022-09-20,-0.9976510405540466,5748.0,TV5,155.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,1,1,1,0,0,0,0,0,0
JqkBBaHrfpg,2022-09-21,-0.9982929825782776,15475.0,TV5,325.0,23.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,1,1,1,1,0,1,0,1,1,1,1
sWybNvnDXB4,2022-09-27,-0.9981082677841188,5857.0,TV5,236.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,0,1,1,0,1,0,1,0,1,1,0
dOp5uoM_4Q0,2022-09-28,-0.9991219639778136,97605.0,Sakshi,277.0,274.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,1,0,0,1,0,0,0,0,0,0,0
7bkn9uboQuQ,2022-10-14,0.9982097148895264,2732.0,Sakshi,539.0,9.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,0,0,0,0,0,0
DGUm1tPgKn0,2022-10-15,-0.9948809146881104,53083.0,Sakshi,345.0,443.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,0,0,0,0,1,0,0,0,0,0
iDp4aEzdhHk,2022-10-30,0.9965381622314452,11120.0,Sakshi,179.0,30.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,1,0,0,0,0,1,0,0,0,0
G0GK8NuXf7s,2022-11-07,-0.9975857734680176,845.0,ABN,499.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
CwPgXt8D950,2022-11-08,-0.9835046529769896,5629.0,ABN,505.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
RUk1lRk4nxM,2022-11-10,-0.99741530418396,6209.0,TV5,360.0,7.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,0,0,0,0,0,0
T2D1DjHr5P4,2022-11-10,0.9926182627677916,27166.0,TV5,340.0,56.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,1,0,0,0,0,0,0,0,0
lDxowX8QEak,2022-11-10,-0.9985105395317078,30828.0,ABN,515.0,24.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
qvRLSGygYhg,2022-11-24,-0.998102843761444,154479.0,TV9,262.0,107.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,0,0,0,0,1,1,1,1
Ks-FSf48vIE,2022-11-28,-0.9983283877372742,19562.0,TV5,239.0,15.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,1,0,0,0,0,0,0,1
Aw0Pk0IEofg,2022-12-01,-0.9893146753311156,940.0,ABN,278.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,1,0,0
j2sz-CVwKQg,2022-12-09,-0.9707564115524292,951.0,ABN,529.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
NnCF0jKdjWM,2022-12-10,-0.9993124008178712,2818.0,ABN,450.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,0,0,0,0,0
Azqzn9TLh-8,2022-12-10,0.9960606694221495,184986.0,ABN,525.0,517.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
KMJvOzIqFkY,2022-12-10,-0.9983661770820618,9998.0,ABN,515.0,19.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
UmAJcqCBmWg,2022-12-10,-0.9979503750801086,11748.0,ABN,390.0,20.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
RYEoz_s2now,2022-12-10,-0.8958243131637573,20695.0,ABN,480.0,50.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
xWEfJnTwa04,2022-12-13,-0.975849151611328,3374.0,TV9,331.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,0,0,0,0,0,0,0,0,0,0
jrsgTsH7Kps,2022-12-13,-0.995303511619568,3978.0,TV9,331.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,1,0,0,0,0,0,0,1,1,1,1
iQBRSusimQI,2022-12-15,0.9902556538581848,4739.0,ABN,515.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTYAPfeNNU,2022-12-17,0.979058563709259,3037.0,TV9,461.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
4uqMSYwlN1g,2022-12-18,-0.9982473850250244,4468.0,TV9,200.0,12.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,1,0,0,0,1,0,0,0,0,0
Z5Fc1S_sJag,2022-12-19,0.9957448840141296,2733.0,TV9,373.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
G8T3sDG2z3w,2022-12-19,0.5317338109016418,2513.0,TV9,276.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,1,0,0,0,0,0
bHIeF318-TM,2022-12-20,0.9857613444328308,81986.0,TV9,342.0,199.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
tWlQaoHghnQ,2022-12-26,-0.9906076192855836,2136.0,TV9,101.0,2.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,1,0,0
YFIj7JKlzKQ,2022-12-26,-0.9873567819595336,2198.0,TV9,258.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,1,1,0,0,0,0,0,0,1,0,1
HW2_lPKzHsU,2022-12-26,0.9811970591545104,4347.0,TV9,347.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
D_yCQ81PFgY,2022-12-30,0.9964234232902528,2789.0,TV9,291.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
5kZ0jLszh3U,2022-12-30,-0.998829185962677,3553.0,ABN,203.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,0,0,0,0,0,0,0,0,0,0,0,0
kF2_EzXvbV0,2022-12-31,-0.9268848299980164,9200.0,ABN,335.0,20.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
XTc84mqQlaM,2023-01-02,0.9970911741256714,6172.0,TV9,241.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
aqX9krBxBOs,2023-01-03,0.9925091862678528,2179.0,TV9,174.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,1,1,0,0,0,1,0,0
87NfXdYLVPI,2023-01-03,-0.9948641657829284,3569.0,TV9,305.0,6.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,1,1,1,0,0,0,0,0,0
NaEVBny3qvY,2023-01-03,-0.9963721036911012,1837.0,TV5,319.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,0,1,0,0,1,0,0,0,0,1,0
uUSbrNn7FN4,2023-01-04,-0.9978678226470948,4549.0,TV9,128.0,8.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,1,0,0,0,0
7MkOxYL1f0c,2023-01-04,-0.989528238773346,10561.0,TV9,195.0,13.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
yvfWEeeUbSA,2023-01-04,-0.9934687614440918,4861.0,TV9,290.0,6.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,1,0,0,0,0,0,0,0
8KQHQSYEVpE,2023-01-04,-0.9902542233467102,12421.0,TV9,328.0,26.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,0,0,0,0,0,0,0,0
fkwKwrFiKZM,2023-01-04,0.9925801157951356,7116.0,TV9,202.0,14.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,0,0,0,0,0,1,0,0
9A-qquKO0g0,2023-01-04,-0.9954841136932372,14072.0,TV9,325.0,13.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,1,0
BVpHuOtE6ng,2023-01-04,-0.9979225993156432,37021.0,TV9,158.0,43.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
bhFHHbuuWqw,2023-01-04,0.9916821122169496,10962.0,TV9,543.0,19.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
VIQKNWbe438,2023-01-04,-0.9969472289085388,46433.0,TV9,225.0,65.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,1,0,0,1,0,0,0,0,0,0,0
elvXdkHuSzE,2023-01-04,-0.99541437625885,1313.0,TV9,58.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
mT7vWqyGp6w,2023-01-04,-0.9939301013946532,6674.0,TV9,197.0,16.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,1,0,0,1,0,0,0,0,0,0,0
iTqS-HSKXkg,2023-01-05,-0.998325526714325,1071.0,TV9,84.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,0,0,0,0,1,0,0,0,0,0,0
aX_MwCDvVPo,2023-01-05,-0.9985288381576538,1106.0,TV9,308.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,1,0,0,0,0,0,0,0,1,0
o6eTIEMFHls,2023-01-05,0.9937798380851746,63829.0,TV9,337.0,72.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,0,0,0,0,1,0,0,0,0,0,0
drYVWIzsunk,2023-01-05,-0.9234325289726256,836.0,TV9,272.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,1,1,0,0,0
zPmC9oOwrN8,2023-01-05,-0.9977549910545348,1271.0,ABN,247.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
FPzgfiISToY,2023-01-05,-0.996179699897766,1310.0,TV9,84.0,3.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,1,0,0,0,0,1,0,0,0,0,0,0
C4vxVdpLLh0,2023-01-06,-0.9985089898109436,3155.0,ABN,375.0,4.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
kbG9h9x-FaE,2023-01-06,-0.9994563460350036,23324.0,ABN,510.0,40.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
lnYckS_E0sY,2023-01-10,-0.9937856197357178,3829.0,TV5,181.0,5.0,cm_ramesh.png,C. M. Ramesh,BJP,,1,1,0,0,0,0,0,0,1,0,0,0,0
8l3ZALsvAWY,2023-01-13,0.9938615560531616,867.0,TV9,471.0,0.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26g95qrz0,2023-01-17,-0.999414086341858,968.0,ABN,545.0,1.0,cm_ramesh.png,C. M. Ramesh,BJP,,0,0,0,0,0,0,1,0,0,0,0,0,0
