ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,ap assembly session today,alliance,yuvashakti,suprem court,ap development
4tkNoYn-kS0,2021-12-17,0.998431384563446,9977.0,Sakshi,265.0,26.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,0,0,0,0,0,1,1,1
KdhZQypLiro,2022-03-15,-0.9977006316184998,919.0,Sakshi,148.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,1,1,0,0,0,1,0,0,1,1
5T6QdmSPPCM,2022-05-30,0.987349569797516,7467.0,Sakshi,523.0,13.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
bSoiiXTwDV8,2022-07-09,0.9984569549560548,1771.0,Sakshi,327.0,0.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,0,0,0,0,0,0,0,0
UEV89f9_E6w,2022-07-10,0.9975544810295104,1753.0,Sakshi,507.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,1,0,0,0,0,0,0,0,0,0,0
ohosdxXKCYw,2022-07-14,0.996059775352478,3047.0,Sakshi,251.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,0,0,0,0,0,0,0,0
k0R50bUkie4,2022-08-09,-0.9985684156417848,2332.0,Sakshi,236.0,7.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,1,0,0,0,1,1,1,0
FQkNvgdURqc,2022-08-16,-0.9993995428085328,2969.0,Sakshi,228.0,14.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,1,1,0,0,0,1,1,0
pz-PIlLaqtU,2022-09-10,-0.9979678988456726,4882.0,Sakshi,417.0,17.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,1,0,0,1,0,0,0,0,0,0,0
HmLYijabKzM,2022-09-12,-0.98343026638031,1884.0,Sakshi,170.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,1,0,0,0,1,1,0,0
wpzm3VkTEBw,2022-09-19,-0.996082365512848,1404.0,Sakshi,248.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,1,0,0,0,0,0,1
3XXAKUUWpIY,2022-09-19,0.9771331548690796,1085.0,Sakshi,339.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,1,0,0,0,0,0,1,0
oerKf4REr5w,2022-09-29,0.996236264705658,169467.0,Sakshi,120.0,138.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,0,0,0,0,0,0,0,0
GOs-MzRH4NE,2022-09-29,-0.997425377368927,6680.0,Sakshi,187.0,14.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
7rOxpLXjB4s,2022-11-26,-0.9935644268989564,1116.0,TV9,339.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,0,0,0,1,1,0,0,0,1
wmwP7ZOOFWw,2022-11-26,0.9929646253585817,1202.0,TV9,129.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,0
w-_fx4PMk74,2022-11-26,0.8610017895698547,498.0,TV9,238.0,0.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,1,0,0,0,1,0,1,1,1,1
7yRvoYjQ4E4,2022-12-01,-0.9983940720558168,3650.0,TV9,256.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,0,1,0,1,0,0,0,0,0
OWV-n8paY8Y,2022-12-01,-0.9925385117530824,12028.0,Sakshi,255.0,57.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,0,1,0,0,1,0,1,1,0
tNAKDqa53rE,2022-12-03,0.9976110458374025,1229.0,Sakshi,292.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,0,0,0,1,1,1,1,1
HS9iw4QTMyU,2022-12-06,-0.9828197956085204,655.0,Sakshi,339.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,1,0,0,1,0,0,0,0,0,0,0
lQnKi1CkXZM,2022-12-06,-0.9763496518135072,1052.0,TV9,358.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,1,0,1,0,0,0,0,0,0,0
RWEI_swdh0Y,2022-12-13,0.9867541193962096,2661.0,TV9,282.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,1,0,0,1,0,0,0,1,1
z_G404b5Vrs,2022-12-17,-0.9993440508842468,1248.0,Sakshi,521.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,1,0,0,0,0,0,0,0
Tg-ExGGWv3M,2022-12-17,-0.9989218711853028,660.0,Sakshi,287.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,1,1,1,0,0,0,0,0,0,0
A_vBCIi62TI,2023-01-15,-0.9937788844108582,23670.0,Sakshi,287.0,60.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,1,0,0,0,0,0,0
sWpUv-siOgA,2023-01-19,-0.9963514804840088,542.0,Sakshi,266.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,1,1,0
oKQW8ftVRWc,2023-01-19,0.9941810965538024,2030.0,Sakshi,173.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,1,0,0,1,1,0,0,0,0,1,0
X1O9VMY70NI,2023-01-19,-0.9983882904052734,1484.0,TV9,258.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,0,1,0,0,0,0,1,0,0
ep9TK7d6n6k,2023-01-19,-0.9964079260826112,2481.0,Sakshi,326.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
UMPWjEhwd1k,2023-01-19,-0.998749852180481,1360.0,Sakshi,554.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
b9acBqVNLXI,2023-01-30,0.997096300125122,676.0,TV9,319.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
EyR7GqMCjvA,2023-01-30,0.9981720447540284,524.0,TV9,282.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
8HvYnlG7FmM,2023-01-30,-0.98707914352417,275.0,TV9,325.0,0.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,1,1,0
JVNbbqyN9mw,2023-01-30,0.990451455116272,405.0,TV9,316.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
-94Vbn57pFA,2023-02-03,0.9964812994003296,727.0,Sakshi,119.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,0,0,0,0,0,1,0,0,0,1,0
EWKYghP4EPE,2023-02-08,0.998262345790863,6574.0,TV9,72.0,4.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,1
F6K1kP9oJRU,2023-02-10,-0.9993314743041992,2847.0,Sakshi,311.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,1,1,1,0,0,0,1,1,1
Wz7was1VZWY,2023-02-18,-0.8673511147499084,26541.0,TV9,363.0,86.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
ykpKi3O2bJU,2023-02-18,-0.9974554181098938,1023.0,Sakshi,523.0,13.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
e6BpkSfwoPU,2023-02-18,-0.998508632183075,3796.0,TV9,180.0,8.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,0,1,0,0,0,0,1,0,0
L2HICMeNGD4,2023-02-18,-0.997037410736084,8530.0,TV9,299.0,48.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
KUdgDsysF6I,2023-02-18,0.9951053857803344,8262.0,TV9,306.0,10.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,0
47JMKM8SRgI,2023-02-18,-0.9944885969161988,31696.0,TV9,202.0,133.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,0,0,0,0,0
FmBQ2xa68RY,2023-02-18,0.9930875897407532,565.0,TV9,158.0,0.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,0,1,0,0,0,0,0,0,0
6COIJc8Wz_0,2023-02-18,0.9948678016662598,7166.0,TV9,47.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
3WR8ss0NuGQ,2023-02-21,-0.684428334236145,4776.0,TV9,332.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,0
uwyQE2AU5_w,2023-02-21,-0.9982420206069946,833.0,TV9,259.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,0
Nlsoa_Zydf8,2023-02-21,-0.9947657585144044,1355.0,TV9,302.0,4.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,1,0,0,0,0,0
3MaE2liW358,2023-02-21,-0.981456995010376,3776.0,TV9,295.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,1,1,0,0,1,0,0,0,1,0
25vErbtGQLs,2023-02-21,-0.9935835003852844,1194.0,TV9,231.0,2.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,1,0,0,1,0,0,0,0,0
j0C1aqdZftU,2023-03-06,0.9172731637954712,17065.0,Sakshi,230.0,30.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,0,1,0,0,0,0,1,1,0
OWBex37QBJ0,2023-03-06,0.9883376955986024,6288.0,Sakshi,171.0,8.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,0,0,0,0,0,0,0,0
K-MSZBtTSww,2023-03-06,0.9864940643310548,1361.0,Sakshi,186.0,1.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,0,0,0,0,0,0,0
J2EeLG7U5JA,2023-03-13,0.9987753033638,3011.0,Sakshi,117.0,9.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,0,0,0,0,0,1,0,1,1
EWF75L7xYbg,2023-03-14,0.990081250667572,1555.0,TV9,123.0,4.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,0,0,1,0,0,0,0,0,0,0,0
KepV5Vvk5qQ,2023-03-15,-0.9972109198570251,5773.0,TV9,355.0,11.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,1,1,0,1,0,0,0
bVi8PqdJK1w,2023-03-15,0.9873513579368592,5110.0,TV9,308.0,6.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,1,0,0,1,1,0,1,1,1,1
vpjJbZ46MQI,2023-03-15,-0.9991965889930724,5948.0,TV9,263.0,12.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,1,0,1,0,0,1,0
dszQWIyY6XY,2023-03-15,-0.9811345338821412,13661.0,TV9,319.0,15.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,1,0,0,1,0,0,0
gZxq7gA0AEY,2023-03-15,-0.9983822107315063,4534.0,TV9,302.0,10.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,1,0,0,0,1,0,0,0,0,0,0
HIowPem15eo,2023-03-16,-0.998990833759308,727.0,Sakshi,277.0,3.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,1,1,0,0,0,0,0,1,0,1,1,0
Wf82EH9xHTo,2023-03-20,-0.9993971586227416,1630.0,ABN,165.0,4.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,1,0,0,0,0
RQuPGf10Yyk,2023-03-20,-0.999440848827362,681.0,TV9,235.0,0.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,1,1,0,1,0,0,0,0
-AUy3SEKcPg,2023-03-20,0.9862122535705566,3776.0,ABN,185.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,0,0,1,0,0,0,0
nq-sZRFhKFs,2023-04-02,-0.9989274144172668,2499.0,TV9,295.0,5.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,0,0,1,1,0,1,0,0,0
6XMcMoR-zhg,2023-04-12,0.9981476068496704,3461.0,Sakshi,292.0,6.0,ramchandrapuram.png,Chelluboyina Srinivasa Venugopalakrishna,YSRCP,Ramchandrapuram,0,0,0,1,0,0,0,1,1,1,1,1
