ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,cm jagan,chandrababu,yuvagalam
JkBU7G6yNqQ,2019-12-21,0.9984558820724488,1108.0,Sakshi,191.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,0,1
6CJ9UAm152g,2019-12-21,0.998281478881836,1190.0,Sakshi,547.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
_VDubhdhsRo,2020-03-09,-0.9866898059844972,1279.0,Sakshi,184.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,1,0
hQyoHADSBIo,2021-08-19,-0.9986245632171632,5146.0,Sakshi,143.0,13.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,0,1,1
cVtRTXyzsio,2021-11-24,0.9969106316566468,603.0,Sakshi,529.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,1,0,0,0
iyltfFVSgVI,2022-02-03,0.9985398054122924,5458.0,Sakshi,208.0,46.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,1,0,0
Cx7LeR01WDs,2022-06-14,0.9925445318222046,8339.0,Sakshi,419.0,18.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
aE87ZC5fPss,2022-06-30,-0.997923731803894,1081.0,Sakshi,467.0,2.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,1,1,0,0
XOSZLh9p1V4,2022-07-15,0.9975577592849731,3387.0,Sakshi,264.0,3.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,0,1
S5ezpXBzq6o,2022-07-26,0.9987401366233826,39071.0,Sakshi,528.0,58.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,1,0,0
HSm-km6IFZY,2022-07-28,0.9976072311401368,2246.0,Sakshi,184.0,3.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,0,1
la8KoN8dSzc,2022-09-10,-0.998658299446106,4589.0,Sakshi,230.0,6.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,1,1
VLUM0cGDalU,2022-09-13,-0.998744010925293,312442.0,TV5,160.0,232.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,0,1,0
ESBRShGQqGA,2022-10-04,0.9971969127655028,1876.0,Sakshi,393.0,15.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,1,0,0,0
2I2swzJd1sY,2022-10-26,-0.9947578310966492,3769.0,TV5,324.0,4.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
Uh2ckf441Xo,2022-10-28,-0.9979574680328368,2381.0,TV5,292.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
BnJ2w42JINM,2022-11-17,-0.9968106150627136,55071.0,Sakshi,540.0,128.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
rMI8jyrM8So,2022-11-21,0.9956874251365662,1832.0,TV9,241.0,2.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
3q0HIaVpevg,2022-11-22,0.9904174208641052,1198.0,Sakshi,272.0,5.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
71aNw_tD_Pc,2022-11-22,-0.998791515827179,2312.0,TV9,221.0,4.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
ntWqov-1rd8,2022-11-22,0.9986149072647096,1700.0,Sakshi,369.0,4.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
SoKmyI0PxNc,2022-11-22,-0.9941200613975524,1631.0,TV9,187.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
hiz1njkxSW0,2022-11-23,0.9982903599739076,3151.0,TV9,170.0,4.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
A-lVzANxtgY,2022-11-28,0.9825130701065063,823.0,Sakshi,522.0,2.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
NLaip_cGymo,2022-11-30,-0.9935935139656068,1672.0,TV9,429.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
t4h695JphCE,2022-12-01,-0.9978558421134948,2583.0,TV9,430.0,5.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
h1D-s9Zreto,2022-12-07,0.998729646205902,3277.0,TV9,184.0,11.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,0,0,1
hfw9DdBqg0o,2022-12-11,0.9896021485328674,1566.0,TV9,219.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
gPirCKVtTfo,2022-12-14,-0.9944498538970948,3806.0,TV9,319.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
CqatudzTrdA,2022-12-19,-0.9696001410484314,3323.0,TV9,436.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
8IdycZYM2Go,2022-12-19,-0.9977599382400512,1886.0,TV9,373.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
AbXJpQ6EP6E,2022-12-19,-0.9956178665161132,964.0,TV9,550.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
z3yInw03hoI,2022-12-22,0.998377799987793,2385.0,Sakshi,436.0,16.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,1,1,0
1GQoxMOqyx4,2022-12-22,-0.9979084730148317,796.0,TV9,134.0,5.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
EYRaoisqyxM,2022-12-24,-0.9966877102851868,8276.0,Sakshi,387.0,37.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
8ynvpiDlz88,2023-01-02,-0.989741325378418,1206.0,TV9,342.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
ATaerN1DXqQ,2023-01-03,-0.9988605976104736,1134.0,TV9,85.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,1
UnzUzuzLNes,2023-01-06,-0.9980939030647278,1148.0,TV9,189.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
6GxtMU614AI,2023-01-06,-0.9986178874969482,5903.0,TV9,192.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
ndKBMO9kZ2Y,2023-01-18,-0.9963828325271606,24950.0,Sakshi,256.0,90.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,1
w3OlrEkcbDE,2023-01-23,0.9951283931732178,9481.0,TV9,233.0,7.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
eNrOY8Q9KfY,2023-01-28,-0.9958115816116332,8735.0,TV9,23.0,8.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
hRoQo2NMgEo,2023-02-06,0.9945899248123168,3053.0,Sakshi,256.0,2.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
1c6O_G4bT-Q,2023-02-07,0.9960296154022216,2717.0,TV9,186.0,3.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
i_qq21RsuS4,2023-02-08,-0.9863187074661256,6356.0,Sakshi,235.0,16.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,1,1
gGRCpVNYGV0,2023-03-06,0.9804752469062804,1587.0,TV9,120.0,7.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,0,0,1
tX1DFJslRu4,2023-03-10,0.987046480178833,2295.0,TV9,301.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
oPwEkjizuQI,2023-03-16,-0.9975345134735109,4220.0,TV9,245.0,0.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,0,0
VsQw0ieJKQU,2023-03-28,-0.9981154203414916,5946.0,Sakshi,351.0,8.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,0,0,1,0
YPtomKQJQD8,2023-04-03,-0.9979045391082764,9214.0,Sakshi,266.0,19.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,0,1,1,0,0
j90vvFMccEo,2023-04-04,-0.9967682361602784,2480.0,TV5,104.0,1.0,araku_valley.png,Chetti Palguna,YSRCP,Araku_valley,1,1,1,0,1
