ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy,jogi ramesh ,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,Dadisetti Raja,ap development,Kethireddy Venkatarami Reddy,tadipatri,varahi ,maa nammakam nuvve jagan,nandigama
50cuS44jVUU,2019-12-21,0.9984663724899292,22706.0,Sakshi,229.0,50.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
As7hCHSFBV0,2019-12-23,0.998088538646698,1109.0,Sakshi,511.0,1.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srFhJCK9umk,2019-12-27,0.9968385696411132,36477.0,Sakshi,194.0,29.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
zF3vEpljxzs,2020-03-04,-0.9982535243034364,910.0,Sakshi,220.0,2.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
gUPUJDPA2Qg,2020-03-09,0.9977053999900818,738.0,Sakshi,90.0,0.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2Yh57grczTc,2020-03-10,-0.9954890608787536,2247.0,Sakshi,156.0,0.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CVb_u6J0Mzc,2021-02-13,0.9985673427581788,3128.0,Sakshi,209.0,0.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1
Ejj5o5XPryo,2021-02-20,0.9966912269592284,591.0,Sakshi,199.0,2.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1
QpyPbiYM8cE,2021-08-07,0.9987521171569824,156469.0,Sakshi,383.0,183.0,kondapi.png,Dola Sree Bala Veeranjaneya Swamy,TDP,kondapi,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
