ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
B5QsNQko7Ew,2019-12-26,0.997331976890564,18368.0,Sakshi,92.0,21.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
ogxSmNn7N2g,2020-03-03,-0.992667019367218,21813.0,Sakshi,511.0,1.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRgw3hFNO9M,2021-02-14,0.998421311378479,4155.0,Sakshi,63.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xctdityZbqg,2021-09-01,0.995172679424286,1852.0,Sakshi,318.0,10.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r3y1xBeXd78,2021-10-27,-0.9983017444610596,228634.0,Sakshi,435.0,327.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9V9sre43WE,2021-11-06,-0.9943055510520936,178879.0,Sakshi,279.0,296.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JP4gTqERAU0,2021-11-11,-0.9967567324638368,12260.0,Sakshi,183.0,38.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3B04PR5hb4,2021-11-23,0.9941847920417786,44476.0,Sakshi,282.0,67.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sMBFnhm8a1U,2021-11-23,-0.9984651803970336,67156.0,Sakshi,508.0,160.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pZxiqSEp_OA,2021-12-03,-0.9802433848381042,19646.0,Sakshi,223.0,29.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
zfeKnx_Lv4Y,2021-12-03,0.9965954422950744,17738.0,Sakshi,122.0,23.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1LZbXp1dD8,2021-12-04,0.9974738955497742,8286.0,Sakshi,547.0,71.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4YXZoZOgGgY,2021-12-11,-0.9935476183891296,6919.0,Sakshi,354.0,8.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yfrHRWHH0WE,2021-12-11,-0.9940993785858154,2759.0,Sakshi,341.0,7.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
k0Y-B1s5MaI,2021-12-11,-0.9983516931533812,12596.0,Sakshi,397.0,23.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sTk9eLSNrNE,2021-12-11,-0.9974446296691896,3991.0,Sakshi,401.0,13.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sG30Dmu0PjA,2021-12-11,-0.9906094074249268,29206.0,Sakshi,252.0,79.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
8wBbcIXNsG8,2021-12-11,-0.9954019784927368,2118.0,Sakshi,190.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DEOMKvYdKMc,2021-12-15,0.9987772107124328,9005.0,Sakshi,205.0,31.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0
OhJkfRtjx6Y,2021-12-30,-0.992892861366272,19569.0,Sakshi,331.0,78.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_8wi05OCTCg,2022-01-07,0.9849407076835632,4082.0,Sakshi,182.0,16.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
oILYOdKy7RA,2022-01-14,0.9915488958358764,85518.0,Sakshi,281.0,161.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qjv9O24xlQg,2022-01-23,0.9986706972122192,3946.0,Sakshi,99.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3AsyQQxea48,2022-03-13,0.9984537363052368,6198.0,Sakshi,235.0,9.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lkZ7hbVTI8I,2022-03-13,0.9973248243331908,2750.0,Sakshi,222.0,14.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4ZnMAI40Ilc,2022-03-16,-0.9980921149253844,19006.0,Sakshi,106.0,37.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2SOLOCo0nOU,2022-04-13,0.9984890222549438,37383.0,Sakshi,130.0,17.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ks99X7TUqGg,2022-04-19,0.998596489429474,41175.0,Sakshi,210.0,23.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Fi1Jl5VQW5U,2022-04-20,0.997779905796051,305868.0,Sakshi,71.0,213.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Y3YXx3X7TY4,2022-05-06,-0.996918797492981,4577.0,Sakshi,212.0,6.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
yCEgwp8bvpM,2022-05-07,-0.999368131160736,70108.0,Sakshi,225.0,261.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Z-tA4Tq4MZ0,2022-05-19,-0.9940688610076904,194714.0,Sakshi,300.0,244.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
vziMwQTUHgE,2022-05-20,0.9971075654029846,83714.0,Sakshi,278.0,158.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B1xqXmLmli0,2022-05-25,0.9981732368469238,14349.0,Sakshi,398.0,19.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIyikkjSMwE,2022-06-03,0.9985284805297852,76541.0,Sakshi,281.0,53.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Y7Y1iXsiCs,2022-06-21,-0.9981361627578736,167484.0,Sakshi,184.0,323.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sJRsy7N08Lg,2022-06-23,0.9987840056419371,7966.0,Sakshi,339.0,11.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8OGvCSgR3Lg,2022-06-28,0.9958315491676332,920811.0,Sakshi,474.0,755.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bu9CxtmTjZU,2022-06-29,0.9955418705940248,1048.0,Sakshi,464.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2C-r5dLTCdk,2022-06-29,-0.9934072494506836,1186.0,Sakshi,479.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jhY2U-63yHg,2022-07-09,0.9975690245628356,1819.0,Sakshi,593.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dWlw9rUf3Mw,2022-07-14,-0.9882657527923584,919.0,Sakshi,251.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
P8_OntL5PIs,2022-07-16,-0.9448382258415222,18697.0,Sakshi,150.0,39.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
xOHKqpCJGdM,2022-07-19,0.9971574544906616,8335.0,Sakshi,288.0,10.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qni-1sUpnVM,2022-07-29,0.9986252784729004,69981.0,Sakshi,328.0,49.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dghiCE6YIZ4,2022-08-04,0.9921907782554626,74506.0,Sakshi,124.0,321.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
dNiuhT4-oHA,2022-08-15,0.998556673526764,3244.0,Sakshi,331.0,2.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
gYEFPWDTXQU,2022-08-16,0.9943707585334778,69414.0,Sakshi,170.0,132.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g_w3hbFz2b4,2022-08-21,0.9987264275550842,2081.0,TV5,531.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wHIxy8wR-Ww,2022-08-22,0.9971097111701964,24545.0,Sakshi,116.0,75.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vUcAPZ3-NMA,2022-08-23,-0.9982339143753052,2353.0,TV5,418.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6OoZKU3Qy8,2022-08-23,-0.9973487854003906,38337.0,Sakshi,415.0,89.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6jZDflwBoF0,2022-08-30,-0.997843861579895,2465.0,TV5,357.0,13.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8oEoGtbmLWE,2022-08-30,-0.9965224266052246,5151.0,Sakshi,117.0,11.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7bar0T1gRrc,2022-09-02,-0.9978402853012084,4568.0,TV5,258.0,18.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73qaJWbJHv0,2022-09-02,0.9930900931358336,1955.0,TV5,465.0,5.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpRHsYr4nCc,2022-09-02,0.9922358393669128,1599.0,TV5,435.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aVxviY7Sj5U,2022-09-04,0.992869198322296,2438.0,TV5,168.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-Uoo7WtqAd0,2022-09-04,0.9983938336372375,88799.0,TV5,469.0,120.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3knfqvu12OE,2022-09-05,-0.9991470575332642,3432.0,TV5,241.0,6.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0vHysUrLUc,2022-09-08,0.9921133518218994,1836.0,TV5,467.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4qmGalQxjH4,2022-09-08,-0.9984177350997924,2304.0,TV5,484.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PQ_ggkKps7Y,2022-09-08,0.9930843114852904,1298.0,TV5,450.0,1.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68bwcG106UE,2022-09-13,0.9984727501869202,2282.0,TV5,219.0,3.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6O65Mlp-XK8,2022-09-13,0.99623042345047,16645.0,TV5,124.0,10.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6VLqo_cuf0,2022-09-15,-0.9982576966285706,4213.0,TV5,90.0,6.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rb4nrgdBgm0,2022-09-15,-0.9978528022766112,4436.0,TV5,324.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
EV30Q0moCjI,2022-09-17,-0.9988865256309508,7943.0,Sakshi,274.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46F3nC6g7nQ,2022-09-17,0.9933400750160216,8395.0,Sakshi,539.0,29.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mZyq8AfaFcw,2022-09-19,-0.997633934020996,828.0,TV5,225.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IyAuDHUsSYA,2022-09-20,-0.9981095790863036,2317.0,TV5,277.0,2.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
q8wmVw0qSKM,2022-09-21,-0.998607337474823,6783.0,TV5,40.0,20.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eYhHwFYV9qY,2022-09-25,0.9897350072860718,3314.0,TV5,468.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4vwSqB1xht4,2022-09-29,-0.92169189453125,1655.0,TV5,270.0,20.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uevx-yNLtA8,2022-10-01,0.9630534648895264,14859.0,Sakshi,263.0,55.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_V1xOOg_sbw,2022-10-04,0.9900813698768616,1981.0,Sakshi,351.0,4.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-nNzPISThY,2022-10-05,0.9985781908035278,4037.0,Sakshi,523.0,11.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZ2VGMJd1fM,2022-10-08,0.9924414157867432,805.0,TV5,370.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EB67n2-Xn98,2022-10-09,-0.9952195286750792,118113.0,TV5,164.0,165.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NWzQS5ShpbU,2022-10-12,-0.9965865612030028,776.0,ABN,328.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4RlmhchQAM,2022-10-15,-0.9961190223693848,1518.0,ABN,131.0,0.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Se88_S7_PUE,2022-10-15,0.9961910247802734,10396.0,Sakshi,109.0,43.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Fi98Y0mRzIg,2022-10-16,-0.9991143345832824,581.0,TV5,194.0,1.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
983hdxuUEVY,2022-10-18,-0.9952281713485718,14380.0,TV5,310.0,11.0,pithapuram.png,Dorababu Pendem,YSRCP,Pithapuram,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
