ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cI7S-L9O7mQ,2020-03-09,-0.9942864775657654,12225.0,Sakshi,241.0,23.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
enFaohjI2js,2021-11-06,-0.9818167686462402,92737.0,Sakshi,435.0,309.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ierg_wH4yr4,2021-11-30,0.99712735414505,3776.0,Sakshi,258.0,17.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4ZnMAI40Ilc,2022-03-16,-0.9980921149253844,19006.0,Sakshi,106.0,37.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
gJvR01uHwl8,2022-05-08,0.9985268115997314,6581.0,Sakshi,264.0,28.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ewOGM327j8g,2022-08-02,0.9960094690322876,581.0,Sakshi,377.0,0.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cK76p_8Lw7c,2022-08-21,0.9802772402763368,837.0,TV5,357.0,1.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dyBaUGTzCf8,2022-08-21,-0.8827887177467346,1267.0,TV5,311.0,4.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0
70SSnChD5yQ,2022-08-21,-0.9805692434310912,947.0,TV5,471.0,6.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8QwgQeGisg,2022-08-22,0.998704433441162,1610.0,TV5,420.0,7.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BXbJ5untIgs,2022-08-22,0.9850282669067384,1808.0,TV5,420.0,2.0,guntur_l.png,Galla Jayadev,TDP,Guntur,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
aJX4ER7EPhU,2022-08-22,0.9986490607261658,2029.0,TV5,385.0,6.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1Z_dj8O3eA,2022-08-29,0.9983787536621094,7406.0,Sakshi,181.0,9.0,guntur_l.png,Galla Jayadev,TDP,Guntur,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
