ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,yuvagalam,ap assembly session today,alliance,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
l4C4fxPqY1Q,2020-03-07,0.9983116388320924,4850.0,Sakshi,201.0,3.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
CjH9qxWu0ag,2021-10-28,-0.995141625404358,9261.0,Sakshi,288.0,36.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
hQQOxpQOExo,2022-03-04,0.9985930323600768,6609.0,Sakshi,404.0,6.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
clKoqU1HBUg,2022-03-08,0.9982243180274964,13828.0,Sakshi,363.0,4.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
a5J4RdFJmRk,2022-06-26,0.9968384504318236,1845.0,Sakshi,498.0,1.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5ZTltafcFvs,2022-06-29,-0.9990602135658264,52560.0,Sakshi,445.0,94.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
DFsstw7SMHk,2022-06-30,-0.9994519352912904,3061.0,Sakshi,268.0,3.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4pLmgovDjbU,2022-07-10,0.9862492680549622,588256.0,Sakshi,559.0,870.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
pCisqwf9n6M,2022-07-10,0.9983918070793152,113276.0,Sakshi,342.0,115.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1
A6d50fbuX0s,2022-07-14,0.9935247898101808,1792.0,Sakshi,241.0,2.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
ZIz7LFLPqyU,2022-07-27,0.997948944568634,11523.0,Sakshi,248.0,15.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
dBS9gsdcLzE,2022-07-27,0.9937392473220824,6594.0,Sakshi,221.0,21.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0Ywawf-PAIA,2022-08-07,0.9960796236991882,83561.0,Sakshi,198.0,40.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
HnsSMiBQBkU,2022-08-26,0.9980315566062928,7896.0,Sakshi,126.0,13.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
mjrN95ER2Hw,2022-08-30,-0.9978961944580078,4261.0,TV5,217.0,5.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2yYTmsFqMr8,2022-09-10,0.9987010955810548,1003.0,TV5,250.0,0.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JtcIDr7vivE,2022-09-16,0.9987803101539612,6720.0,Sakshi,363.0,9.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cPr8om-S6Ck,2022-09-19,0.9952660799026488,14642.0,Sakshi,406.0,13.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
ibrc_E-MEGs,2022-09-21,-0.9704312086105348,85625.0,TV5,195.0,95.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
lHWWCcexd-A,2022-10-15,-0.9978399276733398,3700.0,TV5,100.0,6.0,araku.png,Goddeti Madhavi,YSRCP,Araku_st,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
