ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ap assembly session today,alliance,visakha
aDZuPsiYBkc,2019-12-22,0.9983264803886414,434.0,Sakshi,248.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,1,1,1,1,0,0,1,0,0,0,0
zF3vEpljxzs,2020-03-04,-0.9982535243034364,910.0,Sakshi,220.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,0,1,0,0,1,1,0,0,0
ZVMwO66hbpc,2020-03-04,0.993248701095581,86821.0,Sakshi,309.0,3.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,1,0,0,1,0,0,0,0,0
-pSdBxaGBtQ,2021-02-21,0.9977710247039796,3178.0,Sakshi,157.0,1.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,1,1,0,0,0,0,0,0,0,0,0
7ceI6i9H5MI,2021-12-15,-0.9968942403793336,9570.0,Sakshi,285.0,57.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,1,1,1,0,0,0,0,1,0,0
14aIiTA02SU,2021-12-22,-0.9994831085205078,35286.0,Sakshi,225.0,90.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,1,1,0,0,0,0,1,0,1,0
-IsW14niq94,2021-12-31,0.9926607608795166,2341.0,Sakshi,365.0,5.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,0,0,1,0,0,0,0,0,0,0,0,0
PNTE42xQpvk,2022-03-10,-0.988101363182068,5910.0,Sakshi,177.0,4.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,1,1,1,0,1,0,0,1,1,0,1,0,1
oHDsIRmZV30,2022-03-15,0.9885013103485109,13601.0,Sakshi,235.0,34.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
3KIAu9rPzAQ,2022-03-15,-0.9991695880889891,54276.0,Sakshi,275.0,90.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,1,0,0
GCWvFZGCjcM,2022-03-17,-0.9949559569358826,12269.0,Sakshi,495.0,15.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,1,0,0,0,0,0,0,0
kyClKrhBB_0,2022-03-21,0.9962605834007264,1316.0,Sakshi,167.0,2.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,1,1,0,0,0,0,0,0,0,1,1,0
17CL6xp6BgA,2022-03-25,-0.996505856513977,1207.0,Sakshi,390.0,0.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,1,0,0,0,0,0,0,0,0
X0nG0akwTtA,2022-03-30,0.9983034133911132,5999.0,Sakshi,138.0,13.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
Wp8qWEjR6nc,2022-04-18,-0.997553050518036,9104.0,Sakshi,141.0,16.0,payakaropet.png,Golla Babu Rao,YSRCP,Payakaraopeta,0,0,0,0,0,0,0,0,0,0,0,0,0
