ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy,Kakani,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,nandigama
xm_tUbD61sg,2019-12-20,0.9944323897361756,1867.0,Sakshi,425.0,1.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liu2DRoXFm4,2020-03-09,0.997572124004364,3982.0,Sakshi,282.0,7.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0
wqLHaGF7mbY,2020-03-11,0.9921686053276062,13760.0,Sakshi,545.0,8.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vshUnM2NBbQ,2020-03-12,-0.9983708262443542,771.0,Sakshi,304.0,2.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u9OSA-f-wkw,2020-03-17,-0.9992369413375854,2071.0,Sakshi,546.0,4.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oEKk0MNd5hM,2021-02-15,0.9976578950881958,2900.0,Sakshi,200.0,5.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
tjia3TT_kXU,2021-02-20,0.9832284450531006,838.0,Sakshi,401.0,4.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSLPP-9bthg,2021-08-06,0.9971866011619568,1888.0,Sakshi,129.0,7.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
YdIGxfA3710,2021-08-07,0.9958189129829408,2131.0,Sakshi,207.0,4.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
v3Sz81_MElk,2021-09-05,0.9957925081253052,3125.0,Sakshi,152.0,15.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1
QPLuQuf955U,2021-09-22,0.9987632036209106,1295.0,Sakshi,257.0,3.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1
e7lkCK995VY,2021-10-23,-0.9823241233825684,1715.0,Sakshi,261.0,4.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
WaygrQhnY88,2021-10-26,-0.991607666015625,1342.0,Sakshi,334.0,5.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODSDtknS1rY,2021-11-15,0.9943389296531676,6649.0,Sakshi,299.0,10.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
8RBOtsxN_y0,2021-11-16,0.9892444610595704,13614.0,Sakshi,447.0,23.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALD0bm5qzU,2021-11-26,0.9956901669502258,123565.0,Sakshi,137.0,157.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
td2C18XGRUY,2021-12-08,0.9976962208747864,2349.0,Sakshi,374.0,7.0,narasaraopet.png,Gopireddy Srinivasareddy,YSRCP,Narasaraopet,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
