ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,gorantla ,polavaram,suprem court,butchaiah chowdary
LnWTBqOR-2Q,2022-08-21,0.9987432360649108,2684.0,TV5,215.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,1,0,0,0,0,1,1,0,1
G6OoZKU3Qy8,2022-08-23,-0.9973487854003906,38337.0,Sakshi,415.0,89.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,1,0,0,0,0,0,0
ywuGdGPPkso,2022-08-30,0.994429349899292,108792.0,Sakshi,294.0,450.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,1,0,0,0,0,0,0
AYgWrxUGlp4,2022-09-06,-0.9938177466392516,3214.0,TV5,550.0,6.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
zS7U9EHSvRw,2022-09-11,-0.9962087869644164,22692.0,TV5,195.0,37.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,0,0,0,0,0,1,0,0,1
6zw-gcgwbwk,2022-09-16,0.8881784081459045,1233.0,Sakshi,577.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,1,0,0,0,0,0
2FHbIZHb_k4,2022-09-28,0.9826258420944214,2382.0,TV5,180.0,4.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,1,1,0,0,0,0,0,0
YgaBLp684vs,2022-09-28,-0.9994807839393616,56407.0,TV5,125.0,192.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,0,0,0,0,1,0,0,1
aH9RPVa9Rzo,2022-09-28,-0.9910504817962646,30586.0,TV5,350.0,62.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,1,0,0,1,0,0,1
SENp4rbSNbU,2022-09-28,0.9955291152000428,7037.0,TV5,345.0,13.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,1,0,0,0,0,0
0vrPUVZhbL0,2022-10-11,-0.9977219700813292,47882.0,ABN,505.0,100.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
uBmpv1ylhd8,2022-10-11,0.9981908202171326,3908.0,ABN,530.0,8.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
cuo7oA8lV28,2022-10-13,-0.9980446100234984,1707.0,TV5,110.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,1,1,0,0,1
YkiSwSmxo1o,2022-10-13,-0.99868243932724,5388.0,TV5,222.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,0,1,0,1,1,1,1,1
fCDjYGFnfv8,2022-10-13,0.9857686161994934,2214.0,TV5,520.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,1,0,0,1,0,0,1,0,0,1
KTDUtnKNKZQ,2022-10-13,-0.9976892471313475,1342.0,TV5,90.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,1,1,0,1,1
JX-ZPYIsdYE,2022-10-13,-0.9990346431732178,2093.0,TV5,175.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,0,1,1,0,0,1,0,0,1
Z5Iaxrc8yAo,2022-10-13,-0.997821807861328,641.0,TV5,115.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,0,1,0,0,1,0,0,1
0FzJF3NtBGI,2022-10-14,-0.9896920323371888,3733.0,ABN,330.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,1,0,1,0,0,1
H1MG68bMQCw,2022-10-14,0.9933528900146484,512.0,ABN,473.0,0.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,1,0,0,1,0,0,0,0
a6p2zNT6Uyg,2022-10-14,-0.9994207620620728,6925.0,ABN,465.0,11.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
FaAyTE9lg30,2022-10-25,0.9975550770759584,5781.0,ABN,280.0,1.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
GHr_W2VCPPA,2022-10-25,-0.995744526386261,10640.0,ABN,540.0,22.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,1,0,0,0,0
8DZpK97TYfo,2022-10-25,0.9960387945175172,6582.0,ABN,375.0,14.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,0,0,0,0,0,0,0,0,0,1
t7YiSzcFHso,2022-11-03,0.9807495474815368,1110.0,ABN,533.0,3.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,0,0,0,0,0,0,0,0,0,0,0
xGK9mGRBjvI,2022-11-07,-0.9918836355209352,2196.0,TV5,82.0,8.0,rajahmundry_rural.png,Gorantla Butchaiah Chowdary,TDP,Rajahmundry_rural,1,1,1,0,0,1,1,0,0,0,1
