ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,high court,alliance,suprem court,ap development,High Court
wHWJ1Y5Tydg,2020-03-06,-0.9753771424293518,466.0,Sakshi,202.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
63BPTmkM9wQ,2020-03-06,-0.9982362985610962,1897.0,Sakshi,296.0,1.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,1,0,1,0,1,1,1,0,1,0,0,0,1
GTjBbhzW-cY,2020-03-10,-0.9991832375526428,334390.0,Sakshi,408.0,91.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,1,0,0,1,1,0,0,0,0,0,0
pPMu-1eGboI,2020-03-14,0.96278578042984,2771.0,Sakshi,290.0,0.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
u9OSA-f-wkw,2020-03-17,-0.9992369413375854,2071.0,Sakshi,546.0,4.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,1,0,0,1,1,0,0,0,0,0,0
wcNH4CBc-YE,2021-02-17,-0.9948487877845764,73404.0,Sakshi,168.0,92.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,1,0,0,0,1,1,0,0,0,0,0,0,0
LOSfbt_ZToQ,2021-11-14,0.998336136341095,17725.0,Sakshi,233.0,72.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,1,0,1,0,1,0,0,1,1,1,0
fb1OdRIGBko,2021-11-17,-0.999416708946228,3755.0,Sakshi,348.0,29.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,1,0,0,0,1,0,1,0,1,1,1
lFSbkEqaWko,2021-11-25,0.9566534161567688,680.0,Sakshi,121.0,4.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,1,1,1,0,0,1,1,0,0,0,1,0
aWClWmemUNs,2021-12-06,0.9961332082748412,4766.0,Sakshi,379.0,14.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
VUUpGJBzgTg,2022-02-02,-0.9956654906272888,10358.0,Sakshi,536.0,55.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,0,0,0,0,0
u62iTAgs3L8,2022-02-06,0.998161256313324,21092.0,Sakshi,278.0,78.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,1,0,0,0,0,0,0
6s9RoYi3OFg,2022-03-07,-0.990336537361145,4216.0,Sakshi,486.0,9.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,0,0,0,0,0,0,0,0,0
qb_RyvZj1wc,2022-04-21,0.9977325201034546,3447.0,Sakshi,448.0,2.0,addanki.png,Gottipati Ravikumar,TDP,Addanki,0,0,0,0,1,0,0,0,0,0,1,1,0
