ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy
_fzfWMeq3L8,2019-06-30,0.9906209707260132,2611.0,Sakshi,350.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C25d4N0kU10,2019-12-20,0.9984046816825868,5806.0,Sakshi,528.0,11.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
x2L89rz2M74,2019-12-21,0.9985659718513488,35722.0,Sakshi,91.0,20.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P5CcDVhJ1fQ,2019-12-21,0.996558964252472,588.0,Sakshi,67.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
YGzUhGTTtk0,2019-12-23,0.9966772794723512,1362.0,Sakshi,362.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
v_SVoJEwGtQ,2019-12-23,0.9973088502883912,8770.0,Sakshi,215.0,10.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
_VDubhdhsRo,2020-03-09,-0.9866898059844972,1279.0,Sakshi,184.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ZInyuZynGqE,2020-03-10,0.9932838678359984,2295.0,Sakshi,313.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fA8qXpBKt4g,2020-03-11,-0.9982118606567384,13482.0,Sakshi,456.0,20.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R8OZ7HgA2g8,2020-03-11,-0.9929078817367554,6712.0,Sakshi,156.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
ePWlzupwlYw,2020-03-11,0.9980521202087402,19608.0,Sakshi,316.0,12.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
hlgAv1qYOVg,2020-03-11,0.9962718486785888,33652.0,Sakshi,321.0,10.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T--xU_foA0I,2020-03-12,0.9984812140464784,13231.0,Sakshi,182.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTO7UTL_ejE,2020-03-12,-0.9982165694236756,1504.0,Sakshi,104.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ea8vjnmeH6s,2021-02-14,0.998063862323761,7297.0,Sakshi,77.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruYR9NymwMI,2021-02-14,0.9982393980026244,3047.0,Sakshi,192.0,3.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
XQmLdtoCzZ0,2021-02-16,-0.992637038230896,3842.0,Sakshi,63.0,2.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gt8-Uw1sAKY,2021-09-27,-0.9993070363998412,17353.0,Sakshi,344.0,72.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
jS2kcqDhvnE,2021-11-03,-0.990413248538971,1882.0,Sakshi,99.0,4.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
zgSTSMlNmUs,2021-11-03,-0.9968274235725404,2678.0,Sakshi,272.0,10.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
dhxq8TfxAU4,2021-11-03,-0.983182430267334,3481.0,Sakshi,400.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
L0aQc84DTJM,2021-11-17,0.9985668063163756,22183.0,Sakshi,411.0,26.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K55BdsBVm98,2021-11-26,0.99844092130661,16050.0,Sakshi,68.0,24.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
aqLKh26pWI4,2021-11-26,0.9986542463302612,5992.0,Sakshi,81.0,8.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
wcZPMmKTf_w,2021-12-07,-0.9977445602416992,31218.0,Sakshi,141.0,93.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
nmT-SqgsX_c,2022-03-16,0.994838297367096,1445.0,Sakshi,520.0,5.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s4ChF3oZPyY,2022-03-16,0.9955728054046632,1806.0,Sakshi,77.0,2.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
xRMjVhMIB9w,2022-04-05,0.9984637498855592,6038.0,Sakshi,301.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NkBp1C1Na_4,2022-04-18,0.9986741542816162,10066.0,Sakshi,223.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
zylXVkl7B6o,2022-05-11,0.9934291243553162,2866.0,Sakshi,261.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1kM4sILuV3I,2022-05-12,-0.9891533255577089,2819.0,Sakshi,169.0,16.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T8xgQkdzztI,2022-06-27,0.9873522520065308,2212.0,Sakshi,140.0,1.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
kMXpRnDGc5E,2022-07-08,0.9983786344528198,1121741.0,Sakshi,554.0,0.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jek4Z6g6iTE,2022-07-08,0.9949803948402404,2538.0,Sakshi,336.0,7.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Z2oPQU4V_aM,2022-07-08,0.9971038699150084,50831.0,Sakshi,491.0,81.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
q90_dXtkA2E,2022-07-09,0.9987615346908568,157459.0,Sakshi,485.0,187.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dGspX2gnY-c,2022-07-12,0.9939374923706056,18116.0,Sakshi,342.0,22.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
wDEVaEAowvs,2022-07-14,0.9924625158309937,3835.0,Sakshi,341.0,18.0,rangaram.png,Jakkampudi Raja,YSRCP,Rajanagram,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
