ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ysrcp
bS2ag68dz1k,2022-03-14,-0.998740017414093,4018.0,Sakshi,299.0,11.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
l13pZqxSPg4,2022-06-29,0.8710405230522156,2195.0,Sakshi,338.0,0.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
4ny04yDZszQ,2022-09-15,0.9986783862113952,802.0,Sakshi,205.0,3.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
eenDdl9zI5M,2022-09-15,-0.9988086223602296,3333.0,Sakshi,192.0,4.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
rHOmhTmoymc,2022-10-08,0.9972649812698364,6046.0,Sakshi,151.0,20.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
mi9uc_ZftL0,2022-10-10,0.9939643740653992,4487.0,TV5,288.0,23.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
_W2mbOhM6fo,2022-11-04,-0.9942619800567628,502.0,TV5,286.0,0.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
BnJ2w42JINM,2022-11-17,-0.9968106150627136,55071.0,Sakshi,540.0,128.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
DujzYKmj5UY,2022-12-16,-0.9952751398086548,19048.0,TV9,319.0,49.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
J13OGyHWoYM,2022-12-16,-0.9951735138893129,6552.0,TV9,320.0,9.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
hjQDKhLkSuk,2022-12-28,0.9970786571502686,1455.0,Sakshi,356.0,1.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
rDVKqztrjDc,2022-12-31,0.9969038367271424,464.0,TV9,337.0,0.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
wBUdoHMcHUo,2023-01-07,-0.9887506365776062,6076.0,TV5,263.0,5.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
476QbUVFSTA,2023-01-08,0.9966578483581544,711.0,TV9,114.0,2.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
Q0rlw3QyZZ8,2023-01-08,-0.9941436648368835,975.0,ABN,333.0,0.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
DxeZ_6QktuI,2023-01-19,0.9988466501235962,1894.0,Sakshi,219.0,2.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
0xaeO6V01Qg,2023-02-01,-0.9959677457809448,11056.0,TV9,219.0,22.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
URvjmexyMHQ,2023-02-01,-0.9699990153312684,21233.0,TV9,449.0,41.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
HlmGtrh7Cak,2023-02-05,0.9882373213768004,50048.0,TV9,228.0,22.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
hRoQo2NMgEo,2023-02-06,0.9945899248123168,3053.0,Sakshi,256.0,2.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
OuUZPwDp8YM,2023-02-10,0.9896913170814514,657.0,ABN,160.0,1.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
EZBYShGO3is,2023-02-10,-0.9907344579696656,725.0,ABN,240.0,1.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,0
TV0pXH0yTis,2023-02-10,-0.9994756579399108,335.0,ABN,190.0,1.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
pZDg2A39xyQ,2023-04-15,0.9928348064422609,31823.0,Sakshi,325.0,52.0,kodumur.png,Jaradoddi Sudhakar,YSRCP,Kodumur_sc,1
