ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency
gprjfiTDhrM,2019-12-20,0.9965912103652954,1491.0,Sakshi,352.0,5.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
qKCVUDFeRBU,2020-03-14,-0.9649703502655028,828.0,Sakshi,146.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
8t385rLA_1g,2022-02-07,-0.6318177580833435,6579.0,Sakshi,165.0,7.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
rSHb0zdGFgs,2022-02-15,0.9975428581237792,57728.0,Sakshi,433.0,105.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
rqfeoOT3RbE,2022-04-30,0.9988534450531006,118905.0,Sakshi,185.0,139.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
JYoCGUBTM1k,2022-08-26,0.9981803894042968,4794.0,Sakshi,189.0,10.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
rkgOCy7lVss,2022-08-29,0.9984800219535828,685.0,TV5,221.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
gTVI5HCIU14,2022-10-10,0.9911656975746156,819.0,TV5,333.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
kT81aUqHmr4,2022-10-19,-0.9958765506744384,54848.0,TV5,325.0,70.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
jLJIENp4HBc,2022-10-27,-0.9983456134796144,496.0,TV5,238.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
Nf9tzLZwXTE,2022-11-14,-0.9982435703277588,113742.0,TV5,585.0,301.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
pPcBC5qfI98,2022-11-18,0.9934364557266236,23979.0,Sakshi,484.0,39.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
Pr06ZXifed0,2022-12-01,-0.9973740577697754,1118.0,TV9,245.0,1.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
kktmz7-s5ds,2022-12-05,-0.9852861166000366,481.0,TV9,129.0,4.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
gwNdzVka2H0,2022-12-09,-0.974405825138092,928.0,TV5,547.0,2.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
W21_TLojgxI,2022-12-09,-0.9852225184440612,1160.0,TV9,370.0,5.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
ArZldbZXHA8,2022-12-09,0.9979378581047058,428.0,TV9,268.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
eDiBz7BBjFM,2022-12-09,0.9898743629455566,1299.0,TV9,224.0,1.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
spt3VXDa4BQ,2022-12-09,0.9943873286247252,2615.0,TV9,106.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
swCHc18ii2w,2022-12-09,-0.9954184293746948,1650.0,TV9,277.0,3.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
70juZaWwTHU,2022-12-09,0.9969103932380676,941.0,TV9,199.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
vfUOJjSKeY0,2022-12-09,-0.9831668734550476,418.0,TV9,383.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
ifooqlK7j5c,2022-12-09,0.9957798719406128,336.0,TV9,354.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
XgbpafJ-i80,2022-12-09,-0.9960620999336244,2866.0,TV9,289.0,4.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
PXyZemm20Yc,2023-01-10,-0.997484803199768,1565.0,ABN,119.0,1.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
LwfUv62fQYo,2023-02-10,0.9926865100860596,320.0,TV5,565.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
1ZuLWUwc5bM,2023-02-12,0.997925877571106,4184.0,ABN,350.0,5.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
nFAixykdzD0,2023-02-12,-0.9958162903785706,11591.0,TV9,171.0,10.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
0DGsvoYeGak,2023-02-12,-0.9987609386444092,161369.0,TV9,139.0,120.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
zYW2tZNGiFc,2023-02-16,-0.996145725250244,750.0,TV9,368.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
0M_D9XOU06w,2023-03-01,-0.998335897922516,499.0,ABN,144.0,7.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
pXGYs1PUOww,2023-04-01,0.9874845147132874,678.0,TV9,274.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
Y9lFi68JAi8,2023-04-16,0.9770474433898926,4400.0,TV9,280.0,0.0,yemmiganur.png,K Chenna Kesava Reddy,YSRCP,Yemmiganur
