ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,alliance,Peddireddy ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
-3OBYcEUXSw,2019-06-30,0.9986299276351928,12468.0,Sakshi,54.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
RcNF8oNPrcc,2020-03-04,-0.991260588169098,1160339.0,Sakshi,362.0,326.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zF3vEpljxzs,2020-03-04,-0.9982535243034364,910.0,Sakshi,220.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
DEOMKvYdKMc,2021-12-15,0.9987772107124328,9005.0,Sakshi,205.0,31.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1
jtkXhAuxUJA,2022-02-03,-0.9971006512641908,14388.0,Sakshi,494.0,137.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4t-rfIHrT08,2022-02-08,0.9982182383537292,8041.0,Sakshi,375.0,20.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oNOc7m5gvsQ,2022-03-10,0.9885546565055848,3733.0,Sakshi,470.0,7.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9KaNLRK2AYg,2022-03-12,0.9986180067062378,4463.0,Sakshi,129.0,7.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
CQ6meSBHexw,2022-03-12,0.9988119602203368,1864.0,Sakshi,144.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
adjILOdtsL4,2022-03-21,0.9927720427513124,1185.0,Sakshi,486.0,5.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
