ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,visakha,yuvashakti,suprem court,ap development,tadipatri
7ceI6i9H5MI,2021-12-15,-0.9968942403793336,9570.0,Sakshi,285.0,57.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,1,1,0,0,0,0,0,0
JN-2w_X9F2g,2022-08-21,0.975397765636444,14749.0,TV5,368.0,22.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,0,1,0,0,1,0,0,0
g0cQByo6g7A,2022-08-21,0.9963577389717102,11025.0,TV5,445.0,24.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,1,0,0,0,0,0,0,0
eywoM5krw9w,2022-09-01,-0.9987289309501648,802.0,TV5,198.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,1,0,0,0,0,0,0,0,0
eowN1LS-ODs,2022-09-10,-0.9991568326950072,1003.0,TV5,280.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,1,1,0,0,1,1,1,1,1
qWk8SxqYYbQ,2022-09-17,0.9943397641181946,1423.0,TV5,254.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,0,0,0,0,0,0,0,0,0
yMeiFEocIXU,2022-09-23,0.9973312616348268,16570.0,TV5,320.0,35.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,1,1,1,0,0,0,1,0,0
7pkJmgDFvT0,2022-09-23,0.99770325422287,21940.0,TV5,290.0,21.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,1,0,1,1,1,1,1
VjZpsIzJxKw,2022-09-23,0.9922168254852296,10342.0,TV5,265.0,18.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,1,0,0,0,0,0,0
GEc1nc0BhcI,2022-09-27,-0.997890055179596,3409.0,TV5,570.0,9.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
VXxCGrblEtc,2022-09-29,-0.9987990856170654,57314.0,TV5,220.0,112.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,1,0,1,0,0,1,1,0
zdIf5eE0izg,2022-09-30,0.994912087917328,1570.0,TV5,160.0,6.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,0,0,0,0,0,0,0,0,0
uBmpv1ylhd8,2022-10-11,0.9981908202171326,3908.0,ABN,530.0,8.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
0vrPUVZhbL0,2022-10-11,-0.9977219700813292,47882.0,ABN,505.0,100.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
dfYFxL32MWU,2022-10-12,0.9707829356193542,1264.0,ABN,349.0,14.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
Xa_NQSzvyBE,2022-10-13,-0.9913193583488464,2255.0,ABN,295.0,10.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,1,0,1,0,0
YsdPyivxdXs,2022-10-26,-0.999122440814972,2006.0,TV5,305.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,1
bWcgAINmwFc,2022-10-31,0.9987234473228456,1700.0,Sakshi,345.0,10.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,1,1,0,0,0,0,0,0
jS_LMRExs60,2022-11-04,-0.9965113997459412,2818.0,TV5,565.0,9.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
WVDoEX2wTdk,2022-11-05,0.9932265877723694,1575.0,TV5,303.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,1,0,0,0
R98lPmb8O_c,2022-11-10,0.9976674914360046,1580.0,TV5,275.0,2.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,1,0,0,0,1,1,0,1,1
RUk1lRk4nxM,2022-11-10,-0.99741530418396,6209.0,TV5,360.0,7.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,1,0,0,0,0,0,0,0
SegnBq7GOz4,2022-11-12,0.9971157312393188,79739.0,Sakshi,570.0,391.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
hLyVhtRr8Ac,2022-11-12,0.9970412850379944,279688.0,Sakshi,586.0,765.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,1,0,0,1,0,0,0,0
9vKx9oqsW1E,2022-11-12,0.998206377029419,2966.0,TV5,323.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,0,0,0,1,0,0,0,0,0
t_g9agfHa_g,2022-11-12,0.9974116683006288,6593.0,Sakshi,47.0,6.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,0,1,1,1,0,1,0
AILxDHqvOLM,2022-11-21,0.9920194745063782,1614.0,TV5,531.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,0,0,0,0
-r0Lzg7dxSg,2022-11-21,-0.9920694828033448,2861.0,TV5,527.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,0,0,0,0,0,0,0,0,0,0
geLCgDRLvpI,2022-11-21,0.8705497980117798,1486.0,TV5,481.0,2.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
_TPZ0EuZnbI,2022-11-22,-0.5391230583190918,1933.0,ABN,175.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,1,0,0,0,0,0,0,0,0
l003-UZWq28,2022-11-22,-0.96382337808609,3356.0,ABN,370.0,4.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,1,0,0,1,0,0,0,0,1
XnOu0WkETsQ,2022-11-27,0.9984639883041382,426.0,ABN,90.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
Vzp8ehZYIuA,2022-12-01,-0.9955753087997437,2771.0,ABN,435.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,0,0,0,0,0,0,0
EaDQ75-ucz8,2022-12-08,0.9959771037101746,743.0,ABN,368.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,1,0,0,0,0,0
O4xSD-mjFzw,2022-12-12,-0.9984676241874696,38221.0,TV5,144.0,62.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,0,0,0,0,1,0,0,0,0,0
rThBxyfTpKQ,2022-12-19,-0.9959415793418884,1679.0,Sakshi,577.0,5.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,1,0,0,0,0,0,0
ze1cv8bQjgY,2022-12-23,-0.9962463974952698,10058.0,ABN,270.0,17.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,0,0,0,0,1,0,0,0,1,0
9AL7hwulG8E,2022-12-23,0.9981787204742432,46233.0,TV9,544.0,20.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
l_rCjaFp4p8,2022-12-27,-0.9989935755729676,5602.0,TV9,178.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,1,1,1,0
-t1ZzFghTR8,2022-12-27,-0.998621702194214,2136.0,TV9,372.0,5.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
_Q3MU3WDQT4,2023-01-03,-0.9980815649032592,17290.0,TV5,345.0,45.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,1,1,0,1,1,1,0,0,0,1,1
4Q53g9SCL_Y,2023-01-11,-0.9915297031402588,2866.0,ABN,210.0,7.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,1,0,0,0,0
fsV5k7_aaw4,2023-01-11,-0.9483524560928344,69155.0,ABN,525.0,115.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
3cA5Lu6-UHI,2023-01-11,-0.9691331386566162,32538.0,ABN,415.0,47.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
ewgXK-cziRs,2023-01-12,0.9974842071533204,151622.0,TV9,392.0,5.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
3ZiQovCChYE,2023-01-15,0.9985236525535583,859.0,ABN,166.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,1,0,0,0
Aawo0afJqi0,2023-01-15,0.9976770281791688,3136.0,TV9,485.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,1,0,0,0,0
xYeX4cgQXRE,2023-01-17,-0.9983168840408324,734.0,ABN,235.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,0,0,0,0,0,0,1,0,0
SrF3HhcAkl4,2023-01-18,-0.99570894241333,2101.0,ABN,265.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,1,1,0,1,0,0,0,0,0,0,0
vUQOBu_mPLo,2023-01-20,0.9930436611175536,1995.0,TV9,244.0,2.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
e_16H78PwIM,2023-01-24,0.9939864873886108,2629.0,ABN,350.0,6.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
fBii50_m4W0,2023-01-24,-0.9978601336479188,5682.0,ABN,505.0,12.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
BYYcLeIZ3bc,2023-01-24,0.998021364212036,30674.0,ABN,425.0,129.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
rRhGH5U6unQ,2023-01-24,-0.9970898628234864,34927.0,ABN,395.0,73.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,0,0,0,0
YFxYEf9sq3g,2023-01-24,0.9983651041984558,3682.0,ABN,290.0,20.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,1,0,1,0,0,0
-hJ55DAb9Fw,2023-01-24,0.998551309108734,1340.0,ABN,305.0,7.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,0,0,0,0,0,1,0,1,1
7QFYcBgkuTQ,2023-02-02,0.9932075142860411,9627.0,TV5,540.0,3.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,1,0,0,0,0,0,0,0,0,0,0,0
C5S4jCRt9YU,2023-02-04,0.9897415637969972,21150.0,Sakshi,180.0,29.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,1,1,1,0,1,1,0,0,1,0
soGnGMQABgw,2023-02-05,-0.9960748553276062,4288.0,TV9,342.0,1.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
hn3vS797efI,2023-02-14,-0.9979625940322876,1784.0,ABN,170.0,0.0,kvp_ramchandraravu.png,K. V. P. Ramachandra Rao,CONG,,0,0,0,1,0,0,0,0,0,0,0,0
