ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy, vidadala ,Kakani,vijayasai reddy,jogi ramesh ,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,ys vijayamma,Pension,vangaveeti radha,suprem court,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,gudivada ,varahi ,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
SbrzAUlc-NE,2019-06-29,0.9973986148834229,5841.0,Sakshi,132.0,0.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
rZM6G2dgXmw,2019-06-29,0.8979321718215942,2838.0,Sakshi,286.0,0.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lh6B9sIqaH4,2019-06-30,0.9977732300758362,312889.0,Sakshi,83.0,0.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TQlpgkzsJ_U,2019-12-21,0.9973255395889282,1207.0,Sakshi,121.0,1.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LjY8sHUtRvE,2020-03-05,0.9979374408721924,1247.0,Sakshi,196.0,5.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
p5VbOUJ5YlA,2020-03-07,-0.9909694790840148,1719.0,Sakshi,500.0,2.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sK3LGgk6eFQ,2020-03-07,-0.995253562927246,611.0,Sakshi,442.0,0.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wda42vu7p9E,2020-03-16,-0.9994864463806152,2711.0,Sakshi,287.0,8.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4i2iPsXDrLc,2020-03-16,-0.9994370341300964,1755.0,Sakshi,287.0,8.0,sarvepalli.png,Kakani Govardhan Reddy,YSRCP,Sarvepalli,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
