ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvashakti,suprem court,ap development
83ma9xvBQDI,2019-12-22,0.9985994696617126,699.0,Sakshi,169.0,0.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,0,1,0,0,0,1,0
iPMZ8Dg9Vjc,2021-12-07,0.996597945690155,2183.0,Sakshi,116.0,3.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,1,0,0,1,0,0,0
zW16ZQH9ugk,2021-12-30,0.9860448837280272,9369.0,Sakshi,143.0,57.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,1,0,0,0,0,1,0
Fn0sIdHcXOc,2022-03-14,0.9940298795700072,16368.0,Sakshi,354.0,44.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,0,0,0,1,1,0,0,0
DFYbtmIx9oA,2022-03-16,-0.9911237955093384,3603.0,Sakshi,249.0,2.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,1,0,1,0,0,0
-sCnVogZTSo,2022-03-17,-0.9933881759643556,5614.0,Sakshi,62.0,7.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
P2U3hkwr0bk,2022-05-28,0.9941456317901612,40350.0,Sakshi,246.0,77.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,0,0,0,0,0,0
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,1,1,0,0,0,0
QOXUkEmKM3A,2022-06-19,0.9890925884246826,6957.0,Sakshi,134.0,21.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,1,1,0,0,1,0,1
bSLUmYpdMRQ,2022-06-26,0.9948194622993468,3710.0,Sakshi,589.0,0.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,0,0,0,0,0,0
eOrrIL8aO-w,2022-06-29,0.9830370545387268,1692.0,Sakshi,315.0,0.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,0,0,0,0,1,0
WCjK9RyZjjI,2022-07-08,0.9952215552330016,2447.0,Sakshi,340.0,0.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,0,0,0,0,0,0,0
dT8a6lWthRs,2022-07-21,0.9950503706932068,3765.0,Sakshi,560.0,1.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,0,1,0,0,0,0,0
BJ9E-IxbTL0,2022-07-29,-0.998641312122345,15815.0,Sakshi,230.0,23.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,1,1,0,0,0,0
Abvdowohj80,2022-09-06,-0.9995056390762328,1905.0,TV5,522.0,5.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,1,0,0,0
kMzOYZb2Fzo,2022-09-20,-0.9974913597106934,166962.0,Sakshi,317.0,184.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,1,1,1,1,0,0,0
zr8Bl1twr7M,2022-09-26,0.9969843029975892,2148.0,Sakshi,443.0,5.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,1,0,0,0
4YkHxX3uqyw,2022-10-03,-0.998701810836792,3030.0,TV5,163.0,4.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,0,0,0,1,0,1
N-nNzPISThY,2022-10-05,0.9985781908035278,4037.0,Sakshi,523.0,11.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,0,1,0,0,0,0,0
uNRmC4qh1dA,2022-10-12,0.9881581664085388,21966.0,TV5,545.0,26.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,0,0,0,0,0,0,0,0
CCWvHpLERj8,2022-10-20,0.942416787147522,604.0,ABN,273.0,1.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
m7f3HG6tDeQ,2022-10-29,0.9974530339241028,2362.0,Sakshi,55.0,7.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,1,0,0,0,1
d8hTSkpPG68,2022-11-01,-0.9976859092712402,1668.0,Sakshi,154.0,6.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,0,0,1,0,1,1,0
V8HuzhVOeQg,2022-11-11,0.9945651292800904,31731.0,ABN,310.0,131.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
Jz0lDgu1KXI,2022-11-14,-0.9976738095283508,1769.0,ABN,275.0,0.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
AOl5gOiBlPo,2022-11-22,-0.9954522252082824,11456.0,ABN,490.0,16.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
HGq0HEs6dSE,2022-11-25,-0.9895811080932616,2186.0,ABN,219.0,6.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,1,0,0,0
f4ox5dQ-Zc4,2022-11-28,0.9978604912757874,3286.0,TV9,248.0,4.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,1,1,0,1,0,1,0,1,1
pYT03lUee1o,2022-11-30,-0.997925877571106,881.0,TV5,196.0,1.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,1,1,1,0,0,1,1,0
_uC4KF4tHFQ,2022-12-07,-0.993897259235382,10466.0,TV9,298.0,9.0,rayadrug.png,Kapu Ramachandra Reddy,YSRCP,Rayadurgam,0,0,0,0,0,0,0,0,0
