ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
dvoo6ju2Zv8,2019-12-21,0.983485460281372,734.0,Sakshi,244.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,0,1,1,1,0,1,0,0,1,1,0
NkpMa8AXwnU,2021-02-15,0.9978110194206238,3331.0,Sakshi,487.0,7.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,1,0,0,1,0,0,0,0,0,0,0,0
rH7Spl0NcN4,2021-11-12,0.9935786724090576,2655.0,Sakshi,578.0,4.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kGu4hruX8X8,2021-11-22,-0.9945383667945862,11746.0,Sakshi,182.0,42.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,0,1,0,0,0,0,0,0,0
OhJkfRtjx6Y,2021-12-30,-0.992892861366272,19569.0,Sakshi,331.0,78.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,1,0,0,0,0,0,0,0,0,0,0,0
c_dSiMJ_73I,2022-04-06,0.9882091283798218,71859.0,Sakshi,390.0,359.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1yYuIDl1Hc8,2022-04-09,-0.9924203753471376,165683.0,Sakshi,346.0,196.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,1,0,0,1,0,0,1,1,0,0,0,1
9PP5-R9nspA,2022-05-17,0.9920907020568848,23792.0,Sakshi,136.0,190.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,1,1,1,0,1,1,1,1,1,0,1
ycGtKlVlaAc,2022-07-21,-0.9977601766586304,5632.0,Sakshi,258.0,21.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,1,1,0,0,0,0,1,0,0
qtkiQQS_56M,2022-08-10,0.997510552406311,86560.0,Sakshi,351.0,222.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_mLAAIKK2Q,2022-09-13,-0.9983052015304564,10853.0,TV5,581.0,20.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rOfyP8JGaU0,2022-09-15,0.9938084483146667,1404.0,Sakshi,531.0,6.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0gNRHgGZf8E,2022-09-15,-0.9790487289428712,38447.0,TV5,403.0,38.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jROFFgPJJ68,2022-10-01,-0.9911919236183168,2916.0,TV5,170.0,12.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,0,0,0,0,0,0,0,0,1,0,1
k1uawtwi-v4,2022-10-03,0.9938602447509766,860.0,Sakshi,444.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5jQc0YtZD0M,2022-10-04,0.99326354265213,11216.0,Sakshi,489.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3Frn8b34q_0,2022-10-14,-0.9988864064216614,1320.0,TV5,142.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,1,0,0,0,1,1,0,0,0,0,0,0,0
a_GPIL0JifQ,2022-10-14,-0.9959787130355836,2635.0,TV5,135.0,8.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,1,1,0,0,0,0,1,0,0,1
cqoArQsN9qk,2022-10-14,-0.9872403740882874,6969.0,TV5,185.0,16.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,1,0,1,1,0,0,0,1,1,1,1,1
tS1uBSRkfJw,2022-10-14,-0.991578221321106,4206.0,TV5,135.0,21.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,1,1,0,0,0,0,0,1,0,0
eTC3CqJuyUA,2022-10-15,0.9868302941322328,4224.0,TV5,305.0,9.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,1,1,1,0,0,0,0,0,0,1,0,0,1
etRQaWk7Vmw,2022-10-26,-0.9852563738822936,3984.0,ABN,486.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,1,0,0,0,0,0,0,0,0,0,1,0,0,1
h88r1E8fni0,2022-11-07,-0.9981642365455629,1897.0,TV5,340.0,1.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yByzjFa4Bvo,2022-11-16,0.9979771971702576,2035.0,Sakshi,197.0,3.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,1,0,0,0,1,0,0,0,1,0
zj9gQ6zQM2g,2022-11-23,-0.9987369179725648,3075.0,TV9,203.0,2.0,chirala.png,Karanam Balaram Krishna Murthy,YSRCP,Chirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
