ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
xbEBF6td6pI,2019-12-21,0.998143434524536,1623.0,Sakshi,118.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,1,0,1,0,0,0,0,0,0,0
TH4PSpHNB5Y,2020-03-12,0.9957457184791564,6792.0,Sakshi,201.0,14.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,0,1,0,0,0,0,1,0,0,1
NnFk_9_j_lA,2020-03-14,0.9689502120018004,3909.0,Sakshi,578.0,8.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,0,0,0,0,0,0,1,0,0,0
IYXRfkI1MUM,2020-03-17,-0.999304175376892,36812.0,Sakshi,273.0,26.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,1,1,1,1,1,1,1,1
59Nnh9hhzKY,2022-01-17,-0.9903600215911864,25603.0,Sakshi,168.0,56.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,0,0,0,0,0,1,0,0
kbTLuUaj_6k,2022-02-21,0.9881293177604676,1904.0,Sakshi,81.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYLmJs4gXfI,2022-03-23,0.9942514896392822,47367.0,Sakshi,259.0,43.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,1,0,0,0,0,1,1,0
ZV7vt_vQG3U,2022-04-23,-0.9960011839866638,19566.0,Sakshi,308.0,97.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,1,0,1,1,0,1,1,1,1,1,0,1
6amL362Q8Xg,2022-05-02,-0.988561749458313,5532.0,Sakshi,142.0,58.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cudcww-L_A4,2022-06-27,-0.9901081323623656,1701.0,Sakshi,259.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,1,0,0,0,1,0,0,1,0,1
o2V2e4ABzWA,2022-06-29,0.7660527229309082,2641.0,Sakshi,419.0,5.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ON3vJ-OWwEc,2022-06-30,0.9958580136299132,2182.0,Sakshi,522.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,1,1,0,0,0,0,0,0,1,1,0
PUUOTchSzTg,2022-06-30,0.9935160875320436,2459.0,Sakshi,253.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7D3jMimxaT0,2022-07-21,-0.9924351572990416,2192.0,Sakshi,525.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,1,0,0,0,0,0,0,0,0,0
RBuZqIko8EY,2022-08-13,0.9985352754592896,1170.0,Sakshi,232.0,4.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,1,0,0,0,0,1,0,1,1,1
GqlXp6Z_sno,2022-08-26,-0.9955915808677672,2803.0,TV5,288.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,1,0,0,1,0,1,1,0,0,1
mCwuKMAxFq8,2022-09-13,-0.9984880685806274,1155.0,TV5,299.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,0,0,0,1,0,1,0,0,1
B7Ds51DayRI,2022-09-19,-0.9961345195770264,3767.0,TV5,478.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L9s-NhOa6zk,2022-10-11,-0.998219072818756,631.0,TV5,295.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,0,0,0,0,0,0,0,0,0
RwVQ8XI8h4Q,2022-10-11,0.8947783708572388,2341.0,ABN,349.0,12.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
__PZZGru-I8,2022-11-01,-0.9985886216163636,1950.0,TV5,330.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ffmoA19EZAs,2022-11-04,-0.9979109168052672,1379.0,TV5,294.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,0,0,0,0,0,0,1,0
l6BiBn2IQZw,2022-11-09,-0.989022135734558,14648.0,Sakshi,146.0,28.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,1,0,0
yD-DdG_DjSA,2022-11-13,-0.9880472421646118,18747.0,Sakshi,348.0,26.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,1,1,0,0,0,0,0,0,0,0
GnKde3QeRf4,2022-11-15,0.9963919520378112,3677.0,ABN,160.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,1,0,0,1,0
wta9RoAi9ow,2022-11-18,-0.9987209439277648,2716.0,TV9,208.0,4.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,1,1,0,0,0,0,0,0,0,0,0,0
IqgxXkOGxXw,2022-11-18,-0.9962414503097534,3788.0,TV9,299.0,8.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M9Uc65sTkeI,2022-11-24,-0.9805070161819458,8464.0,TV9,544.0,6.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xG9Q9g5mmF4,2022-12-09,-0.9947564601898192,2185.0,ABN,245.0,4.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a2afbVLueps,2022-12-10,-0.9991620779037476,2232.0,TV9,234.0,4.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J_VLbachN-c,2022-12-14,0.9899890422821044,759.0,TV9,113.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dLtJ4pbIJNQ,2022-12-15,-0.983081877231598,1277.0,TV9,182.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,0,1,0,0,0,0,0,1,0
7_qNkVXZfjs,2022-12-16,-0.9942210912704468,1689.0,Sakshi,96.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,1,0,0,0,1,1,0,0,1,0
4UkrE-4diqE,2022-12-16,0.9914275407791138,3660.0,TV9,177.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,1,0,1,0,0,0,0,0,1,0
ikxtETxjKUQ,2022-12-17,-0.9985724687576294,3401.0,TV9,179.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Yr3OSQSlpv4,2022-12-18,-0.998304843902588,4007.0,TV9,355.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,1,0,0,1,1,0,0,0,1,0,1
C8PrnMNwRjc,2022-12-18,-0.9959444403648376,757.0,TV9,90.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,1,0,1,0,1,0,1,0,1
LJw9cvS87bY,2022-12-23,0.9970198273658752,1170.0,ABN,161.0,4.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,1,1,0,0,0,0,0,0,0,0
U5nJT1_sXAg,2022-12-25,-0.9952898025512696,3777.0,TV9,189.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upSPd7_WKzU,2022-12-25,-0.995759904384613,3533.0,TV9,192.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gfzuo179NM8,2022-12-25,-0.9970755577087402,1139.0,TV9,268.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eQJOPtwKTxA,2022-12-25,-0.9928452372550964,3160.0,TV9,172.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IqT59AfPy1E,2022-12-25,0.9975866079330444,3136.0,TV9,267.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q2SIIMCg_zE,2022-12-25,0.9976868629455566,1763.0,TV9,169.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,1,0,0,0,0,0,0,1,0,1,1,1
6Rw9502rRgA,2022-12-25,-0.8508369326591492,3913.0,TV9,226.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNAO9tSEyJk,2022-12-25,-0.9943264126777648,2726.0,TV9,239.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,1,1,0,0,0,0,1,1,1,1,1,0,1
DpnEOGzMP1A,2022-12-25,-0.995501697063446,4091.0,TV9,255.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opgp8y-QTCc,2022-12-25,-0.9908011555671692,6884.0,TV9,445.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFa6NbltV6U,2022-12-25,-0.994099497795105,10127.0,TV9,254.0,7.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,1,0,0,0,0,1,1,1,0,1,0,1
Pkz7it2DgY0,2022-12-25,-0.9963955283164978,6258.0,TV9,24.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,1,1,0,1,0,0
iLlJ2l9jGZI,2023-01-03,-0.9896668195724488,853.0,TV9,206.0,5.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,1,1,0,0,0,1,0,0,1,0,1,1,0
5e6_SQ3nyZ8,2023-01-07,0.998607337474823,2068.0,TV9,594.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nJVzniDltD0,2023-01-10,-0.9955893754959106,9983.0,Sakshi,210.0,54.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,1,0,1,0,0,0,0,0,1,0,0
dSLweiao2RE,2023-01-20,0.9987325072288512,1085.0,TV9,117.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PE8jdI0egN4,2023-01-26,0.9986127614974976,899.0,TV9,175.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,1,0,0,0,0,0,0,0
e7FGkKo65RY,2023-01-27,0.9931354522705078,500.0,TV5,92.0,1.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tfnSK1Mobgg,2023-01-31,0.9978917241096495,830.0,TV5,349.0,0.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9EU6BI-j1Mw,2023-02-01,-0.9940956830978394,3244.0,TV9,133.0,2.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VrJMb6qceyk,2023-02-02,0.9978540539741516,322.0,ABN,203.0,3.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ydow2crSAV4,2023-02-03,0.9860936403274536,2682.0,TV9,266.0,8.0,guruzala.png,Kasu Mahesh Reddy,YSRCP,Gurazala,0,0,0,0,0,0,0,0,0,1,0,0,0,0
