ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,byreddy siddharth reddy,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,maa nammakam nuvve jagan,nandigama
Je-PSwMNQsA,2021-02-16,0.994580328464508,977.0,Sakshi,86.0,0.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
KYnSCsFQjNE,2021-10-23,-0.9973769187927246,365047.0,Sakshi,393.0,287.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ierg_wH4yr4,2021-11-30,0.99712735414505,3776.0,Sakshi,258.0,17.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
IZj7cND56Rg,2021-12-01,-0.9967535138130188,216351.0,Sakshi,267.0,565.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
q70_tsWn7Oo,2022-01-28,0.9888986945152284,76634.0,Sakshi,387.0,100.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g_Dme6NFOkw,2022-02-05,-0.9885308146476746,2607.0,Sakshi,282.0,6.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VYCWaf0Fk00,2022-02-12,0.9965984225273132,2578.0,Sakshi,248.0,9.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
uqiXjWohV_8,2022-02-18,0.9987189769744872,3496.0,Sakshi,294.0,4.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
px63DQsx_go,2022-04-22,-0.992579996585846,85870.0,Sakshi,231.0,85.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7k4Kpwe2FAs,2022-05-09,-0.9988425374031068,15915.0,Sakshi,188.0,50.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
vziMwQTUHgE,2022-05-20,0.9971075654029846,83714.0,Sakshi,278.0,158.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hWTYERRj8Uk,2022-06-27,0.9370933175086976,18187.0,Sakshi,526.0,24.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2kVLcpILHAA,2022-06-30,-0.9979680180549622,2833.0,Sakshi,415.0,1.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qqYyOXGxneo,2022-07-08,0.9915137887001038,1903.0,Sakshi,581.0,0.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SjUUQpuuBRk,2022-07-21,-0.9989851117134094,3111.0,Sakshi,342.0,5.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QzYO3ZgmOhQ,2022-08-04,0.9857790470123292,1451.0,Sakshi,425.0,8.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulz9BdXGG18,2022-08-21,-0.9982894062995912,118313.0,TV5,502.0,82.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sz6GSzxfFFc,2022-08-24,-0.99830424785614,2095.0,TV5,265.0,4.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
VrcoLDXxs1Y,2022-08-24,-0.9964478015899658,10545.0,TV5,251.0,11.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axP1XOYsbcg,2022-08-24,-0.999355971813202,965.0,TV5,160.0,4.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4R-WNIVKAXQ,2022-08-26,-0.9962050318717957,6595.0,TV5,345.0,5.0,panyam.png,Katasani Rambhupal Reddy,YSRCP,Panyam,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
