ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,janasena party,ap employees,ap assembly session today,alliance,ambati rambabu ,gudivada amarnath,polavaram,visakha, Botsa ,kotamreddy ,roja,nellore ,srikakulam,yuvashakti,tadepalli,suprem court,perni nani ,ap development,tadipatri,gudivada ,nandigama
_fzfWMeq3L8,2019-06-30,0.9906209707260132,2611.0,Sakshi,350.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnIuh7Kz8bo,2019-12-24,0.9976801872253418,3327.0,Sakshi,227.0,17.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
UyWk446zSNc,2019-12-26,0.9969898462295532,4041.0,Sakshi,178.0,1.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
aqO16bRLbiQ,2020-03-05,-0.981389820575714,441.0,Sakshi,176.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORonIeNNLT0,2020-03-09,0.9942318797111512,5628.0,Sakshi,215.0,2.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
OKiwBhCQQpg,2020-03-09,0.9985918402671814,21194.0,Sakshi,115.0,21.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
c39UFm7E9_k,2021-02-20,-0.9973739385604858,34405.0,Sakshi,227.0,9.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBYXpMEUGtI,2021-02-21,0.9958101511001588,802.0,Sakshi,201.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SLlW4FIa0yM,2021-08-11,0.9805208444595336,1501.0,Sakshi,198.0,11.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zC49brMJ6bk,2021-10-17,0.9907001852989196,10764.0,Sakshi,207.0,5.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aHlwwWsvD3I,2021-10-25,-0.9459677934646606,958.0,Sakshi,331.0,3.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaygrQhnY88,2021-10-26,-0.991607666015625,1342.0,Sakshi,334.0,5.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vK8Whd07NrE,2021-10-26,-0.9979801774024964,734.0,Sakshi,523.0,0.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5vFUAbskTsw,2021-11-11,0.9984261989593506,795.0,Sakshi,265.0,2.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rchoHAw6pz4,2021-11-15,0.9985713958740234,86819.0,Sakshi,321.0,134.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
8RBOtsxN_y0,2021-11-16,0.9892444610595704,13614.0,Sakshi,447.0,23.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
KALD0bm5qzU,2021-11-26,0.9956901669502258,123565.0,Sakshi,137.0,157.0,vijayawada_l.png,Kesineni Srinivas,TDP,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
