ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ysrcp,schemes,cm jagan,chandrababu,ap development
FWwChmaP6C0,2021-07-14,-0.9968889355659484,3630.0,Sakshi,585.0,15.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
BSDaODLi_0U,2022-03-10,0.9883997440338136,29270.0,Sakshi,447.0,38.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,1,1,0
C-E5dMB1H9A,2022-03-19,0.9925776124000548,3378.0,Sakshi,190.0,7.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,1,1,1
xx13CsuKLhc,2022-05-10,-0.9988635778427124,82972.0,Sakshi,312.0,282.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,0,1,0
p3RTlKy7EaE,2022-05-10,-0.9991222023963928,156682.0,Sakshi,272.0,443.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,0,0
FmMmfSc8KE4,2022-05-10,-0.9993543028831482,204810.0,Sakshi,235.0,494.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,1,0
_X-H0laKpBE,2022-07-07,0.9974702596664428,2638.0,Sakshi,249.0,3.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,1,0,0
jhY2U-63yHg,2022-07-09,0.9975690245628356,1819.0,Sakshi,593.0,4.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,0,0
3UzY_eK6Af4,2022-09-20,0.9985432624816896,703.0,Sakshi,475.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,1,0,0
DT5J9Uhpwt8,2022-10-29,0.9928591251373292,1309.0,ABN,370.0,6.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
obht98L-vFQ,2022-11-11,0.99671471118927,1668.0,Sakshi,92.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
m_NPuIWdQAo,2022-11-30,-0.99755197763443,915.0,TV9,272.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
HU_wD0BYsXw,2022-12-04,0.9984147548675536,43990.0,Sakshi,379.0,22.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,1,0,1
plTg14qpM_c,2022-12-06,-0.9979117512702942,729.0,ABN,270.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
DCI4j1tQI28,2022-12-14,-0.9989294409751892,2157.0,TV9,270.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
FHoltD4vTV8,2022-12-17,-0.9812796115875244,3102.0,TV9,260.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,1
XZDtLQI1gPU,2022-12-18,-0.9925746917724608,2048.0,TV9,292.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
frunjj9tc6M,2022-12-22,0.986389458179474,2268.0,TV9,199.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
zTjHzarP5bY,2022-12-22,-0.9990736246109008,8447.0,TV9,424.0,5.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
Picf7QjMAAg,2023-01-03,-0.9973899722099304,6502.0,Sakshi,243.0,9.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,1,1,0
GE_11uezodA,2023-01-04,0.987825572490692,711.0,ABN,522.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
8wKSFJkDpCM,2023-01-04,0.9955655932426452,12133.0,TV9,339.0,17.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,1
EW1A1HTuQK0,2023-01-05,0.9973794221878052,1853.0,TV9,278.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
cUUM2N_xdxo,2023-01-06,0.9950910806655884,554.0,TV9,299.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
FUyXmD-JBto,2023-01-08,-0.9989866614341736,494.0,Sakshi,102.0,2.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,1,0
FxUjLdjM3E0,2023-01-10,0.9919386506080629,2600.0,TV9,331.0,2.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,1
3Bfk4jzIYKI,2023-01-11,0.9587414264678956,809.0,TV9,161.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,1
W04LH5Al5fg,2023-01-18,-0.9977937936782836,2742.0,TV9,363.0,2.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,1,0
s8WtAUquwq4,2023-01-18,-0.9973441958427428,2979.0,TV9,360.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
UGH5VhRsMoY,2023-01-18,0.996575653553009,20722.0,TV9,444.0,7.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
BbSiV0bhIv4,2023-01-19,0.98689866065979,2417.0,TV9,385.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
Y3trDYuPbzc,2023-01-19,0.9957135915756226,1388.0,TV9,387.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
ygYmIPJCevw,2023-01-21,0.9978658556938172,80135.0,TV9,491.0,51.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
PfbccJmwOFk,2023-01-21,-0.9987890124320984,1610.0,Sakshi,444.0,6.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,1,0
SffBO1l9S6o,2023-01-23,0.9961355924606324,429.0,TV9,383.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,0,0
cAiPq2VIKl8,2023-01-27,-0.9992058873176576,2026.0,TV9,311.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
UmnzFis6rMA,2023-02-01,-0.9991822838783264,2266.0,Sakshi,244.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,1,1,1
flPu_F1mveI,2023-02-10,-0.9986112117767334,8371.0,TV9,156.0,17.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
nO29-7NTL_Q,2023-02-11,-0.9985507130622864,506.0,Sakshi,91.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,1,0
MAvbn02CpgQ,2023-02-22,-0.9993855953216552,37684.0,TV9,274.0,32.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
Cz-8FbBNFFA,2023-02-27,0.9865424633026124,1437.0,TV9,275.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,1,0
VzF_sBtWH-k,2023-02-27,0.9932368397712708,2587.0,TV9,323.0,3.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
rdh_X-xk57k,2023-02-27,0.9908135533332824,594.0,TV9,260.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,1,0,1
08hHWdKxQOM,2023-02-28,-0.9972341656684875,267.0,ABN,254.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,0,0,0
Vv7OY8KYu6c,2023-02-28,-0.9919357299804688,212.0,ABN,198.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
0ZC7LiCQ4PQ,2023-02-28,-0.998390793800354,1874.0,TV9,339.0,3.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
EafGHfDUQVs,2023-02-28,0.9943825006484984,275.0,ABN,209.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,0,0
LBUOB3ywh74,2023-02-28,-0.9138175249099731,331.0,ABN,284.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
VLqX3auV9Q0,2023-03-04,-0.9977166652679444,771.0,ABN,313.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,0,0,0
WOS45QQ6W0A,2023-03-09,0.9775570034980774,3475.0,TV9,287.0,4.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
voAF1_2XP_c,2023-03-14,-0.9994695782661438,512.0,TV5,352.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,1
2eTY85eiwtg,2023-03-14,0.9965928196907043,2832.0,Sakshi,206.0,7.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,1,1,1
HgVUk6uCXqc,2023-03-15,0.9935712814331056,12940.0,TV9,324.0,8.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,0,0,0
oGhLzP5-pN0,2023-03-20,-0.9949294328689576,3389.0,TV9,229.0,4.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
hqHMXfNRsc8,2023-03-24,-0.9973969459533693,2314.0,ABN,228.0,39.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,1,0,0,0
CX5yT2jlDU0,2023-03-24,-0.9926164746284484,997.0,TV9,300.0,3.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
RB__9ggP15w,2023-03-28,-0.9988827109336852,2058.0,TV9,174.0,7.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,0,0
4yRjExi_Ijg,2023-03-29,-0.9922875165939332,979.0,TV9,177.0,0.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,0,0,0,0
o4iKMzFctjI,2023-04-07,0.9960058331489564,905.0,TV9,215.0,1.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,0,1,1,0,1
DiLFK6fKong,2023-04-22,0.9980964064598083,23665.0,Sakshi,42897.0,7.0,ponnuru.png,Kilari Venkata Rosaiah,YSRCP,Ponnuru,1,0,0,1,0
