ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance,yuvashakti,suprem court,ap development
L_d-AfJENSs,2020-03-09,0.9931532144546508,2860.0,Sakshi,224.0,2.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,1,1,0,1,1,1,1,1
T7NyY7KZ5ck,2021-11-13,0.9971550703048706,4128.0,Sakshi,204.0,9.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,1,0,0,0,1,1,1,1
y6VlHVc9t-M,2022-05-05,-0.9963775277137756,119680.0,Sakshi,316.0,137.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,0,1,1,0,0,0,1,0
R8w0oLA9JLA,2022-06-09,0.9968122839927672,9414.0,Sakshi,294.0,7.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,1,1,0,0,0,0,0,1
GWXj4LYHwoQ,2022-06-15,-0.9970762729644777,43448.0,Sakshi,332.0,148.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,0,0,0,1,1,0,0,0,0,0
1Y7Y1iXsiCs,2022-06-21,-0.9981361627578736,167484.0,Sakshi,184.0,323.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,1,1,0,0,0,0,0,1
HZNsLAGFt8g,2022-06-21,-0.9982492923736572,26806.0,Sakshi,96.0,27.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,1,0,0,0,1,0,1
kMXpRnDGc5E,2022-07-08,0.9983786344528198,1121741.0,Sakshi,554.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,1,0,0,0,0,0,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,0,1,0,0,0,0,0
F_u8cTTc39I,2022-07-26,0.9948791265487672,74427.0,Sakshi,178.0,148.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,1,0,0,1,1,0,1
SDGepbHMXLA,2022-09-29,-0.994883954524994,1038.0,TV5,305.0,3.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,0,1,0,1,0,0,0,0
sv2bt2t6bpc,2022-09-29,-0.9994490742683412,1288.0,TV5,115.0,0.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,0,0,0,1,1,0,0,0,0
EwHNrI5n5Mw,2022-10-03,-0.9982990622520448,26357.0,TV5,167.0,37.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,1,1,1,0,0,0,1,0,0,0,1
43chL99_T50,2022-10-05,0.9986382126808168,1870.0,Sakshi,457.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,1,0,1,0,0,0,0,0,0
xsCefEhzL5o,2022-10-06,-0.9908705353736876,5441.0,Sakshi,218.0,35.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
_UYi2OjJ72U,2022-10-07,-0.9974633455276488,1134.0,TV5,485.0,1.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,1,0,0,0,0,0,0
f_1zycP9hgQ,2022-10-07,-0.9992457628250122,4362.0,TV5,535.0,6.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,1,0,1,0,0,0,0
-iFmNCo2VVg,2022-10-20,-0.9986445307731628,6180.0,ABN,194.0,4.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,1,1,0,0,0,0,0,0,1,0
x9aHrCvtaQQ,2022-10-23,0.9973022937774658,66371.0,TV5,400.0,75.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
PcWA8LrvBFI,2022-11-07,-0.9901506900787354,8959.0,ABN,240.0,10.0,gannavaram.png,Kondeti Chittibabu,YSRCP,Gannavaram_sc,0,0,0,0,0,0,0,0,0,0,0
