ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,Sajjala ,high court,alliance,yuvashakti,suprem court,ap development,tadipatri,High Court
Y1mpXT145Yg,2020-03-09,0.9939237236976624,1784.0,Sakshi,89.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
kbPSa0G3jmk,2021-08-31,-0.998694121837616,3245.0,Sakshi,190.0,12.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
vz_1UphZE7o,2021-10-11,0.993869125843048,2796.0,Sakshi,409.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-jOdnciP_pk,2021-10-26,-0.9947772026062012,1589.0,Sakshi,547.0,0.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ik99RSVoqBI,2021-12-09,-0.9855836629867554,80935.0,Sakshi,324.0,110.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
YxE5wzKLzws,2021-12-14,0.9943110942840576,22526.0,Sakshi,222.0,129.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
GN_O_Y9QgvA,2022-02-04,0.99819678068161,1695.0,Sakshi,177.0,5.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
zN3Xu1St_KU,2022-02-16,0.997077465057373,12736.0,Sakshi,143.0,41.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11YDaiRlgo0,2022-02-20,-0.995184361934662,4285.0,Sakshi,300.0,14.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
gTTbpDPrC84,2022-02-21,-0.977835476398468,21016.0,Sakshi,147.0,8.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
7DHLUkGO1oU,2022-04-11,0.9941083192825316,3344.0,Sakshi,355.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qb_RyvZj1wc,2022-04-21,0.9977325201034546,3447.0,Sakshi,448.0,2.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
iIjoW1VPadA,2022-08-02,-0.9980102181434632,2812.0,Sakshi,351.0,3.0,elluru_l.png,Kotagiri Sridhar,YSRCP,Eluru,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
