ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,gorantla ,visakha
_0OhIWjQ3vw,2019-12-26,0.9962729215621948,2494.0,Sakshi,359.0,6.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
_J1cEU0is9Y,2021-02-15,-0.9980564713478088,10425.0,Sakshi,68.0,8.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,1,1,0,0,1,1,1,1,1
_OY0BG2-dfA,2021-12-10,-0.9994237422943116,2960.0,Sakshi,251.0,2.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,0,0,0,1,1,0
UXxLsykI9Dk,2022-01-11,0.9983336329460144,13265.0,Sakshi,118.0,20.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,0,0
vH-FobDPsxE,2022-01-29,-0.9861148595809937,14908.0,Sakshi,400.0,28.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,1,0,0,0,0,0,0
S8HneMowFC0,2022-02-16,0.997326135635376,5003.0,Sakshi,349.0,11.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,1,0,0,1,0,0,0
lF2P4Ll-6-c,2022-02-18,-0.9988711476325988,62774.0,Sakshi,205.0,137.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,1,1,0,0,0,0
plxT8n6S19c,2022-02-22,0.9571991562843324,4098.0,Sakshi,70.0,2.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,0,0,0,1,0
itrc5lhxM20,2022-06-12,0.9948285222053528,21537.0,Sakshi,181.0,17.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,1,1,1,1,1,0,0,1,0
vNIzsotqsjs,2022-08-04,-0.9989205598831176,174820.0,Sakshi,202.0,0.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,1,1,0,0,0,1,0
siGBLoDtKZ0,2022-08-05,0.9955682158470154,3771.0,Sakshi,111.0,26.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,1,1,0,0,0,0
WCNk9cwFH_8,2022-08-10,-0.9989093542099,168623.0,Sakshi,158.0,608.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,1,1,0,0,1,0,1,1,1
XSqZ9SEIjrI,2022-08-10,0.9972506165504456,115338.0,Sakshi,487.0,303.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,1,0,0,1,0
SQP8E2DUFU4,2022-08-10,-0.9978588223457336,88725.0,Sakshi,170.0,107.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,0,0,0,0,0,1,0
mXz0VeHNklQ,2022-08-10,-0.997384250164032,448195.0,Sakshi,247.0,876.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,1,1,0,0,0,0,1,0
DdLcDurQEFw,2022-08-10,0.9829634428024292,28191.0,Sakshi,290.0,156.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,1,0,0,1,0
5g8VStvGZ3k,2022-08-14,0.9986044764518738,117689.0,Sakshi,78.0,502.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,0,0,0,0,0,1,0,0,1,0
4nWNx7b2v8I,2022-08-14,-0.998603880405426,132103.0,Sakshi,247.0,491.0,hindupur_l.png,Kuruva Gorantla Madhav,YSRCP,Hindupur,1,1,1,1,0,1,1,1,1,1
