ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,alliance
zNS3OzuNEd8,2019-06-30,-0.9987797141075134,3136.0,Sakshi,464.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,1,1,0
xbEBF6td6pI,2019-12-21,0.998143434524536,1623.0,Sakshi,118.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,1,0,1,0
qeLPEc4UA2w,2020-03-06,0.9980396628379822,2975.0,Sakshi,342.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,0,0,0,1,0
RZhMoiWciSY,2020-03-12,0.9969580173492432,17414.0,Sakshi,275.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,0,1,1,0
sbfYu16baXQ,2020-03-12,0.9927024841308594,4564.0,Sakshi,76.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,0,0,0,0
hQwCBocQ1Xg,2021-02-18,0.997515082359314,1783.0,Sakshi,132.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,1,0,0,1,1
449nGu0cSnk,2021-12-31,0.9979569911956788,7604.0,Sakshi,99.0,6.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
LHazZ_1snl0,2022-01-17,0.9983787536621094,9822.0,Sakshi,403.0,20.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,0,1,0,0,0,0,0
fmgIYapx6aI,2022-02-03,-0.995180606842041,10992.0,Sakshi,298.0,74.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
oN021HN92p0,2022-02-09,-0.9994623064994812,131932.0,Sakshi,197.0,366.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,0,0,0,0,0
m8pdR7wM_7I,2022-04-23,0.9959718585014344,26221.0,Sakshi,357.0,97.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,1,1,0,0
QT1gUVuq_RQ,2022-05-06,-0.9962128400802612,45035.0,Sakshi,377.0,158.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,1,1,0,0
GfbcAZLKSjM,2022-05-13,0.9887109398841858,6533.0,Sakshi,278.0,26.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,0,1,0,0,0
ocaclgNEFFw,2022-07-10,0.9970189332962036,6683.0,Sakshi,410.0,11.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,1,0,0,0,0,0
yPoF7Ksw5Qk,2022-07-13,-0.9976584911346436,6794.0,Sakshi,254.0,16.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,1,0,0,0
RBsIVcdi9xo,2022-07-30,0.9985902905464172,9958.0,Sakshi,347.0,8.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
Z3fkesakCL8,2022-08-26,-0.99729722738266,30772.0,Sakshi,247.0,69.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,1,1,0,0
KzokVpQgDB8,2022-08-27,0.9981195330619812,206199.0,Sakshi,562.0,233.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
fhepAYkY38A,2022-08-29,-0.9930033087730408,26759.0,Sakshi,386.0,17.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,0,1,0,1,1,0,1
c0haY480zFc,2022-09-23,0.9972346425056458,13796.0,Sakshi,81.0,8.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,1,1,0,0,1
nuH6EX9G-G8,2022-09-25,0.9973918199539183,21181.0,Sakshi,429.0,70.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,1,0,0
oQwYMig_HYs,2022-10-13,0.9853459596633912,32283.0,TV5,538.0,34.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,1,1,0,1,0,0,0
5QtuJz1--P4,2022-10-20,-0.9930349588394164,2371.0,TV5,440.0,2.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
X5PUsTxs4do,2022-10-27,0.9986509680747986,1844.0,ABN,128.0,0.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
H7dqapt7Zbo,2022-10-29,-0.9940987825393676,735.0,ABN,300.0,1.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,0,0,0,0,0,0,0,0
tM360Sb0Fb4,2022-10-29,-0.9979052543640136,569.0,ABN,175.0,3.0,narasaraopet_l.png,Lavu Sri Krishna Devarayalu,YSRCP,Narasaraopet,1,1,1,1,0,0,0,1
