ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,AP ,suprem court
jT9KGQy4hxc,2022-07-14,-0.9988756775856018,2631.0,Sakshi,534.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,1,0,1
YKcWqIKaKK0,2022-08-29,0.9984956979751588,32215.0,Sakshi,392.0,33.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,0,1
gw8XDlJPujw,2022-09-02,0.9985161423683168,9390.0,Sakshi,363.0,23.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
OFNIDd_Xdgo,2022-09-06,-0.9967899918556212,2614.0,TV5,205.0,9.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,1,1,1
AYgWrxUGlp4,2022-09-06,-0.9938177466392516,3214.0,TV5,550.0,6.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
vmqt4DDTDHk,2022-09-27,0.9904239773750304,1378.0,TV5,440.0,5.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
PTn-JSetuh0,2022-09-30,0.988431990146637,64575.0,Sakshi,380.0,253.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
3ha-31mHaT8,2022-10-09,-0.9985978007316588,1266.0,TV5,312.0,4.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,0,0,1
uNRmC4qh1dA,2022-10-12,0.9881581664085388,21966.0,TV5,545.0,26.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,0,0,0
CZY9oNBUHiw,2022-11-16,-0.9972453117370604,3973.0,TV5,155.0,6.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
ItC6qLDLG7A,2022-11-18,-0.997610569000244,593.0,ABN,66.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,1,1,0
URHc47PmO6I,2022-11-20,-0.9942949414253236,2325.0,TV9,531.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
qwRxPvwFhFQ,2022-11-25,-0.9975873231887816,1154.0,ABN,345.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
XbTcVFoVPzw,2022-11-25,-0.9936908483505248,1409.0,ABN,455.0,2.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
5cKXP5izSYA,2022-11-25,-0.9984966516494752,3292.0,ABN,370.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
Ufais36VHiI,2022-12-02,-0.996475636959076,1537.0,ABN,496.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
D4b08vwIY4Y,2022-12-02,-0.9973888993263244,450.0,ABN,473.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
rWNVsiwxNpg,2022-12-05,0.9926801919937134,940.0,Sakshi,573.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
T5Iq7Rz1Atk,2022-12-12,-0.9984581470489502,31168.0,TV5,485.0,131.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
hEDlJYG_5AU,2022-12-16,-0.9835772514343262,2858.0,TV9,133.0,5.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
tkTYWgOqLgA,2022-12-16,0.9953309893608092,5856.0,Sakshi,352.0,19.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
rThBxyfTpKQ,2022-12-19,-0.9959415793418884,1679.0,Sakshi,577.0,5.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
VSKOVcvy3WU,2022-12-20,0.9965184926986694,2131.0,TV5,207.0,12.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,1,0,0
Qm2_wNmUR-4,2022-12-21,-0.9986218214035034,2049.0,TV9,232.0,12.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,1
I0ZH7enGnFI,2022-12-21,-0.9908977150917052,2506.0,ABN,485.0,3.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
8vwnFIfhDV0,2022-12-21,0.99604332447052,3180.0,ABN,585.0,16.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,1,1,0
1KGI-A_DJlI,2022-12-21,0.9847657680511476,13969.0,ABN,455.0,24.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
AmfgAtOmMu0,2022-12-23,-0.9983267188072203,72156.0,TV9,301.0,110.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,0,0,0
ka1JIjoYz6M,2022-12-26,0.9986170530319214,47913.0,ABN,490.0,79.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,1,0
KehIh_CEBC4,2023-01-01,0.9732840657234192,1589.0,TV9,241.0,2.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
09qhjKaoMYA,2023-01-02,0.992922067642212,1161.0,ABN,290.0,1.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
LNDJN-75eHg,2023-01-04,-0.9822453260421752,48678.0,TV5,485.0,78.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,0,0,0,0
Lhv2wSzca4E,2023-01-06,-0.9929350018501282,20715.0,TV9,167.0,19.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
EMIj3nhdt5Y,2023-01-06,-0.993560791015625,497.0,TV9,150.0,2.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,1
KN05e-tO6Fs,2023-01-06,-0.997847318649292,1529.0,TV9,300.0,2.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
R1V50_NWWio,2023-01-06,-0.99720299243927,665.0,TV9,325.0,0.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,0,0
TBzMBe1HDrM,2023-01-16,0.995537281036377,24649.0,Sakshi,84.0,52.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,1,0,1
Qhzy3JklkRg,2023-01-20,-0.999413013458252,2256.0,ABN,480.0,6.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
IvV06WAgMnA,2023-01-20,-0.9992526173591614,3015.0,ABN,375.0,6.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,0,0,1,0
BJL9SFXi0iw,2023-01-22,0.9969959259033204,24058.0,TV5,500.0,13.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,1,1,1,1,0
-xK670mzrsk,2023-02-01,-0.9984266757965088,8154.0,ABN,355.0,4.0,mada.png,M. Thippeswamy,YSRCP,Madakasira,0,1,1,1,0
