ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,Sajjala ,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy,kotamreddy ,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,gudivada ,Kodali Nani ,maa nammakam nuvve jagan,nandigama
ogxSmNn7N2g,2020-03-03,-0.992667019367218,21813.0,Sakshi,511.0,1.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWd7Pa7tAkw,2020-03-10,-0.9982008934020996,2501.0,Sakshi,266.0,5.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Ykhy17QfDo,2021-02-15,0.9796199202537536,2518.0,Sakshi,267.0,2.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1
grIW3b4PzEE,2021-02-20,0.9968423843383788,1253.0,Sakshi,225.0,0.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1
l1mdqGNJIs4,2021-02-21,0.9948534369468688,4138.0,Sakshi,482.0,8.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K1yD_Xb79l8,2021-08-19,-0.9922539591789246,2996.0,Sakshi,309.0,24.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2cmTSdT31jM,2021-10-26,-0.9975600242614746,663.0,Sakshi,546.0,2.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am8kttNQuuM,2021-11-03,0.9734920263290404,830.0,Sakshi,396.0,3.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_MBsQot7ats,2021-11-03,0.979207456111908,4554.0,Sakshi,451.0,26.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6hISus-PzhI,2021-11-12,0.99461030960083,2326.0,Sakshi,183.0,2.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwIWELH7QKE,2021-11-12,0.993907392024994,1051.0,Sakshi,478.0,5.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rH7Spl0NcN4,2021-11-12,0.9935786724090576,2655.0,Sakshi,578.0,4.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UIvFUMyS57w,2021-11-15,-0.9967862367630004,2563.0,Sakshi,485.0,14.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
e3B04PR5hb4,2021-11-23,0.9941847920417786,44476.0,Sakshi,282.0,67.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dYfq6ej4xbk,2021-11-23,-0.9978843331336976,3838.0,Sakshi,256.0,8.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3Raad8albmo,2021-11-23,-0.9959640502929688,34591.0,Sakshi,108.0,57.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K55BdsBVm98,2021-11-26,0.99844092130661,16050.0,Sakshi,68.0,24.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSPPz6KZqwk,2021-12-10,0.9888043999671936,12781.0,Sakshi,457.0,98.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8pBwmkYLe1E,2021-12-10,0.9775617718696594,3255.0,Sakshi,344.0,10.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n8mBP2aNrYw,2021-12-29,-0.9878828525543212,12890.0,Sakshi,390.0,19.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ-KvUs-1Is,2022-01-05,-0.6979511380195618,2231.0,Sakshi,302.0,7.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79X6FSn_oL8,2022-01-18,0.9925296902656556,49724.0,Sakshi,204.0,53.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
vH-FobDPsxE,2022-01-29,-0.9861148595809937,14908.0,Sakshi,400.0,28.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4rGAusTR1Ew,2022-02-02,-0.9980323910713196,9067.0,Sakshi,547.0,108.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lXD-7Pqpqns,2022-02-02,-0.9994902610778807,8137.0,Sakshi,225.0,60.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UamNFa4UxaA,2022-02-07,0.9895917773246764,7748.0,Sakshi,534.0,34.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDwzsVr4Nug,2022-02-07,-0.9993498921394348,10874.0,Sakshi,264.0,18.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38ufnk45Omg,2022-03-01,0.9975848197937012,8059.0,Sakshi,368.0,71.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GcbpjPp-Uak,2022-03-04,0.9959529638290404,6507.0,Sakshi,551.0,86.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qzktor-v-ow,2022-03-04,-0.9969158172607422,5975.0,Sakshi,319.0,85.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
baV8kDFjMGs,2022-03-22,-0.9986299276351928,2191.0,Sakshi,284.0,8.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
qi48CJOcb_I,2022-03-29,0.998181939125061,6370.0,Sakshi,214.0,25.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XSvnkkPrY8w,2022-03-31,-0.996023178100586,4081.0,Sakshi,526.0,78.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o2orXjEPTVE,2022-04-04,0.9986820816993712,6871.0,Sakshi,217.0,29.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JHmHqWOIMSE,2022-04-09,0.9917497038841248,12646.0,Sakshi,247.0,12.0,guntur_west.png,Maddali Giridhara Rao,,Guntur_west,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
