ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,polavaram,visakha,byreddy siddharth reddy
5_KoPwmgXGc,2019-12-20,0.5057323575019836,1825.0,Sakshi,253.0,7.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnj55STlXPg,2019-12-20,0.9982995390892028,56789.0,Sakshi,500.0,121.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3S85Uzpzyg,2019-12-21,0.9975283741950988,1566.0,Sakshi,93.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UjPg4Q2egpg,2019-12-21,0.9986395239830016,3611.0,Sakshi,241.0,17.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D97C6_pujOY,2019-12-21,0.9975385665893556,1562.0,Sakshi,142.0,0.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
lxhbfZqculo,2019-12-21,0.997121036052704,1381.0,Sakshi,207.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
QOysjpOdyiY,2019-12-21,0.9984753727912904,864.0,Sakshi,252.0,0.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3udnOhmQnTY,2019-12-21,0.9985583424568176,638.0,Sakshi,201.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jIVaGBuShDQ,2019-12-22,0.9986296892166138,12670.0,Sakshi,250.0,18.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
t3cCq5t60gE,2019-12-26,0.9923549890518188,3169.0,Sakshi,233.0,3.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_0OhIWjQ3vw,2019-12-26,0.9962729215621948,2494.0,Sakshi,359.0,6.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSaq-i7FGiE,2020-03-04,-0.9979935884475708,900.0,Sakshi,365.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1nbQs9Z7dk,2020-03-06,0.989846646785736,1139.0,Sakshi,158.0,1.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AfGgTeD2bLQ,2020-03-07,-0.9929285645484924,652.0,Sakshi,164.0,0.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rOvf4IZe1zo,2020-03-08,0.9985289573669434,6809.0,Sakshi,212.0,2.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8t3DfT6N04I,2020-03-11,0.9981396198272704,250.0,Sakshi,168.0,0.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kVuOD83-WDU,2020-03-11,-0.9975136518478394,1837.0,Sakshi,128.0,2.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
vshUnM2NBbQ,2020-03-12,-0.9983708262443542,771.0,Sakshi,304.0,2.0,darsi.png,Maddisetty Venugopal,YSRCP,Darsi,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
