ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,schemes,yuvashakti,suprem court
ON3vJ-OWwEc,2022-06-30,0.9958580136299132,2182.0,Sakshi,522.0,2.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,1,0,1
Fgc9DY3zZ0k,2022-09-19,0.9939478635787964,2269.0,TV5,509.0,4.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
9vkK6P2Wt8s,2022-10-04,-0.9919821619987488,2337.0,TV5,353.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
KUwOda9A5OY,2022-11-30,-0.992400288581848,38529.0,ABN,330.0,35.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,1
7QoB_XK_h7o,2022-11-30,0.9932332634925842,4970.0,TV5,324.0,5.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,1
yjDDMAhicks,2022-12-01,-0.9963819980621338,5420.0,TV9,270.0,2.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,1,1,1,1
YdrsyoK53uk,2022-12-01,-0.9979165196418762,58186.0,ABN,558.0,36.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
lKLEeHzGaWM,2022-12-01,-0.9915934801101683,899.0,TV9,97.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,1
Aw0Pk0IEofg,2022-12-01,-0.9893146753311156,940.0,ABN,278.0,3.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,1
zdZxfaSFNCk,2022-12-01,-0.9974459409713744,959.0,TV9,227.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
2eUOh_P_sts,2022-12-01,-0.997519552707672,740.0,TV9,531.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
3ljvE-JSaWk,2022-12-01,-0.9984130859375,878.0,TV9,197.0,5.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,1,1
Pr06ZXifed0,2022-12-01,-0.9973740577697754,1118.0,TV9,245.0,1.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,1,1
jpzThv6FcCg,2022-12-01,-0.9889421463012696,1479.0,TV9,300.0,4.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
PJmnj9vVHvo,2022-12-02,-0.9934499859809875,665.0,TV9,137.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
ChGWNJCV2Cg,2022-12-07,-0.9813950657844543,9106.0,TV9,219.0,6.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,1,1,0
r2OWITvEUJE,2022-12-12,-0.9922035932540894,107919.0,TV5,498.0,53.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,0,0,0,0
n3GP9Lrg4OM,2023-01-31,0.9950560331344604,32842.0,TV5,305.0,48.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
Iyuq0cXhBNU,2023-02-02,0.9920986890792848,1286.0,TV9,288.0,3.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,0
Bamz_7DbYew,2023-02-02,-0.9898424744606018,1649.0,TV9,346.0,2.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,0
9r7k4OeTqtM,2023-02-02,-0.9956461787223816,1644.0,TV9,148.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,1
0EfSpxJ5uAg,2023-02-02,-0.9979189038276672,1684.0,TV9,550.0,1.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,0
J17M2KQYyPI,2023-02-11,-0.9956408739089966,1935.0,TV9,270.0,1.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,0,0,0
AUcgWIl3VMo,2023-02-11,-0.9945482611656188,760.0,TV9,281.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,0
r_WKcdsfDaY,2023-02-11,-0.9953941106796264,636.0,TV9,410.0,0.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,1,1,0,0
1YHyEw22NmU,2023-02-16,-0.9904313683509828,5131.0,TV9,207.0,5.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,0,1,0,0
alp_aybdrWg,2023-02-24,0.9976227879524232,4191.0,TV9,98.0,8.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,0,1,0,1,1
cvnccnPAo2U,2023-02-24,0.9969214797019958,1752.0,ABN,140.0,3.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,0,1,1
4-44WkGJRrE,2023-03-01,-0.9570152163505554,5656.0,TV5,294.0,4.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,1,1,1
PAlljqov-mk,2023-03-14,0.9948807954788208,11309.0,TV5,329.0,2.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,0,0,0,0
SpHyKjI643M,2023-03-18,-0.9904658794403076,1780.0,TV5,291.0,3.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,0,1,1
nAX9rQXgroA,2023-03-18,-0.9890484809875488,1244.0,TV5,193.0,2.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,0,0,0
FTgHM0lhc2M,2023-03-20,-0.9979161620140076,17839.0,TV5,64.0,17.0,ongole_l.png,Magunta Sreenivasulu Reddy,YSRCP,Ongole,1,1,0,0,0
