ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,cm jagan,AP 
pMgmF1qnMf0,2022-03-24,0.9951009154319764,30620.0,Sakshi,246.0,19.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,1,0
QMzlPqRkSPk,2022-05-16,-0.9993435740470886,10645.0,Sakshi,221.0,13.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,1,0
jhY2U-63yHg,2022-07-09,0.9975690245628356,1819.0,Sakshi,593.0,4.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,1,0,0
u9ZHbuEwC8k,2022-07-24,0.9932628273963928,6735.0,Sakshi,585.0,13.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
CswFc21A0yQ,2022-08-01,-0.999229907989502,7295.0,Sakshi,137.0,13.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,0,0,1
Rb4nrgdBgm0,2022-09-15,-0.9978528022766112,4436.0,TV5,324.0,4.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,1,1
QQM-RpZHhLA,2022-09-16,-0.9985089898109436,2537.0,Sakshi,214.0,2.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,1
pYhZr4YDgvo,2022-09-21,-0.9954490065574646,47951.0,Sakshi,451.0,98.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,1,1
51AqmRA6r-c,2022-09-21,-0.9993532299995422,155318.0,Sakshi,153.0,282.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,1,0
bEuk8wVPadQ,2022-10-15,-0.9991938471794128,4411.0,ABN,416.0,17.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,0,1
kphowog59t8,2022-10-24,0.996644914150238,740.0,ABN,128.0,0.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,1,0,0
wf4_d8mflkk,2022-11-05,0.9897777438163756,1040.0,ABN,525.0,0.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
SegnBq7GOz4,2022-11-12,0.9971157312393188,79739.0,Sakshi,570.0,391.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,1
5OBGBfU1il0,2022-12-09,-0.9699024558067322,1762.0,TV9,272.0,3.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
z9gy0rJ5HxA,2022-12-13,0.9856131672859192,4340.0,Sakshi,324.0,11.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,0,0
BcU-6Q1P8cs,2022-12-24,-0.9986903071403505,3409.0,TV9,158.0,2.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,1
vgV250bVkl4,2022-12-29,0.9980781078338624,4447.0,Sakshi,211.0,1.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,1,0
k26hQEkFnis,2023-01-03,0.9861477613449096,2773.0,TV5,346.0,2.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
KMD57thsZvc,2023-01-04,-0.9987574815750122,1872.0,Sakshi,164.0,7.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
QZtHa0XP1VU,2023-01-08,-0.9986847043037416,6732.0,Sakshi,267.0,8.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,1,1,0
qLOfRfSsWEw,2023-01-26,-0.9994320273399352,5813.0,ABN,405.0,2.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
Ui1QpfH6Dp0,2023-02-21,-0.9990270137786864,1035.0,TV9,277.0,5.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,1
RU_X-Lkmees,2023-03-03,-0.992290198802948,4830.0,TV9,206.0,0.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,0,1
E_yyJb1xnz4,2023-03-11,0.9973318576812744,10781.0,TV5,219.0,7.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,1,1
BytV4ADdm8o,2023-03-20,-0.9993261098861694,1828.0,TV9,197.0,4.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,0,0,0
yo-A6FspX1I,2023-03-20,-0.9982940554618835,35725.0,Sakshi,342.0,44.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,0,1,1
WMCKS7_bduI,2023-03-24,-0.994665503501892,15345.0,Sakshi,144.0,54.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,1,1,1,0
svlBJdr-1dc,2023-03-26,-0.998924434185028,1594.0,TV9,254.0,7.0,kandukur.png,Maheedhar Reddy Manugunta,YSRCP,Kandukur,0,1,0,0
