ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,janasena party,ap employees,ap assembly session today,alliance,polavaram,visakha,yuvashakti,tadepalli,suprem court,ap development,tadipatri
AlmvhE4WFxE,2020-03-05,-0.9982048273086548,2401.0,Sakshi,265.0,3.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tcCOzfJuOVY,2020-03-11,0.9927776455879213,18519.0,Sakshi,160.0,13.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0
OcEaVvaZg2o,2021-10-25,-0.9948045611381532,2305.0,Sakshi,227.0,3.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1
X7C_7zUMps8,2021-10-25,-0.998916745185852,2591.0,Sakshi,153.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
5kk23b522Rs,2021-10-25,-0.9992105960845948,471.0,Sakshi,64.0,4.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PwW_16_gMfg,2021-10-25,-0.9989590644836426,1307.0,Sakshi,169.0,14.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
YTWkLK_dwSc,2021-10-25,-0.9993594288825988,4691.0,Sakshi,144.0,8.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7P1toYj6JW8,2021-10-25,-0.9994850158691406,2137.0,Sakshi,245.0,10.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
cC6wRY57Ob4,2022-01-20,-0.9972967505455016,21615.0,Sakshi,74.0,61.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
vpxe0Rflx8I,2022-02-16,-0.9976623058319092,6476.0,Sakshi,231.0,30.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
tIo80-Pebww,2022-02-16,-0.9937543272972108,10152.0,Sakshi,267.0,40.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
yLeoXK_Bqes,2022-02-23,-0.9987910389900208,57885.0,Sakshi,285.0,250.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1
ozLEUXVoumU,2022-02-24,-0.99273681640625,4352.0,Sakshi,156.0,4.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
tO_CkdzhRZI,2022-03-03,-0.9979660511016846,5372.0,Sakshi,340.0,34.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hu_IHayGGjs,2022-03-03,-0.998932421207428,13451.0,Sakshi,105.0,99.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
J6ukU_W5_a0,2022-05-11,0.9932107329368592,19467.0,Sakshi,186.0,60.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
m0I3U1dUDxk,2022-05-30,-0.982809603214264,9257.0,Sakshi,561.0,40.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lNeYz0GjKEI,2022-07-22,-0.9815673232078552,15778.0,Sakshi,362.0,52.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
xy_JwZI_f7M,2022-08-09,-0.9974809288978576,16794.0,Sakshi,231.0,35.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KnnfeRHM2tA,2022-09-01,0.9930658340454102,36296.0,Sakshi,521.0,78.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7KidbOSwus,2022-09-01,0.998016119003296,2826.0,Sakshi,370.0,3.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VlL0lDxN9r0,2022-09-17,0.9932399988174438,4333.0,Sakshi,143.0,7.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
oiNuGWy1V6E,2022-10-11,0.9892617464065552,3119.0,Sakshi,528.0,35.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7mgraxiD_ss,2022-10-11,-0.9583212733268738,2222.0,Sakshi,499.0,11.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3Pm07N2AQw,2022-10-14,0.99770325422287,2478.0,Sakshi,237.0,52.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
te-0nO0JHJg,2022-10-14,-0.992493212223053,1909.0,Sakshi,491.0,6.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cQ71LBPAswc,2022-10-19,-0.999419927597046,33853.0,Sakshi,134.0,427.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc50BzIwj7M,2022-10-19,-0.9968966245651244,10108.0,Sakshi,491.0,64.0,Bharat.png,Margani Bharat,YSRCP,Rajahmundry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
