ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,schemes,cm jagan,AP ,alliance
LelpTWDhdGA,2019-12-23,0.9980934262275696,12201.0,Sakshi,241.0,9.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,1,0,1,0,1
HwyN2PLZIh4,2022-03-23,-0.9991063475608826,106325.0,Sakshi,278.0,197.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,0,0,1,1,0
uXlLx5HmuB0,2022-04-28,-0.9778046011924744,67601.0,Sakshi,149.0,40.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,1,1,0,1,0,1
J26C8ePq9YU,2022-05-07,0.9944773316383362,22000.0,Sakshi,343.0,15.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,1,0,1,0,0
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,0,0,1,0,0
YUMRb90lNi4,2022-06-01,-0.9970420002937316,28438.0,Sakshi,105.0,24.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,0,0,1,1,0
o_n7XLvP7dU,2022-06-02,0.988294005393982,95046.0,Sakshi,267.0,49.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,1,0,1,0,0
RflfrsBtvAQ,2022-06-02,0.995949387550354,30443.0,Sakshi,204.0,14.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,1,1,1,0,0,0
3jCCAWSaEBY,2022-06-03,-0.99870502948761,53762.0,Sakshi,302.0,36.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,1,1,0,0,0,0
R8w0oLA9JLA,2022-06-09,0.9968122839927672,9414.0,Sakshi,294.0,7.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,1,1,1,1,0,0
fn72pW9ziIc,2022-06-13,0.9948531985282898,136862.0,Sakshi,298.0,159.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,1,1,1,0,0,0
hiNR8x4Qzh4,2022-06-21,0.9769501686096193,15630.0,Sakshi,118.0,11.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,1,1,0,0,0
ci66Sis2wno,2022-06-21,0.9934645295143129,92593.0,Sakshi,310.0,81.0,atmakur.png,Mekapati Vikram Reddy,YSRCP,Atmakur,0,0,0,0,0,0
