ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,janasena party,ap employees,ap assembly session today,Atchannaidu,alliance,polavaram,visakha
bPAXqUe5X7A,2020-03-03,-0.9983934760093688,6501.0,Sakshi,370.0,5.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
07prdWx72U0,2020-03-14,0.9986922144889832,4100.0,Sakshi,227.0,12.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
qKCVUDFeRBU,2020-03-14,-0.9649703502655028,828.0,Sakshi,146.0,0.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u9OSA-f-wkw,2020-03-17,-0.9992369413375854,2071.0,Sakshi,546.0,4.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
VSLPP-9bthg,2021-08-06,0.9971866011619568,1888.0,Sakshi,129.0,7.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K1yD_Xb79l8,2021-08-19,-0.9922539591789246,2996.0,Sakshi,309.0,24.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
v3Sz81_MElk,2021-09-05,0.9957925081253052,3125.0,Sakshi,152.0,15.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
fGVKbEOaz8Q,2021-10-23,-0.9837276935577391,786.0,Sakshi,396.0,5.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
BSsKHtEYRZ4,2021-10-23,-0.99656879901886,585.0,Sakshi,190.0,1.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2cmTSdT31jM,2021-10-26,-0.9975600242614746,663.0,Sakshi,546.0,2.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vK8Whd07NrE,2021-10-26,-0.9979801774024964,734.0,Sakshi,523.0,0.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaygrQhnY88,2021-10-26,-0.991607666015625,1342.0,Sakshi,334.0,5.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSS7L_k6EZA,2021-11-06,0.9977522492408752,3782.0,Sakshi,252.0,25.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
--CSLBwFMLM,2021-11-22,0.996674656867981,2503.0,Sakshi,386.0,8.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6pPMbn-XCcI,2021-12-11,0.996565878391266,21180.0,Sakshi,299.0,32.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
os-FeouruiE,2022-02-08,-0.998377561569214,8156.0,Sakshi,291.0,36.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a7Mu5LxjmVk,2022-02-14,0.9982594847679138,4278.0,Sakshi,511.0,9.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ZBTtMFcQ8g,2022-02-14,0.9955244064331056,3992.0,Sakshi,217.0,4.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Kiv3afch4jk,2022-02-21,0.99855774641037,12791.0,Sakshi,170.0,13.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eNvL7qQb_qw,2022-03-19,0.9955085515975952,3242.0,Sakshi,366.0,5.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
QMjpJHZswM0,2022-03-21,-0.9927279949188232,2112.0,Sakshi,209.0,5.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
kyNrecWfNPg,2022-03-22,0.9955220222473145,488.0,Sakshi,572.0,2.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tYWmCUM6UAM,2022-03-31,-0.9923468828201294,6395.0,Sakshi,78.0,22.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SQl_s6r8l-M,2022-03-31,0.9734365344047546,3281.0,Sakshi,573.0,6.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bSEhCFJQaHs,2022-04-06,-0.9976909160614014,16500.0,Sakshi,328.0,103.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gl7ZG7jPQfs,2022-04-15,-0.9984194040298462,3757.0,Sakshi,325.0,3.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wp8qWEjR6nc,2022-04-18,-0.997553050518036,9104.0,Sakshi,141.0,16.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO4ZmjmNBMM,2022-05-02,0.998688280582428,6017.0,Sakshi,220.0,9.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5E9j67TyrLU,2022-05-14,-0.981870174407959,14105.0,Sakshi,220.0,64.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
YdSeRrrXxec,2022-05-14,0.9977972507476808,4314.0,Sakshi,101.0,3.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Damsg_GFgyY,2022-05-17,0.995335042476654,189190.0,Sakshi,445.0,422.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BAPB1z6fa8k,2022-06-08,-0.994617760181427,13485.0,Sakshi,526.0,49.0,narsapuram.png,Mudunuri Prasada Raju,YSRCP,Narsapuram,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
