ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Kuppam,janasena party,tdp pattabhi,ap employees,ap assembly session today,jr ntr,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy
MzFj2zZDvK8,2019-12-26,-0.9849297404289246,391.0,Sakshi,267.0,0.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63BPTmkM9wQ,2020-03-06,-0.9982362985610962,1897.0,Sakshi,296.0,1.0,lokesh.png,N lokesh,TDP,,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sokk8iYR1v8,2020-03-08,0.9860737323760986,3919.0,Sakshi,370.0,3.0,lokesh.png,N lokesh,TDP,,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTjBbhzW-cY,2020-03-10,-0.9991832375526428,334390.0,Sakshi,408.0,91.0,lokesh.png,N lokesh,TDP,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yQUA6wDt9Q0,2020-03-17,-0.998460292816162,206274.0,Sakshi,256.0,208.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3z9WyisCbQ,2021-02-27,-0.9964722394943236,27855.0,Sakshi,80.0,58.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
RpCmDflJjWU,2021-03-09,-0.980830729007721,8965.0,Sakshi,430.0,11.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z7YfsxxuwRQ,2021-07-20,0.9955137372016908,58502.0,Sakshi,398.0,203.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8t385rLA_1g,2022-02-07,-0.6318177580833435,6579.0,Sakshi,165.0,7.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Woqs3P7rN3c,2022-03-31,0.9918895363807678,3700.0,Sakshi,406.0,6.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OWiDEWozi88,2022-04-05,0.9777544140815736,152345.0,Sakshi,383.0,280.0,lokesh.png,N lokesh,TDP,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZmgP5FOcnRw,2022-04-18,0.9973451495170592,426210.0,Sakshi,74.0,108.0,lokesh.png,N lokesh,TDP,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8JrnKHc2ld4,2022-04-30,0.997822642326355,83145.0,Sakshi,275.0,38.0,lokesh.png,N lokesh,TDP,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QR8q7yAMcXE,2022-05-26,0.9979434609413148,3593.0,Sakshi,325.0,4.0,lokesh.png,N lokesh,TDP,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EboME7EFHn0,2022-06-11,-0.9983554482460022,206386.0,Sakshi,190.0,819.0,lokesh.png,N lokesh,TDP,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
