ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,janasena party,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,tadipatri,nandigama
Kiv3afch4jk,2022-02-21,0.99855774641037,12791.0,Sakshi,170.0,13.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2BEHTDXBEYo,2022-08-21,0.9966663718223572,134745.0,TV5,120.0,532.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
2yONrbGPiXE,2022-08-21,-0.9932136535644532,121431.0,TV5,75.0,197.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q8AAULW-h10,2022-08-21,0.9929134249687196,53029.0,TV5,190.0,222.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Gc-YTah8LEY,2022-08-21,0.9887822270393372,1373.0,TV5,225.0,9.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
A8NXp4qDPQk,2022-08-21,0.996443212032318,114892.0,TV5,535.0,520.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FdqW0wIpn2A,2022-08-21,-0.9967148303985596,8665.0,TV5,230.0,31.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
h5FyOa4raXo,2022-08-21,0.996968686580658,14204.0,TV5,235.0,22.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
a9ZI-zeo7To,2022-08-21,-0.9882083535194396,5294.0,TV5,200.0,14.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
IiKPWh-6Ses,2022-08-23,-0.9987657070159912,85026.0,TV5,116.0,119.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
wqFlQhkDcK8,2022-09-12,0.9977407455444336,1642.0,TV5,171.0,0.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BemZAvKT6-A,2022-10-16,-0.9994367957115172,4519.0,ABN,492.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XlDlyZLnwyE,2022-10-16,-0.999502658843994,31790.0,TV5,202.0,43.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
iVE8QwxjtQ8,2022-10-17,0.98478764295578,2553.0,TV5,185.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
nSHXQiitko0,2022-10-18,0.9982014894485474,5123.0,TV5,170.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
1XzYjSS31Ac,2022-10-18,0.998434603214264,35143.0,TV5,130.0,40.0,monohar.png,Nadendla Manohar,JSP,,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0
TFSMYbGEgVY,2022-10-18,0.9971712231636048,9887.0,TV5,225.0,31.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
NbvZCBLlbFQ,2022-10-18,0.9978589415550232,4539.0,TV5,472.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ll5bd0ICSzo,2022-10-19,-0.9983659386634828,6802.0,TV5,122.0,7.0,monohar.png,Nadendla Manohar,JSP,,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0
2_auGf651TA,2022-10-19,0.9967707395553588,171371.0,TV5,451.0,275.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3VSjUWjUxNY,2022-10-19,-0.9941545128822328,4196.0,ABN,238.0,14.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
u8LRulzhpZk,2022-10-21,0.9878111481666564,7636.0,TV5,290.0,7.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1
9ev_FA64m3o,2022-10-30,0.9648829102516174,1299.0,ABN,81.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
HMe_guCnt24,2022-10-30,-0.99590402841568,7897.0,TV5,531.0,18.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
shliuLG9xNc,2022-11-04,-0.9970715045928956,2516.0,TV5,455.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
DcbTKIHeGmw,2022-11-11,0.998694121837616,2303.0,ABN,153.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0
-qOeHMOyfVE,2022-11-11,-0.9902496933937072,4220.0,TV5,97.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
jtcKWdbPSPc,2022-11-12,-0.981332540512085,5796.0,TV5,253.0,19.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
_qmtt5Ea0NA,2022-11-12,-0.9989569187164308,1201.0,ABN,152.0,3.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HimCSiLEn6I,2022-11-18,0.9961354732513428,2637.0,TV9,90.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sUug88oVfRk,2022-11-18,0.9971278309822084,2094.0,TV9,180.0,1.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
eIyEJf6g7Xw,2022-11-18,-0.9829376339912416,10688.0,TV5,225.0,27.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
UfMW-13qJeY,2022-11-19,0.9974344372749328,2312.0,TV9,91.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Y80HdGR_dVw,2022-11-21,0.9888389110565186,44005.0,TV9,315.0,35.0,monohar.png,Nadendla Manohar,JSP,,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1rUZDM3IKOU,2022-11-25,-0.9930508136749268,554.0,ABN,250.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VRGRfCleKUQ,2022-11-26,0.9980810880661012,1568.0,TV9,255.0,6.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gctVx9Eo59Q,2022-11-26,-0.995294988155365,1514.0,TV9,183.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
-Iwrw22efb0,2022-12-09,-0.9994882345199584,1186.0,TV9,72.0,5.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
sMFg_r_ffDs,2022-12-09,-0.9953768253326416,17910.0,TV5,143.0,40.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4eLjXxGJhiQ,2022-12-09,-0.999283730983734,468.0,ABN,232.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
flFYl_tHnvc,2022-12-09,-0.998630702495575,1161.0,TV9,237.0,1.0,monohar.png,Nadendla Manohar,JSP,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q8137bfINtQ,2022-12-09,-0.984171450138092,6210.0,TV9,148.0,22.0,monohar.png,Nadendla Manohar,JSP,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
09T2fTl7N34,2022-12-10,-0.998022198677063,2274.0,TV9,127.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oSFAOLmXjpE,2022-12-10,-0.9971923232078552,14684.0,ABN,269.0,20.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
qvCW1iJl9B0,2022-12-10,-0.9990787506103516,23532.0,TV9,40.0,30.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LXqg1pJiGTU,2022-12-11,0.9985222220420836,2585.0,ABN,590.0,2.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
QzO-mIFKSDE,2022-12-13,-0.9937892556190492,426790.0,TV9,320.0,370.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
a6G7GbPU-W8,2022-12-13,-0.6507529020309448,781.0,TV9,279.0,0.0,monohar.png,Nadendla Manohar,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
