ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,chandrababu,visakha,yuvashakti,suprem court
5lJY4jwH-64,2021-11-12,-0.9908865690231324,6406.0,Sakshi,131.0,20.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,0,0,0
heBSMhl0avE,2021-12-18,-0.998053789138794,8185.0,Sakshi,72.0,27.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,1,1,1
IBFORdLiYdM,2022-10-10,-0.9931796789169312,119492.0,Sakshi,430.0,193.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,0,0,0
Xa_NQSzvyBE,2022-10-13,-0.9913193583488464,2255.0,ABN,295.0,10.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,1,0,1
0edFUf4DnyU,2022-10-14,-0.9950631260871888,3850.0,ABN,310.0,1.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,0,0,0
m0vEEINIuSA,2022-11-04,0.995902955532074,9927.0,Sakshi,266.0,34.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,1,1,1
b_C9CEgbn6Q,2022-11-08,0.998513162136078,2863.0,Sakshi,119.0,38.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,0,1,1,0
4u0NAAB3z7A,2022-12-06,-0.995017111301422,2513.0,Sakshi,176.0,24.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,0,0,0
4z6GZe0huaM,2022-12-15,0.9961297512054444,1601.0,Sakshi,164.0,3.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,0,0,0
qSXxjVek8dU,2023-01-04,0.9936215281486512,61978.0,Sakshi,350.0,63.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,0,0,0
CVHY97CDazE,2023-01-09,-0.9970141649246216,9528.0,Sakshi,93.0,30.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,1,1,0
ndKBMO9kZ2Y,2023-01-18,-0.9963828325271606,24950.0,Sakshi,256.0,90.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,1,1,1
G0WldsDx24E,2023-01-20,-0.9941404461860656,2470.0,Sakshi,249.0,1.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,0,1,1
BjAZl2wULEA,2023-01-22,-0.9899097681045532,95823.0,TV9,578.0,17.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,0,0,0
hSKAR8JQXqw,2023-01-23,0.9922693967819214,7212.0,Sakshi,173.0,39.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,1,1,0,0,0
sra_Xz0f4b4,2023-01-23,0.9934817552566528,803.0,Sakshi,64.0,3.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,1,0,0
FIiCEjqS9m4,2023-01-28,-0.9936700463294984,4434.0,Sakshi,173.0,10.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,1,1,0,1,0
5vJbvOy3aWQ,2023-03-25,0.9743661880493164,153202.0,Sakshi,212.0,201.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,0,0,1
2i0mZ49tifI,2023-03-28,0.9981849789619446,13269.0,Sakshi,348.0,41.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,0,0,0,0
ysg-HR-3bus,2023-03-28,-0.9898402690887452,5359.0,TV9,227.0,6.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,0,0,0,0,0
jEIIM81Fro0,2023-04-01,-0.991472065448761,9592.0,Sakshi,245.0,39.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,1,1,1,1,1
Ho_7x5SeJQQ,2023-04-10,0.9979920387268066,6426.0,Sakshi,188.0,24.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,1,1,1,1,1,1
JAyjLnlozww,2023-04-15,0.9949018955230712,22071.0,Sakshi,322.0,24.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,1,1,1
-ROXEVytIAQ,2023-04-21,-0.997433602809906,14141.0,Sakshi,312.0,31.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,0,0,1
suGCrf-n8UU,2023-04-21,-0.9896475672721864,2388.0,Sakshi,198.0,9.0,kovur.png,Nallapareddy Prasanna Kumar Redd,YSRCP,Kovur,0,0,1,0,0,0
