ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,raghurama ,AP ,yuvashakti,suprem court,ap development
JNFQYlW0uvQ,2020-03-14,-0.9732643365859984,731676.0,Sakshi,385.0,208.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,1,0,0,1,0,0,0,0,0
-ry3QJbChGI,2021-09-04,0.9959414601325988,3145.0,Sakshi,369.0,11.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
ExtF_AdpZ40,2021-12-20,0.9982119798660278,11812.0,Sakshi,289.0,49.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,1,0,0,1,0,0,0
hSS2tUaku4Q,2022-02-17,0.9932726621627808,70806.0,Sakshi,379.0,27.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
MGRA5zdnzT8,2022-02-19,-0.9018036127090454,51185.0,Sakshi,445.0,132.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
USU7jTwy4BE,2022-06-19,-0.984667181968689,5360.0,Sakshi,322.0,25.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
PZRbE18htNI,2022-06-28,-0.9971572160720824,1940.0,Sakshi,253.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,1,1,1,0,0,0,1,0,0,1
7ZjMX1AcqE4,2022-07-09,0.996800661087036,3958.0,Sakshi,286.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,1,1,0,0,0,0,1,1
zzIGymDuvrk,2022-08-30,-0.9889609217643738,15619.0,Sakshi,585.0,16.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,1,0,0,0,0,0,0
hm3zJWGnlPI,2022-09-02,0.9982959628105164,1225.0,TV5,130.0,1.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
xupBxr0BdOs,2022-09-09,-0.986922025680542,1516.0,TV5,399.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,1,0,0,1,0,0,0,0,0,0,0
uJWdKx0CP38,2022-09-13,-0.9795459508895874,2763.0,Sakshi,264.0,4.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,1,0,0,1,0,0,0,1,0
_V1xOOg_sbw,2022-10-04,0.9900813698768616,1981.0,Sakshi,351.0,4.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
QT3jg4fKDhI,2022-10-19,-0.9981829524040222,6890.0,ABN,113.0,16.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
Vj9V3JmuYW0,2022-10-30,-0.9988616704940796,5445.0,TV5,305.0,10.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,1,0,0,1,0
y7Fx7-Xvszs,2022-10-30,-0.9923782348632812,1512.0,TV5,356.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
4uEd5rdB36Y,2022-10-31,-0.9964685440063475,4187.0,ABN,120.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
v1zhkIwsPYA,2022-11-03,-0.995290994644165,1056.0,TV5,212.0,2.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
E14sqx4I8sA,2022-11-05,-0.9980169534683228,1216.0,TV5,595.0,0.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,1,1,0,0,1,0,0,0,0,0
wCW78Vk64JM,2022-11-19,-0.997328281402588,1957.0,TV5,476.0,3.0,pedakurapadu.png,Namburu Sankara Rao,YSRCP,Pedakurapadu,0,0,0,0,0,0,0,0,0,0,0
