ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,Gadapa Gadapaku ,janasena party,tdp pattabhi,ap employees,Vidadala Rajini,ap assembly session today,Atchannaidu,high court,alliance,vangalapudi anitha,polavaram,visakha, vidadala ,roja,nellore ,srikakulam,yuvashakti,tadepalli,Pension,suprem court,ap development,tadipatri,varahi ,nellore mekapati,nandigama,High Court
p8QvmIRoNVg,2019-06-29,0.9978081583976746,7035.0,Sakshi,125.0,0.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6xkTehex1VQ,2019-12-27,0.997666358947754,7953.0,Sakshi,158.0,7.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
4i2iPsXDrLc,2020-03-16,-0.9994370341300964,1755.0,Sakshi,287.0,8.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
wda42vu7p9E,2020-03-16,-0.9994864463806152,2711.0,Sakshi,287.0,8.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
peqMZIxsek8,2021-02-17,0.998229444026947,13836.0,Sakshi,436.0,13.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sk-upwLLfug,2021-07-28,-0.9981852173805236,7940.0,Sakshi,408.0,31.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YdIGxfA3710,2021-08-07,0.9958189129829408,2131.0,Sakshi,207.0,4.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
S7TsVyZ95u8,2021-11-18,0.9985180497169496,41789.0,Sakshi,488.0,103.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
-d_TTW_4tQ4,2021-11-25,0.9962762594223022,815.0,Sakshi,354.0,1.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qk3My3eVvaw,2021-12-08,0.9985699653625488,5546.0,Sakshi,235.0,29.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
-FzOZX_5PIw,2021-12-10,-0.978011965751648,4806.0,Sakshi,509.0,42.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DF8YozJOsH4,2021-12-11,0.9869400858879088,4432.0,Sakshi,502.0,48.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7vb_i7sie_k,2021-12-13,0.994698405265808,13544.0,Sakshi,421.0,34.0,kurupam.png,Pamula Pushpa Sreevani,YSRCP,Kurupam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
