ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,raghurama ,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,Anam Ramanarayana Reddy
9pTmQ7kexmE,2020-03-03,-0.9978398084640504,1825.0,Sakshi,257.0,1.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
l4C4fxPqY1Q,2020-03-07,0.9983116388320924,4850.0,Sakshi,201.0,3.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
NqefjAIoHac,2020-03-10,0.9944695234298706,7309.0,Sakshi,271.0,13.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xIzaRyJp5v0,2020-03-10,-0.9994645714759828,1644.0,Sakshi,86.0,3.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nZDFuzE7iOA,2020-03-10,-0.9826897382736206,83606.0,Sakshi,334.0,14.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paznjRy1AtU,2020-03-14,0.9866418838500975,705.0,Sakshi,241.0,1.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
7Pgprx1Rdx4,2021-02-18,-0.9979221224784852,97975.0,Sakshi,440.0,71.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nq0093qgvak,2021-02-18,0.9979453682899476,1508.0,Sakshi,182.0,2.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0
KcP_8KH37TU,2021-03-17,0.996217668056488,28772.0,Sakshi,225.0,22.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
kS7arTQeJlY,2021-06-14,0.9940703511238098,5089.0,Sakshi,492.0,9.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gwimat41bTk,2021-09-06,0.9961573481559752,2752.0,Sakshi,167.0,27.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FJ_hC33MuJ4,2021-09-17,0.997885525226593,4250.0,Sakshi,198.0,14.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
MxJ6-NNLFqQ,2021-10-04,-0.9954184293746948,24977.0,Sakshi,61.0,33.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
pkdP0XK1RR0,2021-10-05,-0.9985322952270508,1643.0,Sakshi,81.0,8.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
-y2QUoq8Acg,2021-10-05,-0.993069589138031,5543.0,Sakshi,77.0,19.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G6tFpwxVgWc,2021-10-05,-0.996183454990387,6394.0,Sakshi,175.0,17.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k1vJho5IOEw,2021-10-06,0.9940873384475708,2477.0,Sakshi,53.0,6.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
00tA2fMQkCU,2021-11-05,-0.9953063130378724,33650.0,Sakshi,431.0,22.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xO_n2urul8w,2021-11-05,-0.9859490990638732,33675.0,Sakshi,56.0,14.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZRaY4bt64aQ,2021-11-05,0.9986139535903932,1540.0,Sakshi,236.0,2.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P9V9sre43WE,2021-11-06,-0.9943055510520936,178879.0,Sakshi,279.0,296.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
842IXVoYiEo,2021-11-11,-0.9993683695793152,12713.0,Sakshi,201.0,34.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
LNLwOZW-eW4,2021-11-12,-0.9973318576812744,6998.0,Sakshi,161.0,33.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dOOXvkccvIA,2021-11-17,-0.998171329498291,12186.0,Sakshi,333.0,64.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
YJF596C_rk4,2021-11-17,0.9793190360069276,35424.0,Sakshi,279.0,74.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
hivtBAofdx4,2021-11-24,-0.9814797043800354,18592.0,Sakshi,209.0,51.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pZxiqSEp_OA,2021-12-03,-0.9802433848381042,19646.0,Sakshi,223.0,29.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
qjv9O24xlQg,2022-01-23,0.9986706972122192,3946.0,Sakshi,99.0,3.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
dDKR8dTKidY,2022-02-14,-0.9861568212509156,22774.0,Sakshi,269.0,109.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
a7Mu5LxjmVk,2022-02-14,0.9982594847679138,4278.0,Sakshi,511.0,9.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sCq9HUNXviA,2022-03-05,-0.9578039646148682,28362.0,Sakshi,533.0,108.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0a_qmYBTz0,2022-03-12,-0.9934779405593872,12866.0,Sakshi,285.0,16.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
lkZ7hbVTI8I,2022-03-13,0.9973248243331908,2750.0,Sakshi,222.0,14.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
TpzxO7JSdLY,2022-03-17,0.9954304695129396,54739.0,Sakshi,479.0,74.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjILOdtsL4,2022-03-21,0.9927720427513124,1185.0,Sakshi,486.0,5.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zp8r0PU-BTQ,2022-03-30,0.9885791540145874,999.0,Sakshi,515.0,1.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7yZCu_hIJ8,2022-04-19,0.9896586537361144,110186.0,Sakshi,196.0,19.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
D444ByLCXJI,2022-04-29,-0.9987103939056396,59496.0,Sakshi,166.0,271.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8rvlBzhN0A0,2022-05-06,0.9771048426628112,75938.0,Sakshi,237.0,137.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
S8Fj_Gs6rKg,2022-05-09,-0.9784466624259948,49304.0,Sakshi,306.0,101.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
kaCdGuS4ghM,2022-05-12,-0.997855007648468,17851.0,Sakshi,326.0,66.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-ZZogoq5R84,2022-05-14,0.9951908588409424,29119.0,Sakshi,89.0,93.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
cAGNWcKEsk8,2022-05-17,0.9946668148040771,5492.0,Sakshi,224.0,14.0,punganur.png,Peddireddy Ramachandra Reddy,YSRCP,Punganur,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
