ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,ycp,ysrcp,cm jagan,AP 
uFVJC5vNZDI,2021-02-15,-0.9975610971450806,4050.0,Sakshi,79.0,2.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,0,0
T7NyY7KZ5ck,2021-11-13,0.9971550703048706,4128.0,Sakshi,204.0,9.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,1,1,0,0
Ci6sOO35cxo,2022-03-10,0.9988120794296264,2196.0,Sakshi,490.0,3.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,1,0
ieXtkwBnXw4,2022-03-10,0.9976741671562196,5382.0,Sakshi,308.0,4.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,1,1
nmpafdDglBw,2022-03-21,-0.9946692585945128,1030.0,Sakshi,212.0,0.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,1,1,1,1
flqZfvGi4i4,2022-03-25,0.9966811537742616,569.0,Sakshi,361.0,0.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,1,0
ry_cjFBvTjc,2022-05-09,0.9986454844474792,57403.0,Sakshi,356.0,71.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,1,0
dq08sz8mkI4,2022-06-28,-0.998176097869873,2098.0,Sakshi,209.0,4.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,1,1,0,0
-p-MBdJQVfU,2022-07-26,0.990006148815155,2106.0,Sakshi,105.0,2.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,1,0
ZIz7LFLPqyU,2022-07-27,0.997948944568634,11523.0,Sakshi,248.0,15.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,1,1,1,1
osBgEr3YB4E,2022-09-21,-0.99433171749115,6223.0,Sakshi,209.0,5.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,1,1
zr8Bl1twr7M,2022-09-26,0.9969843029975892,2148.0,Sakshi,443.0,5.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,1
m-DLpdcsTww,2022-11-13,0.9914108514785768,2429.0,Sakshi,446.0,5.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,1,0
yBHLE6kjV-U,2022-11-19,0.987716019153595,1888.0,TV9,590.0,1.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
I7-no6oIU50,2022-11-22,0.9952057003974916,1006.0,Sakshi,311.0,5.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
P9D5KXd3Bmo,2022-12-03,0.9966005682945251,2486.0,Sakshi,135.0,31.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,1,0
73EHuDAesbo,2022-12-07,0.9844914078712464,1053.0,TV9,121.0,4.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
Fkw1t2MTWYw,2022-12-26,0.9986969828605652,191674.0,Sakshi,504.0,163.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
kZADclAV3zw,2022-12-26,0.9972386360168456,16593.0,Sakshi,548.0,15.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
P7_arlAn8GQ,2023-01-02,-0.9981622099876404,1754.0,TV9,356.0,3.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
rK1cWmUhyJ4,2023-01-04,-0.9991318583488464,2751.0,TV9,184.0,4.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
6IYj6MbE0Q4,2023-01-06,-0.9990296363830566,2956.0,TV9,578.0,0.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
s7Xf5J9lbis,2023-01-11,0.9855239987373352,1888.0,TV9,204.0,0.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,1
UKUHhaYDO2U,2023-01-30,-0.9987276196479796,11806.0,TV9,118.0,5.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,0,0,0
wXNIFuI8tk8,2023-02-07,-0.9715512990951538,14193.0,TV5,61.0,50.0,salur.png,Peedika Rajanna Dora,YSRCP,Salur,0,1,0,1
