ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,cm jagan
ddfS9NhPC2w,2019-12-22,0.9960131645202636,431573.0,Sakshi,411.0,0.0,posani.png,Posani Krishna Murali,YSRCP,,0
icfd9L1vkR4,2022-02-10,0.9983181953430176,36838.0,Sakshi,264.0,66.0,posani.png,Posani Krishna Murali,YSRCP,,1
MVDlwafNALU,2022-02-10,0.916272521018982,381655.0,Sakshi,327.0,995.0,posani.png,Posani Krishna Murali,YSRCP,,1
fSEH3XgEwWQ,2022-02-11,-0.9974263310432434,95946.0,Sakshi,363.0,118.0,posani.png,Posani Krishna Murali,YSRCP,,1
Qs1P9HyBvoY,2022-03-22,0.9941484928131104,11217.0,Sakshi,113.0,20.0,posani.png,Posani Krishna Murali,YSRCP,,1
y_E6RNuxEP4,2022-11-03,0.9971555471420288,4382.0,ABN,55.0,24.0,posani.png,Posani Krishna Murali,YSRCP,,1
8mzg3BC9HHo,2022-12-23,0.9980347752571106,25940.0,TV9,26.0,14.0,posani.png,Posani Krishna Murali,YSRCP,,0
guMudsLIcGU,2022-12-25,0.8911492228507996,9961.0,TV9,303.0,0.0,posani.png,Posani Krishna Murali,YSRCP,,0
G5EBtJ7Pz08,2023-01-19,0.994904398918152,1432.0,Sakshi,546.0,7.0,posani.png,Posani Krishna Murali,YSRCP,,0
Q3pyNBPz04I,2023-02-03,0.9955677390098572,5975.0,TV9,270.0,18.0,posani.png,Posani Krishna Murali,YSRCP,,0
f0GuY4TKumU,2023-02-03,0.998017191886902,41988.0,Sakshi,491.0,90.0,posani.png,Posani Krishna Murali,YSRCP,,1
VwzcouVCyvY,2023-02-03,0.9939693212509156,9291.0,TV9,317.0,21.0,posani.png,Posani Krishna Murali,YSRCP,,0
KmY08yAdMkM,2023-02-03,0.9975021481513976,5255.0,TV9,290.0,7.0,posani.png,Posani Krishna Murali,YSRCP,,0
LUP1A5ZrYKw,2023-02-04,0.9971248507499696,17847.0,Sakshi,56.0,38.0,posani.png,Posani Krishna Murali,YSRCP,,1
phto_kPrhOY,2023-02-04,0.9956538677215576,140807.0,Sakshi,545.0,139.0,posani.png,Posani Krishna Murali,YSRCP,,0
Tx_IXS3N3SY,2023-02-08,0.9954634308815002,2416.0,Sakshi,201.0,2.0,posani.png,Posani Krishna Murali,YSRCP,,1
H-EaCsl1Hq0,2023-02-09,0.9962965846061708,2893.0,Sakshi,181.0,2.0,posani.png,Posani Krishna Murali,YSRCP,,1
mKbglaLZPxo,2023-02-10,-0.9852362871170044,4658.0,Sakshi,268.0,10.0,posani.png,Posani Krishna Murali,YSRCP,,1
UkfKDRDLygc,2023-02-19,0.9977819323539734,5952.0,Sakshi,124.0,2.0,posani.png,Posani Krishna Murali,YSRCP,,0
F9ZZ84U54FM,2023-04-07,-0.9989579916000366,1344.0,TV9,291.0,0.0,posani.png,Posani Krishna Murali,YSRCP,,0
VOC9DbjmaCU,2023-04-07,-0.9988871216773988,3179.0,TV9,156.0,6.0,posani.png,Posani Krishna Murali,YSRCP,,0
Q0PlgngeBJ4,2023-04-07,0.9920791983604432,18268.0,Sakshi,270.0,22.0,posani.png,Posani Krishna Murali,YSRCP,,1
2Kh0PpFmyBI,2023-04-10,0.9866850972175598,10616.0,Sakshi,43.0,5.0,posani.png,Posani Krishna Murali,YSRCP,,0
YtzDra3oSzs,2023-04-11,-0.998587131500244,8596.0,Sakshi,59.0,6.0,posani.png,Posani Krishna Murali,YSRCP,,0
tpcu2JI-Epo,2023-04-13,-0.9872140884399414,21683.0,Sakshi,57.0,52.0,posani.png,Posani Krishna Murali,YSRCP,,0
Tk2RWpcz93U,2023-04-18,-0.9935676455497742,213833.0,Sakshi,58.0,230.0,posani.png,Posani Krishna Murali,YSRCP,,0
fWrfKcoWuyU,2023-04-20,-0.9990478157997132,27217.0,Sakshi,50.0,13.0,posani.png,Posani Krishna Murali,YSRCP,,0
