ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,MLC Elections 2023,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
xBH6W_Kx2Fs,2019-06-29,0.9987671375274658,426.0,Sakshi,184.0,0.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33p091jQPUk,2019-06-29,0.9906795620918274,178550.0,Sakshi,441.0,80.0,nagari.png,R K roja,YSRCP,Nagari,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvoo6ju2Zv8,2019-12-21,0.983485460281372,734.0,Sakshi,244.0,3.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CT6cWwvO6oU,2019-12-21,-0.9987357258796692,3545.0,Sakshi,99.0,14.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hvuNzAFYaSE,2019-12-22,0.9987616539001464,3028.0,Sakshi,289.0,15.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
j0qCZy-4QjA,2019-12-22,0.9950734972953796,1486.0,Sakshi,382.0,1.0,nagari.png,R K roja,YSRCP,Nagari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q17glzgp4po,2019-12-23,0.9818702936172484,1213.0,Sakshi,302.0,0.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
n8V4_HMQqco,2019-12-24,0.9944748282432556,5274.0,Sakshi,426.0,0.0,nagari.png,R K roja,YSRCP,Nagari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iAdcizFZMKo,2019-12-27,0.9980785846710204,565548.0,Sakshi,333.0,51.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
LvaJBYNQYP8,2020-03-04,-0.9975953698158264,5262.0,Sakshi,218.0,1.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SiVwsP1310E,2020-03-05,-0.9868332743644714,2355.0,Sakshi,113.0,2.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yhfY4lPHIMU,2020-03-05,0.9882181286811828,1031.0,Sakshi,355.0,0.0,nagari.png,R K roja,YSRCP,Nagari,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aqO16bRLbiQ,2020-03-05,-0.981389820575714,441.0,Sakshi,176.0,0.0,nagari.png,R K roja,YSRCP,Nagari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AlmvhE4WFxE,2020-03-05,-0.9982048273086548,2401.0,Sakshi,265.0,3.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zTtg9c8AN7k,2020-03-05,0.9898678064346312,5989.0,Sakshi,51.0,12.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EtuUqOCp77Y,2020-03-05,-0.9579288959503174,651.0,Sakshi,184.0,0.0,nagari.png,R K roja,YSRCP,Nagari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ft4Jcue_Xs0,2020-03-08,0.992521584033966,7720.0,Sakshi,192.0,1.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sfrdkZQL2W8,2020-03-13,-0.997025430202484,10840.0,Sakshi,308.0,2.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mqL3kwnArKA,2020-03-13,0.9958361387252808,20488.0,Sakshi,141.0,29.0,nagari.png,R K roja,YSRCP,Nagari,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2WuA7fpeCdo,2020-03-15,0.9976443648338318,7133.0,Sakshi,89.0,2.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F3RUdhyrtH4,2020-03-16,0.993861436843872,33895.0,Sakshi,356.0,8.0,nagari.png,R K roja,YSRCP,Nagari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-PO4T8sr_A,2020-03-16,-0.9993240833282472,17723.0,Sakshi,69.0,36.0,nagari.png,R K roja,YSRCP,Nagari,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
kXGQBHhJGMs,2020-03-17,-0.997688055038452,6551.0,Sakshi,310.0,1.0,nagari.png,R K roja,YSRCP,Nagari,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tPLu8Y_KMos,2021-02-14,0.9979216456413268,2719.0,Sakshi,209.0,2.0,nagari.png,R K roja,YSRCP,Nagari,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
