ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
kEMshpYBzv4,2019-12-23,0.9977805018424988,14362.0,Sakshi,233.0,10.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1
nfCkEXDpLBM,2019-12-23,0.9977679252624512,3809.0,Sakshi,261.0,0.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
Bha6hbQ1IfI,2020-03-16,-0.9993836879730223,991.0,Sakshi,235.0,1.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0
9VPvynQAO9I,2021-11-05,0.99726665019989,9803.0,Sakshi,255.0,11.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
UblE7GzUh2Q,2021-11-10,0.9906432032585144,3694.0,Sakshi,311.0,10.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
IZj7cND56Rg,2021-12-01,-0.9967535138130188,216351.0,Sakshi,267.0,565.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
uXh7IQr0PoQ,2021-12-23,0.9973934888839722,122366.0,Sakshi,498.0,112.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YlUN6JQ2ME0,2021-12-23,-0.9970554113388062,121500.0,Sakshi,204.0,113.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f0oDXGDaTLE,2021-12-23,0.996277153491974,1782.0,Sakshi,107.0,0.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaz9mGH49ws,2022-02-26,-0.9977987408638,3141.0,Sakshi,275.0,39.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
