ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,raghurama ,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,panchayat elections,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Vidadala Rajini,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,MLC Elections 2023,high court,gorantla ,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
-3VhGEtjszA,2019-06-29,0.997302770614624,1464.0,Sakshi,47.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l4iE3VuYyxQ,2019-06-30,-0.9931313395500184,3941.0,Sakshi,109.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-1vjoXI3p8,2019-12-20,0.9936107993125916,332.0,Sakshi,534.0,2.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uovRzdhaQvo,2019-12-20,-0.9925580024719238,977.0,Sakshi,222.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JkBU7G6yNqQ,2019-12-21,0.9984558820724488,1108.0,Sakshi,191.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
LadTzqC7Wdc,2019-12-21,0.9987253546714784,483.0,Sakshi,244.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TQlpgkzsJ_U,2019-12-21,0.9973255395889282,1207.0,Sakshi,121.0,1.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaYcubQ4Tc8,2019-12-21,0.9982116222381592,820.0,Sakshi,72.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
vIOZmglPWtQ,2019-12-21,0.994632363319397,3941.0,Sakshi,362.0,1.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WFW5rnVjo9A,2019-12-22,0.9984124898910522,1164.0,Sakshi,175.0,0.0,myudukur.png,Raghuramireddy Settipalli,YSRCP,Mydukur,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
