ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy, vidadala ,Kakani,vijayasai reddy,jogi ramesh ,privatization,kotamreddy ,roja,vidya deevena,nellore ,srikakulam,yuvashakti,tadepalli,Pension,vangaveeti radha,suprem court,perni nani ,tdp leaders arrest,ap development,Kethireddy Venkatarami Reddy,balineni srinivasa reddy,tadipatri,Anam Ramanarayana Reddy,janasena alliance with tdp,gudivada ,Kodali Nani ,varahi ,election commission,nellore mekapati,maa nammakam nuvve jagan,nandigama,High Court
_fzfWMeq3L8,2019-06-30,0.9906209707260132,2611.0,Sakshi,350.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lov_UbtBCrc,2019-06-30,0.9980706572532654,2030.0,Sakshi,238.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2OPViT4oKc,2019-12-20,0.99865984916687,201446.0,Sakshi,419.0,210.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PosOR2ihRi0,2019-12-22,0.995092272758484,3010.0,Sakshi,347.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGzUhGTTtk0,2019-12-23,0.9966772794723512,1362.0,Sakshi,362.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xC2jekRsGDw,2019-12-26,-0.9970610737800598,1192.0,Sakshi,204.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
l4C4fxPqY1Q,2020-03-07,0.9983116388320924,4850.0,Sakshi,201.0,3.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZInyuZynGqE,2020-03-10,0.9932838678359984,2295.0,Sakshi,313.0,0.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rvC2HAm-lBQ,2020-03-10,0.9947039484977722,17279.0,Sakshi,253.0,16.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
fA8qXpBKt4g,2020-03-11,-0.9982118606567384,13482.0,Sakshi,456.0,20.0,srikakulam_.png,Ram Mohan Naidu Kinjarapu,TDP,Srikakulam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
