ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency
XSwQXs-vRLQ,2021-11-12,0.984052300453186,1485.0,Sakshi,159.0,7.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
rH7Spl0NcN4,2021-11-12,0.9935786724090576,2655.0,Sakshi,578.0,4.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
sv6iiMRsFZI,2022-03-25,0.9946553707122804,1341.0,Sakshi,298.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
oYQ9p0cfXg4,2022-09-17,-0.989996075630188,1574.0,TV5,210.0,3.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
zxGC4G-JsjE,2022-09-17,0.9985426664352416,1208.0,TV5,295.0,1.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
eCQ94qRUdio,2022-09-17,0.9943254590034484,1254.0,TV5,464.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
lTObMCbcSGk,2022-09-23,0.9983173608779908,933.0,TV5,297.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
YmDsjmf_svY,2022-11-25,0.9941400289535522,3128.0,TV9,342.0,1.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
tle-yuAY58Q,2022-11-26,0.9967737793922424,1398.0,TV9,290.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
ZHb-Nv18t-E,2022-12-07,0.9900335669517516,6992.0,TV5,350.0,3.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
5W-H6OmI6jY,2022-12-13,-0.9962913990020752,2126.0,TV5,558.0,2.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
_d_yJx65ZVY,2022-12-19,-0.996485948562622,15379.0,Sakshi,468.0,33.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
yer4GK6Oj4Q,2023-01-04,0.9925910234451294,122856.0,TV9,462.0,47.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
SzBCEm07X1U,2023-01-04,-0.9989284873008728,1727.0,Sakshi,222.0,28.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
Tyqqd1KkWM4,2023-01-13,-0.9932175278663636,2613.0,TV9,172.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
x5DKTzDl8_k,2023-01-16,-0.9932536482810974,780.0,TV9,360.0,6.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
VoW42YYDSdM,2023-01-30,-0.9969107508659364,4558.0,TV5,447.0,6.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
eNxFnxdfurg,2023-01-30,-0.9956093430519104,6843.0,TV9,213.0,7.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
AvjVhFQ6ESI,2023-01-30,-0.9683388471603394,4324.0,ABN,323.0,8.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
MHEX3Qxim2Q,2023-02-01,0.9988049268722534,6357.0,Sakshi,272.0,3.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
3C5a-FzURHM,2023-02-02,-0.9992746710777284,722.0,TV9,316.0,0.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
5Q9SJVCb1XM,2023-02-06,0.9884244203567504,10577.0,Sakshi,503.0,29.0,kavali.png,Ramireddy Pratap Kumar Reddy,YSRCP,Kavali
