ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,yuvagalam,roja,yuvashakti,suprem court,ap development,tadipatri
peqMZIxsek8,2021-02-17,0.998229444026947,13836.0,Sakshi,436.0,13.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
XuriVLUgCxc,2022-03-21,0.9886244535446168,907.0,Sakshi,129.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,1,0,0,1,0,0,0,1,1,0
qx1zodac-Jk,2022-03-23,0.9942956566810608,2181.0,Sakshi,390.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,0,1,0,0,0,0,0,0
UXv8wQKQrww,2022-04-23,-0.9983717799186708,313351.0,Sakshi,295.0,629.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,1,1,1,0,1,1,1,1,1,1
eCQXIdDCB0c,2022-05-07,0.9926007390022278,8446.0,Sakshi,514.0,7.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,1,0,0,0,0,0,0,0,0
hdIlIgpxTmE,2022-06-02,0.9954131245613098,36464.0,Sakshi,237.0,52.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,1,0,0,0,0,0,0,0
pZ1J8srKMWw,2022-06-02,-0.9962478280067444,90857.0,Sakshi,493.0,108.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,1,0,0,1,0,0,0,0
R7fNeTllI8E,2022-06-02,0.997899055480957,267223.0,Sakshi,88.0,546.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,1,0,0,0,0,0,0,0
Z-lJCND4pyU,2022-06-02,-0.9993448853492736,44797.0,Sakshi,196.0,39.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,1,0,0,0,1,1,0,1
gpZAz6TmU3k,2022-06-02,-0.9951046705245972,83358.0,Sakshi,251.0,148.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,1,0,0,0,0,0,0,0
DVYHnTJRwTk,2022-06-07,0.995080828666687,125985.0,Sakshi,265.0,260.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,1,0,0,0,0,0,0,0,0
Vi0kl-BDMkk,2022-06-21,0.9959017634391784,5048.0,Sakshi,87.0,15.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,1,0,0,0,0,0,0,0,0
VhjWLuNK0_g,2022-06-24,0.997913897037506,150420.0,Sakshi,316.0,226.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,1,0,0,0,0,0,0,0,0
aQPvOvI_yJE,2022-07-09,0.9980168342590332,58368.0,Sakshi,594.0,27.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,1,0,0,0,0,0,0,0
ewrYJFYUgXE,2022-08-23,0.989032745361328,4208.0,TV5,449.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,0,0,0,0,0
4b4F2KMWn6s,2022-09-05,-0.9975383281707764,3411.0,Sakshi,161.0,8.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,1,0,1,0,0,0,0,0,0,0,0
6VpZ4QJb1A8,2022-09-25,-0.998315453529358,16684.0,TV5,359.0,36.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,0,0,1,0,0,0,1,1,0
Noi0_Rtkz3A,2022-10-13,0.988796591758728,5680.0,TV5,325.0,25.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,1,1,1,0,1,1,1,1,1,1
0-SVs9AwbuQ,2022-10-15,0.9967948794364928,1694.0,TV5,435.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,0,0,0,1,0,0,0,0,0,0,0
VpkEBfcfe6M,2022-10-16,0.99687260389328,15459.0,Sakshi,244.0,37.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,1,0,0,0,0,1,1,1,0
xC9xG9N14uU,2022-10-22,-0.9977031350135804,1720.0,TV5,437.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
Iw21VAWqRjM,2022-10-29,-0.994380533695221,18474.0,Sakshi,577.0,33.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,1,0,0,0,0,0,0,0
DPuPAu7xq4I,2022-10-31,-0.995736002922058,1186.0,ABN,295.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,1,0,0,0
etS9AB6TI0E,2022-11-20,-0.9983201622962952,22525.0,TV5,243.0,54.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,1,1,1,1,0,0,0,1,1,1
TnIHO2BO-ss,2022-11-20,-0.9990320205688475,1129.0,ABN,127.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,0,0,0,1,0,0,0,0,0,0
mj0M4q-oyfg,2022-11-23,0.9953094124794006,2474.0,Sakshi,224.0,7.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,1,0,0,1,0
Y-2VhW25fFI,2022-11-26,-0.9968522191047668,614.0,TV9,134.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
HP3zZd0y4sc,2022-11-26,-0.8732292056083679,1431.0,TV9,147.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,0,0,1,0,0,0,0,0,0,0,0
DRvAhLtAV7M,2022-11-29,0.9870243072509766,1474.0,TV9,514.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
SfRKyVMElzk,2022-11-30,-0.9994131326675416,6941.0,TV5,305.0,16.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,0,0,0,0,0,0,0,0,1
tN67gJOajjM,2022-11-30,0.9870243072509766,3274.0,TV9,477.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
n_YFOupe0Kg,2022-12-01,-0.9987192153930664,1740.0,TV9,291.0,9.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,0,0,1,0,0,0,1,0,1,1,1,1
fgup1wDOZQc,2022-12-01,0.9860668778419496,1039.0,TV9,138.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
xb475sh_XE8,2022-12-01,-0.9965052604675292,1156.0,TV9,318.0,10.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,0,0,1,0,1,1,0,1
elRqHPzVfsQ,2022-12-01,-0.9971115589141846,2444.0,TV9,183.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
hI1MDQbSxl4,2022-12-01,0.9914543628692628,5002.0,TV9,254.0,7.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,1,0,0,0,0,0,0,1,1,0
_dwtbEOPcs4,2022-12-01,0.98704195022583,1387.0,TV9,158.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
-lGyIlfYJMU,2022-12-02,-0.9941381216049194,2480.0,TV9,347.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
avxpTCExZSY,2022-12-03,-0.9867162704467772,1422.0,TV9,262.0,7.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,0,0,0,0,0,0,0,0
Iz3YQaLWymI,2022-12-03,-0.9812767505645752,743.0,TV9,51.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,1,0,1,0,0,0
UEg2Eil6O7Q,2022-12-05,-0.9929646253585817,1944.0,TV9,187.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
Hj_v5i_YbXM,2022-12-07,0.998810052871704,393.0,TV5,207.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,1,0
_UyP4E2wi64,2022-12-09,-0.9987334609031676,1552.0,TV9,156.0,6.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
te0dLrJ743Q,2022-12-09,0.9988225102424622,621.0,ABN,93.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
N5GUjS-0D30,2022-12-12,-0.9857674837112428,1971.0,ABN,464.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
9hlM2JOUaqk,2022-12-19,-0.9857655167579652,1673.0,TV5,297.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,0,0,0,1,0,0,0,0,0
vGdW4fcGIBI,2022-12-24,-0.9985742568969728,2631.0,ABN,375.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
ji1A-mDj8gg,2022-12-25,-0.9858264327049256,1087.0,TV9,413.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
PrwnbgVyJ10,2022-12-27,-0.997425377368927,2484.0,TV9,178.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
Uau8uCNITKE,2022-12-28,-0.992514431476593,946.0,ABN,215.0,4.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,0,0,0,0,0,1,0,0,0
4X7PpIpPyfc,2022-12-30,0.9954237341880798,328063.0,Sakshi,556.0,286.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
8g_bvyZkl4E,2023-01-08,0.9982869029045104,485.0,TV5,207.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
dDpIgnl_UUk,2023-01-10,-0.998082399368286,3584.0,TV9,375.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
36_Dmf807C8,2023-01-10,-0.9955798983573914,725.0,ABN,472.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
mvqtKsunxbw,2023-01-11,-0.9991362690925598,3953.0,TV5,310.0,16.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,1,1,1,0,0,1,1,0,0,1,0,0,1
KpeSCVpLLBA,2023-01-12,0.989244818687439,9167.0,TV9,262.0,12.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,1,0,1,0,0
T7prgLIrmXc,2023-01-13,0.997512698173523,347.0,TV5,167.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
7-NQmkhQZLM,2023-01-13,-0.9980156421661376,5335.0,Sakshi,326.0,42.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,1,1,0,1,1,0,1,0,1,1,0,0
onAsVd_ORjI,2023-01-14,-0.9967464208602904,1340.0,Sakshi,412.0,0.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,0,0,0,0,0,0,0,0,0,0
gkdntc1XESs,2023-01-17,-0.993000864982605,676.0,ABN,159.0,1.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,1,0,0
Z8cDf_wO79w,2023-01-18,0.993131935596466,2671.0,ABN,305.0,5.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,1,1,0,0,0,0,0,0,1,1,0
K7K94LoF8mU,2023-01-18,-0.9989084005355836,1334.0,ABN,366.0,3.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,1,0,0,0,0,0,0
87VtHHs79NM,2023-01-18,0.9967799782752992,14876.0,TV9,575.0,19.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
WlmTQPSy3RA,2023-01-21,-0.998766303062439,4087.0,ABN,328.0,2.0,pathapatnam.png,Reddy Shanthi,YSRCP,Pathapatnam,0,0,0,1,0,0,0,0,0,0,0,0,0
