ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,ambati rambabu,janasena party,ap employees,ap assembly session today,alliance,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
sbuIsfH7Yt0,2019-12-21,0.9984585046768188,2907.0,Sakshi,89.0,2.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHu6II9qfgQ,2021-02-18,-0.9990240335464478,4534.0,Sakshi,259.0,9.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
2gyU8DeBWlk,2021-10-24,-0.9942805767059326,3431.0,Sakshi,195.0,9.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNLwOZW-eW4,2021-11-12,-0.9973318576812744,6998.0,Sakshi,161.0,33.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
v4slz5jrTQA,2022-02-16,0.9982168078422546,16139.0,Sakshi,99.0,34.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sx87gbo6BtQ,2022-02-28,-0.9970747232437134,9429.0,Sakshi,339.0,33.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
kkT3mjoV7Hs,2022-02-28,-0.9985552430152892,19664.0,Sakshi,163.0,69.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
t035e1MM11k,2022-04-23,0.9961000680923462,61187.0,Sakshi,70.0,52.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8rvlBzhN0A0,2022-05-06,0.9771048426628112,75938.0,Sakshi,237.0,137.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gJvR01uHwl8,2022-05-08,0.9985268115997314,6581.0,Sakshi,264.0,28.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-ZZogoq5R84,2022-05-14,0.9951908588409424,29119.0,Sakshi,89.0,93.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
u8mSgqQaLWc,2022-05-31,0.997625768184662,6578.0,Sakshi,222.0,51.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
o3NOl_QPNVY,2022-05-31,0.9962009787559508,39236.0,Sakshi,424.0,71.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AHd_9ENfIpM,2022-06-23,-0.9815906286239624,18392.0,Sakshi,532.0,42.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5ZTltafcFvs,2022-06-29,-0.9990602135658264,52560.0,Sakshi,445.0,94.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sy8WhnTpjco,2022-06-30,-0.9831504225730896,164427.0,Sakshi,261.0,301.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
wzJVIchYPKU,2022-08-05,0.9982386827468872,9105.0,Sakshi,319.0,27.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HWUyPpW1ok8,2022-08-16,0.9984310269355774,241478.0,Sakshi,546.0,67.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KfNNNt1W3f4,2022-08-22,-0.9970176219940186,717.0,TV5,88.0,0.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KjoRIiA5waY,2022-08-22,0.995457410812378,917.0,TV5,475.0,1.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff5E753eDrI,2022-08-23,0.938347578048706,12840.0,TV5,435.0,23.0,vijay_kumar.png,SUNDARAPU VIJAY KUMAR,JSP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
