ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,ap assembly session today,alliance,polavaram,visakha,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri
_21wvGTdci8,2019-06-30,0.9894445538520812,320142.0,Sakshi,327.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
QoRfGMDVbUk,2019-12-21,-0.9910883903503418,706.0,Sakshi,170.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9zMZ7ys2zc,2020-03-03,-0.9754440188407898,27420.0,Sakshi,548.0,9.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GgbIfSizB-U,2020-03-12,0.9966253042221068,169443.0,Sakshi,379.0,226.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kbPSa0G3jmk,2021-08-31,-0.998694121837616,3245.0,Sakshi,190.0,12.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcA9VBJW55o,2021-09-30,0.9857324957847596,8473.0,Sakshi,397.0,10.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRslM7PfhAo,2021-11-10,0.986665427684784,1777.0,Sakshi,515.0,16.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u0WJqqdzjnI,2021-11-10,-0.9964014291763306,1854.0,Sakshi,123.0,6.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
NRYB_JoZnoo,2021-12-11,0.9980261921882628,63565.0,Sakshi,120.0,74.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1aUVqsJtgY,2022-01-11,-0.998342514038086,43262.0,Sakshi,99.0,160.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1
uGLw5xAgieY,2022-01-18,0.9967555403709412,40132.0,Sakshi,180.0,69.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
AhpEtRWPbzs,2022-02-04,-0.993474543094635,81466.0,Sakshi,413.0,194.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
u62iTAgs3L8,2022-02-06,0.998161256313324,21092.0,Sakshi,278.0,78.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E4csr9PsXo4,2022-02-19,0.9985685348510742,27738.0,Sakshi,240.0,44.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rcsiTrg9d4g,2022-02-20,-0.9994491934776306,86783.0,Sakshi,370.0,184.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
-n84XSSeeJY,2022-03-12,0.998387336730957,2619.0,Sakshi,195.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hGTToAKK0Ko,2022-03-12,0.9985901713371276,2834.0,Sakshi,251.0,8.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
HNkkvHBeVM8,2022-03-15,0.9985707998275756,2592.0,Sakshi,311.0,5.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
L-y2BGBF8Mc,2022-03-30,0.9873989820480348,1640.0,Sakshi,453.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m8pdR7wM_7I,2022-04-23,0.9959718585014344,26221.0,Sakshi,357.0,97.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZV7vt_vQG3U,2022-04-23,-0.9960011839866638,19566.0,Sakshi,308.0,97.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
d5dz-5tRy4o,2022-04-23,-0.9959511756896972,9366.0,Sakshi,539.0,47.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lYahkyijyDY,2022-04-29,-0.9987391829490662,427181.0,Sakshi,203.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
inZFNu1JZuA,2022-05-21,0.9986411929130554,189508.0,Sakshi,453.0,117.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z8gLq0ra-Ak,2022-05-30,0.9783824682235718,3496.0,Sakshi,338.0,13.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HtFHL00K7IE,2022-06-19,-0.9980637431144714,8770.0,Sakshi,201.0,50.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ZmnISd0YpqY,2022-06-30,0.9983720183372498,86693.0,Sakshi,459.0,218.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0OXzgJm_AMM,2022-07-01,0.9953733086586,1681.0,Sakshi,584.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gwgHHEkBWOg,2022-07-14,0.9942489862442015,2942.0,Sakshi,347.0,3.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xOHKqpCJGdM,2022-07-19,0.9971574544906616,8335.0,Sakshi,288.0,10.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
qL3VCN0Dz-I,2022-08-12,0.9966849684715272,1908.0,Sakshi,425.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
qSRKOHSaF_4,2022-08-30,0.9886974096298218,8435.0,TV5,290.0,8.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6zw-gcgwbwk,2022-09-16,0.8881784081459045,1233.0,Sakshi,577.0,1.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nk_Wzr-higY,2022-09-22,-0.9913853406906128,293701.0,Sakshi,322.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
VIkW9VMs7h8,2022-09-24,0.9923972487449646,7178.0,TV5,61.0,60.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1bT4ftlxLoU,2022-09-26,-0.9987127780914308,284.0,TV5,149.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WNqggUOnN8E,2022-10-15,-0.9946852922439576,4786.0,Sakshi,358.0,14.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AZd9qmmy13E,2022-10-15,0.9987277388572692,124252.0,Sakshi,512.0,401.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8-fqHxQoVFo,2022-10-16,-0.9991204142570496,555.0,TV5,125.0,0.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
-uhJy4VcNEo,2022-10-16,-0.93123459815979,3905.0,Sakshi,503.0,25.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3mmMLk03McI,2022-10-16,-0.9980194568634032,1116.0,TV5,305.0,2.0,bobili.png,Sambangi Venkatachina Appala Naidu,YSRCP,Bobbili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
