ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ap employees,Sajjala ,ap assembly session today,alliance,gudivada amarnath,visakha
v_SVoJEwGtQ,2019-12-23,0.9973088502883912,8770.0,Sakshi,215.0,10.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Ejj5o5XPryo,2021-02-20,0.9966912269592284,591.0,Sakshi,199.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
3vlpjeErsGU,2021-11-13,0.9973819851875304,5734.0,Sakshi,368.0,18.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JyGaF4yGums,2021-11-26,0.9987205266952516,3439.0,Sakshi,141.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
YxE5wzKLzws,2021-12-14,0.9943110942840576,22526.0,Sakshi,222.0,129.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
HivuBL4h18g,2021-12-20,0.9930597543716432,100569.0,Sakshi,237.0,99.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2c_W7mbVm-g,2021-12-29,0.9982666969299316,5342.0,Sakshi,227.0,17.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1
4rGAusTR1Ew,2022-02-02,-0.9980323910713196,9067.0,Sakshi,547.0,108.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6_3a2mS6918,2022-02-11,0.993306577205658,63088.0,Sakshi,569.0,93.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tO_CkdzhRZI,2022-03-03,-0.9979660511016846,5372.0,Sakshi,340.0,34.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hu_IHayGGjs,2022-03-03,-0.998932421207428,13451.0,Sakshi,105.0,99.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
wlyiiXbDztc,2022-03-14,-0.9855247139930724,23823.0,Sakshi,291.0,47.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
x5wNRPOjc_Q,2022-03-16,0.9867845177650452,3652.0,Sakshi,98.0,3.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
T56mD56rRoE,2022-03-17,0.9943526983261108,3076.0,Sakshi,544.0,1.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gTGZMGM5Lnc,2022-03-23,0.991184651851654,30679.0,Sakshi,170.0,75.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
qr6oWxs4Tlk,2022-04-17,0.9969210624694824,13176.0,Sakshi,385.0,101.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gJvR01uHwl8,2022-05-08,0.9985268115997314,6581.0,Sakshi,264.0,28.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
W0_GJvOm0fg,2022-05-09,0.9963011741638184,9590.0,Sakshi,254.0,52.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
TxHILocuzPs,2022-05-09,0.9837579131126404,20743.0,Sakshi,396.0,97.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
DHpYsMza30w,2022-05-09,0.9925011992454528,31734.0,Sakshi,397.0,106.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
htmHFf41EnA,2022-05-21,0.9971879124641418,5401.0,Sakshi,224.0,62.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P2U3hkwr0bk,2022-05-28,0.9941456317901612,40350.0,Sakshi,246.0,77.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u8mSgqQaLWc,2022-05-31,0.997625768184662,6578.0,Sakshi,222.0,51.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
o3NOl_QPNVY,2022-05-31,0.9962009787559508,39236.0,Sakshi,424.0,71.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
oAj9Dul4lZA,2022-06-11,0.9913747906684875,16518.0,Sakshi,431.0,28.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
t9TQT0rXnlo,2022-06-23,0.9982465505599976,20041.0,Sakshi,330.0,58.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
sCKrsSnjNpo,2022-06-26,0.9908562898635864,12467.0,Sakshi,246.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eRf9qHBEOhQ,2022-06-26,0.9978283047676086,11590.0,Sakshi,125.0,18.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QDKlE5cHVYY,2022-07-09,-0.9934275150299072,142852.0,Sakshi,404.0,184.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nAhn9PhdQYo,2022-08-22,-0.9873365759849548,2797.0,Sakshi,524.0,23.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
i_e1H0o-rMQ,2022-09-10,-0.9915577173233032,9825.0,TV5,345.0,27.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
j5NIbC71Sh8,2022-09-27,0.9861499071121216,4964.0,Sakshi,265.0,8.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
u_rL_7QFS_M,2022-09-30,-0.9968816041946412,2527.0,TV5,288.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9RYGXWmAF7A,2022-10-03,0.997601330280304,2098.0,TV5,473.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ2cTqB3nd0,2022-10-05,0.995717465877533,2152.0,TV5,510.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QkC_IKFaBW8,2022-10-05,0.9984795451164246,2274.0,Sakshi,478.0,5.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N4iuqQS-be4,2022-10-08,0.9919371604919434,46369.0,Sakshi,366.0,60.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XcItC8B4aeE,2022-10-10,-0.9930436611175536,1167.0,Sakshi,238.0,3.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
te-0nO0JHJg,2022-10-14,-0.992493212223053,1909.0,Sakshi,491.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pGEqPGrgwbc,2022-10-14,-0.9929832220077516,1082.0,Sakshi,261.0,5.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
rSLgbXJQxm8,2022-10-14,0.9983274340629578,61170.0,Sakshi,330.0,188.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M3Pm07N2AQw,2022-10-14,0.99770325422287,2478.0,Sakshi,237.0,52.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
_pu2bL093fI,2022-10-15,-0.9981579184532166,2262.0,ABN,185.0,32.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
XlDlyZLnwyE,2022-10-16,-0.999502658843994,31790.0,TV5,202.0,43.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dnkgsgNa2rY,2022-10-16,-0.9943617582321168,7319.0,Sakshi,142.0,141.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
HFh15nPsP6U,2022-10-16,0.9952697157859802,2766.0,Sakshi,484.0,64.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
6xvylfNUbrY,2022-10-16,0.9979079961776732,14143.0,Sakshi,561.0,144.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
-f55M22j6zk,2022-10-19,-0.99918133020401,5831.0,TV5,230.0,16.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
B1H1_SsnPZA,2022-10-20,-0.9974479675292968,10273.0,ABN,198.0,34.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2MsfaeXazKg,2022-10-21,0.998427391052246,551336.0,Sakshi,373.0,809.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oqDSVIzu_dc,2022-10-29,0.9846541285514832,2286.0,ABN,189.0,1.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iDp4aEzdhHk,2022-10-30,0.9965381622314452,11120.0,Sakshi,179.0,30.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SUbeFCKURws,2022-10-31,0.998058021068573,20021.0,Sakshi,594.0,70.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TMmVakVVPno,2022-11-07,0.9985559582710266,2029.0,Sakshi,445.0,2.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UmQrvR69Br4,2022-11-08,0.9975268244743348,2101.0,Sakshi,237.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DcbTKIHeGmw,2022-11-11,0.998694121837616,2303.0,ABN,153.0,6.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
z1JvxuTfGIM,2022-11-12,0.9971154928207396,17918.0,Sakshi,351.0,65.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
nd0vA0U_Qok,2022-11-13,0.9932039976119996,1804.0,Sakshi,519.0,1.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
k6fvjWPAPaA,2022-11-15,0.99480140209198,2743.0,TV5,414.0,0.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mj0M4q-oyfg,2022-11-23,0.9953094124794006,2474.0,Sakshi,224.0,7.0,anaparty.png,Sathi Suryanarayana Reddy,YSRCP,Anaparty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
