ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,YS Viveka Case,Yellow Media,Gadapa Gadapaku ,Kuppam,janasena party,tdp pattabhi,Ramoji Rao,ap employees,Sajjala ,ap assembly session today,jr ntr,Atchannaidu,YSRCP Plenary,high court,alliance,Peddireddy ,vizag steel plant,vangalapudi anitha,ambati rambabu ,gudivada amarnath,polavaram,visakha,byreddy siddharth reddy
rZM6G2dgXmw,2019-06-29,0.8979321718215942,2838.0,Sakshi,286.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6DlpRlHYdeo,2019-06-30,0.9973721504211426,2299.0,Sakshi,468.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uwvjI4yROAk,2019-06-30,-0.974693477153778,2163.0,Sakshi,313.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
_21wvGTdci8,2019-06-30,0.9894445538520812,320142.0,Sakshi,327.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
nnj55STlXPg,2019-12-20,0.9982995390892028,56789.0,Sakshi,500.0,121.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2UuqUETjJ0,2019-12-21,0.998049259185791,549.0,Sakshi,63.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q17glzgp4po,2019-12-23,0.9818702936172484,1213.0,Sakshi,302.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9wLTOhNkr2Y,2019-12-23,-0.9978647828102112,1172.0,Sakshi,92.0,4.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lR86hRU1KuI,2019-12-23,0.9978421926498412,3809.0,Sakshi,207.0,1.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
OCzMVQAoJ_g,2019-12-24,0.9926413893699646,12303.0,Sakshi,167.0,2.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uJ-WXFI3rfU,2019-12-26,-0.9857865571975708,1355.0,Sakshi,382.0,1.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jPLJzUyKPaM,2019-12-26,0.9983686804771424,6169.0,Sakshi,116.0,6.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LjY8sHUtRvE,2020-03-05,0.9979374408721924,1247.0,Sakshi,196.0,5.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SMgkQH3IuqY,2020-03-06,0.9920732378959656,73376.0,Sakshi,270.0,38.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ojQeHUYstg0,2020-03-09,0.9987026453018188,131612.0,Sakshi,181.0,33.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JnL7b9k9yd0,2020-03-11,0.994138479232788,2157.0,Sakshi,345.0,0.0,nandyal.png,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
