ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,alliance,yuvashakti,suprem court,ap development,tadipatri
WFW5rnVjo9A,2019-12-22,0.9984124898910522,1164.0,Sakshi,175.0,0.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,1,1,0,0,1,1,0,0,0,0,0,0
zbS2lTLs-1w,2019-12-24,0.99778950214386,558.0,Sakshi,113.0,7.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,0,1,0,1,0,0,0,0,0,0
RcNF8oNPrcc,2020-03-04,-0.991260588169098,1160339.0,Sakshi,362.0,326.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
NPZL9ylgxKU,2021-11-17,-0.991390347480774,13005.0,Sakshi,281.0,36.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,1,0,1,1
L0aQc84DTJM,2021-11-17,0.9985668063163756,22183.0,Sakshi,411.0,26.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
sabSPXa28i8,2022-01-08,-0.9504429697990416,3851.0,Sakshi,329.0,15.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,0,0,1,0,0,0,0,0,0,0
cC6wRY57Ob4,2022-01-20,-0.9972967505455016,21615.0,Sakshi,74.0,61.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,1,1,0,0,0,0,0,1,1,0,0,1
du3maErFsYs,2022-03-16,-0.977645754814148,4329.0,Sakshi,268.0,7.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,1,1,1,0,1,1,1,0,0,0,0,0
C-E5dMB1H9A,2022-03-19,0.9925776124000548,3378.0,Sakshi,190.0,7.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,1,1,0,1,1,1,1,0,1,0,1,0
lwGT1hq0A4A,2022-03-22,-0.994674563407898,580.0,Sakshi,200.0,4.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,1,1,0,1,1,0,0,0,1,0
2Fo7otFjs5A,2022-03-22,0.9957950115203856,1871.0,Sakshi,353.0,9.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,1,0,0,0,0,0,0
iZxmtNJIezk,2022-03-22,0.9938973784446716,425.0,Sakshi,355.0,2.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,1,1,1,1,0,1,1,0,1,1,1,1
HwyN2PLZIh4,2022-03-23,-0.9991063475608826,106325.0,Sakshi,278.0,197.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,1,1,1,1,0,1,1,1,0
UAKpLtErfgM,2022-03-25,0.9957950115203856,332.0,Sakshi,558.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,1,0,0,0,0,0,0
Wo_CNY6gs5Q,2022-03-26,0.9987071752548218,632.0,Sakshi,373.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,1,0,0,0,0,0,0,0,0
TyfXsDNu9Pg,2022-05-09,0.9972994923591614,17036.0,Sakshi,276.0,60.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,1,0,1,1,1,1,1,1,0,1,1
6VdWxU3YL5I,2022-07-28,-0.9744918346405028,8024.0,Sakshi,208.0,12.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,1,1,0,1,0,0,0,0,0,1,1,0
u2OpACdRQNw,2022-09-12,0.9936100840568542,789.0,TV5,260.0,0.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,0,0,0,0,0,0,0,0,1,0,1
cOK_BuZLdZs,2022-09-15,-0.8004226088523865,13617.0,TV5,425.0,23.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
TrbOaSq_rUQ,2022-09-17,-0.9935125708580016,4091.0,Sakshi,170.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,1,0,0,0,0,1,0,0,0,1,1
52gHtpCIEfk,2022-09-26,-0.9976093769073486,1739.0,TV5,252.0,6.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,0,0,0,0,1,0,0,0,1,1,1
K_U-QRC0dpc,2022-10-04,0.9854156374931335,1693.0,Sakshi,188.0,12.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,1,0,0,0,0,0,0,0
Ava3c4IsFy8,2022-10-11,-0.9966222047805786,733.0,TV5,371.0,0.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,1,1,0,0,0,0,0,1,1,0,1
uYoeIQuAaBc,2022-10-26,-0.9973503351211548,4049.0,Sakshi,78.0,14.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
s8_2hB6mhnA,2022-11-02,0.9967536330223083,12331.0,Sakshi,255.0,18.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,1,0,1,0,1,0,0,1,0
4A6PvcWjTMk,2022-11-05,0.9970704317092896,38855.0,Sakshi,511.0,182.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
zj1AYQD66Mg,2022-11-08,0.996258020401001,8843.0,TV5,258.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,1,0,0
WJ8a0d5w9V0,2022-11-13,-0.98628169298172,6068.0,Sakshi,187.0,18.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,1,0,0,0,0,1,1,0,0,0
tyT_KpX5eSg,2022-11-14,-0.9864780902862548,2073.0,Sakshi,133.0,10.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,1,0,1,0,1,1,0,0,0,0,0,0,0
M0LTZHF3r4o,2022-11-21,0.979324758052826,628.0,TV9,398.0,0.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
kbcnoQY2BB0,2022-11-21,0.9588910341262816,1798.0,TV9,152.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
dxprd_cmBks,2022-11-21,0.9845284819602966,3785.0,Sakshi,192.0,10.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,0,0,1,0,0,0,0,0,0,1
EgjaU6owZC8,2022-11-23,-0.9761061072349548,5227.0,TV9,266.0,10.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,0,0,0,0,0,0,0,0,0,0,0
OIcvPvW0sFk,2022-11-30,-0.9920765161514282,963.0,TV5,220.0,1.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,0,0,0,0,0,0,0,1,0,0
owDVcgiOjgI,2022-12-01,-0.9991980195045472,1657.0,TV9,222.0,0.0,gopalapuram.png,Talari Venkatrao,YSRCP,Gopalapuram,0,0,1,0,0,0,0,1,0,0,0,0,0
